,poor_420,inc_selfemp,inc_salaried,inc_casual,year,level,area,dem,SourceSheet,sector,sector2,state,age_cat1,age_cat2,age_cat3,age_cat4,edu_cat1,edu_cat2,edu_cat3,edu_cat4,edu_cat5,edu_cat6,gender_cat1,gender_cat2,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,owns_dwelling
31,1,0.771916807,0.126019984,0.098684028,2023,State,All,All Households,state,NA,99,Nagaland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0,0.554657161,0.274327785,0.129313782,2023,State,All,All Households,state,NA,99,Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,0.705842614,0.129557461,0.149931505,2023,State,All,All Households,state,NA,99,Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0,0.474576324,0.433027297,0.063876823,2023,State,All,All Households,state,NA,99,Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1,0.667617977,0.078340851,0.228988826,2023,State,All,All Households,state,NA,99,Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0,0.481025606,0.193493694,0.231561467,2023,State,All,All Households,state,NA,99,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,0.515771031,0.078370996,0.381376445,2023,State,All,All Households,state,NA,99,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0,0.499535233,0.209181011,0.252602041,2023,State,All,All Households,state,NA,99,Meghalaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,0.58982259,0.06154339,0.321720004,2023,State,All,All Households,state,NA,99,Meghalaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0,0.458953142,0.199176416,0.278975219,2023,State,All,All Households,state,NA,99,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1,0.47405073,0.146652237,0.357435673,2023,State,All,All Households,state,NA,99,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,0,0.385489374,0.228238314,0.294507056,2023,State,All,All Households,state,NA,99,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1,0.339432418,0.139313832,0.461656064,2023,State,All,All Households,state,NA,99,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0,0.426981747,0.238664195,0.248085082,2023,State,All,All Households,state,NA,99,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,1,0.50323391,0.140795961,0.30934602,2023,State,All,All Households,state,NA,99,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,0,0.409029901,0.187254548,0.257550269,2023,State,All,All Households,state,NA,99,Odisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,1,0.367191195,0.055361293,0.343950897,2023,State,All,All Households,state,NA,99,Odisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,0,0.502637684,0.208681956,0.228911594,2023,State,All,All Households,state,NA,99,Chhattisgarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,1,0.556899607,0.07179784,0.283082873,2023,State,All,All Households,state,NA,99,Chhattisgarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,0,0.520962656,0.162810147,0.264986992,2023,State,All,All Households,state,NA,99,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1,0.490838379,0.05556117,0.431383103,2023,State,All,All Households,state,NA,99,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,0,0.440057427,0.324412227,0.157940388,2023,State,All,All Households,state,NA,99,Gujarat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
