,welfare_agg21_sp,year,level,area,dem,SourceSheet,sector,sector2,quintile_overall,sec_quint,state,age_cat,nat_quint,state_quint,state_sec_quint,nat_age_quint,sec_age_quint,state_age_quint,state_sec_age_quint,edu_cat,nat_edu_quint,sec_edu_quint,state_edu_quint,state_sec_edu_quint,gen_cat,nat_gen_quint,sec_gen_quint,state_gen_quint,state_sec_gen_quint,hhsize_cat,nat_hhsize_quint,sec_hhsize_quint,state_hhsize_quint,state_sec_hhsize_quint,owns_land,nat_land_quint,sec_land_quint,state_land_quint,state_sec_land_quint,inc_cat,nat_inc_quint,sec_inc_quint,state_inc_quint,state_sec_inc_quint,owns_dwelling,nat_dwel_quint,sec_dwel_quint,state_dwel_quint,state_sec_dwel_quint
3077,2996.950496,2023,State,All,Education,state_quint,NA,99,2,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Primary,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3078,3660.078326,2023,State,All,Education,state_quint,NA,99,3,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Primary,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3079,4394.160528,2023,State,All,Education,state_quint,NA,99,4,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Primary,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3080,6064.097344,2023,State,All,Education,state_quint,NA,99,5,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Primary,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3081,2454.805974,2023,State,All,Education,state_quint,NA,99,1,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Secondary,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3082,3179.690732,2023,State,All,Education,state_quint,NA,99,2,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Secondary,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3083,3892.743555,2023,State,All,Education,state_quint,NA,99,3,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Secondary,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3084,4742.672159,2023,State,All,Education,state_quint,NA,99,4,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Secondary,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3085,6436.695056,2023,State,All,Education,state_quint,NA,99,5,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Secondary,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3086,2720.378429,2023,State,All,Education,state_quint,NA,99,1,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Higher Secondary,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3087,3671.399237,2023,State,All,Education,state_quint,NA,99,2,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Higher Secondary,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3088,4476.624676,2023,State,All,Education,state_quint,NA,99,3,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Higher Secondary,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3089,5705.702383,2023,State,All,Education,state_quint,NA,99,4,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Higher Secondary,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3090,8398.070394,2023,State,All,Education,state_quint,NA,99,5,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Higher Secondary,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3091,3275.68445,2023,State,All,Education,state_quint,NA,99,1,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Diploma/Graduate,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3092,4447.884707,2023,State,All,Education,state_quint,NA,99,2,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Diploma/Graduate,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3093,5517.012005,2023,State,All,Education,state_quint,NA,99,3,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Diploma/Graduate,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3094,6949.50844,2023,State,All,Education,state_quint,NA,99,4,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Diploma/Graduate,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3095,9920.986855,2023,State,All,Education,state_quint,NA,99,5,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Diploma/Graduate,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3096,3498.426596,2023,State,All,Education,state_quint,NA,99,1,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Post-graduate,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3097,4743.934702,2023,State,All,Education,state_quint,NA,99,2,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Post-graduate,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3098,5774.188895,2023,State,All,Education,state_quint,NA,99,3,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Post-graduate,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3099,7319.946915,2023,State,All,Education,state_quint,NA,99,4,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Post-graduate,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3100,10749.98124,2023,State,All,Education,state_quint,NA,99,5,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,Post-graduate,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3101,2178.143085,2023,State,All,Education,state_quint,NA,99,1,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,No education,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3102,2694.325351,2023,State,All,Education,state_quint,NA,99,2,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,No education,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3103,3134.753678,2023,State,All,Education,state_quint,NA,99,3,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,No education,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3104,3672.658423,2023,State,All,Education,state_quint,NA,99,4,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,No education,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3105,4704.500293,2023,State,All,Education,state_quint,NA,99,5,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,No education,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3106,2297.718211,2023,State,All,Education,state_quint,NA,99,1,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Primary,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3107,2801.949869,2023,State,All,Education,state_quint,NA,99,2,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Primary,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3108,3260.255681,2023,State,All,Education,state_quint,NA,99,3,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Primary,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3109,3840.081412,2023,State,All,Education,state_quint,NA,99,4,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Primary,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3110,4964.565225,2023,State,All,Education,state_quint,NA,99,5,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Primary,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3111,2323.600878,2023,State,All,Education,state_quint,NA,99,1,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Secondary,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3112,2896.34455,2023,State,All,Education,state_quint,NA,99,2,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Secondary,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3113,3372.475172,2023,State,All,Education,state_quint,NA,99,3,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Secondary,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3114,3957.402592,2023,State,All,Education,state_quint,NA,99,4,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Secondary,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3115,5086.362901,2023,State,All,Education,state_quint,NA,99,5,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Secondary,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3116,2503.883805,2023,State,All,Education,state_quint,NA,99,1,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Higher Secondary,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3117,3129.759324,2023,State,All,Education,state_quint,NA,99,2,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Higher Secondary,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3118,3658.446968,2023,State,All,Education,state_quint,NA,99,3,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Higher Secondary,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3119,4374.304274,2023,State,All,Education,state_quint,NA,99,4,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Higher Secondary,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3120,5772.72546,2023,State,All,Education,state_quint,NA,99,5,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Higher Secondary,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3121,2825.778285,2023,State,All,Education,state_quint,NA,99,1,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Diploma/Graduate,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3122,3624.733759,2023,State,All,Education,state_quint,NA,99,2,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Diploma/Graduate,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3123,4416.917459,2023,State,All,Education,state_quint,NA,99,3,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Diploma/Graduate,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3124,5522.946941,2023,State,All,Education,state_quint,NA,99,4,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Diploma/Graduate,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3125,8785.752214,2023,State,All,Education,state_quint,NA,99,5,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Diploma/Graduate,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3126,3098.822112,2023,State,All,Education,state_quint,NA,99,1,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Post-graduate,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3127,3971.109551,2023,State,All,Education,state_quint,NA,99,2,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Post-graduate,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3128,4826.354902,2023,State,All,Education,state_quint,NA,99,3,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Post-graduate,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3129,6325.097821,2023,State,All,Education,state_quint,NA,99,4,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Post-graduate,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3130,10404.67612,2023,State,All,Education,state_quint,NA,99,5,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,Post-graduate,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3131,2146.199432,2023,State,All,Education,state_quint,NA,99,1,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,No education,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3132,2745.975348,2023,State,All,Education,state_quint,NA,99,2,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,No education,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3133,3195.618558,2023,State,All,Education,state_quint,NA,99,3,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,No education,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3134,3719.3001,2023,State,All,Education,state_quint,NA,99,4,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,No education,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3135,4720.267276,2023,State,All,Education,state_quint,NA,99,5,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,No education,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3136,2262.340444,2023,State,All,Education,state_quint,NA,99,1,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Primary,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3137,2869.633677,2023,State,All,Education,state_quint,NA,99,2,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Primary,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3138,3260.276675,2023,State,All,Education,state_quint,NA,99,3,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Primary,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3139,3747.68971,2023,State,All,Education,state_quint,NA,99,4,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Primary,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3140,4753.717793,2023,State,All,Education,state_quint,NA,99,5,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Primary,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3141,2183.308454,2023,State,All,Education,state_quint,NA,99,1,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Secondary,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3142,2840.024895,2023,State,All,Education,state_quint,NA,99,2,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Secondary,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3143,3261.217698,2023,State,All,Education,state_quint,NA,99,3,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Secondary,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3144,3831.596138,2023,State,All,Education,state_quint,NA,99,4,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Secondary,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3145,4897.746996,2023,State,All,Education,state_quint,NA,99,5,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Secondary,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3146,2407.578526,2023,State,All,Education,state_quint,NA,99,1,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Higher Secondary,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3147,3062.168784,2023,State,All,Education,state_quint,NA,99,2,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Higher Secondary,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3148,3569.403203,2023,State,All,Education,state_quint,NA,99,3,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Higher Secondary,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3149,4193.804565,2023,State,All,Education,state_quint,NA,99,4,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Higher Secondary,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3150,5574.462891,2023,State,All,Education,state_quint,NA,99,5,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Higher Secondary,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3151,2750.446641,2023,State,All,Education,state_quint,NA,99,1,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Diploma/Graduate,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3152,3456.953095,2023,State,All,Education,state_quint,NA,99,2,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Diploma/Graduate,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3153,4144.355662,2023,State,All,Education,state_quint,NA,99,3,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Diploma/Graduate,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3154,4954.738457,2023,State,All,Education,state_quint,NA,99,4,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Diploma/Graduate,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3155,7017.115265,2023,State,All,Education,state_quint,NA,99,5,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Diploma/Graduate,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3156,3083.46485,2023,State,All,Education,state_quint,NA,99,1,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Post-graduate,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3157,3966.702934,2023,State,All,Education,state_quint,NA,99,2,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Post-graduate,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3158,4921.639752,2023,State,All,Education,state_quint,NA,99,3,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Post-graduate,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3159,5797.420978,2023,State,All,Education,state_quint,NA,99,4,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Post-graduate,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3160,7405.501011,2023,State,All,Education,state_quint,NA,99,5,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,Post-graduate,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3161,2941.79168,2023,State,All,Education,state_quint,NA,99,1,NA,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,No education,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3162,4418.275333,2023,State,All,Education,state_quint,NA,99,2,NA,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,No education,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
