,m_poor_1_33,wi_cat1,wi_cat2,wi_cat3,wi_cat4,wi_cat5,check,year,round,level,area,dem,SourceSheet,sector,state,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
844,1,0.190760642,0.231053099,0.241943583,0.250491917,0.085750759,1,2019,5,State,urban/rural,Education,statesector,1,Gujarat,NA,Primary,NA,NA,NA,NA
845,1,0.130754188,0.157054067,0.145593867,0.280841202,0.285756707,1,2019,5,State,urban/rural,Education,statesector,1,Gujarat,NA,Secondary,NA,NA,NA,NA
846,1,0.108166069,0,0,0,0.891833961,1,2019,5,State,urban/rural,Education,statesector,1,Gujarat,NA,Higher,NA,NA,NA,NA
847,1,0,0,1,0,0,1,2019,5,State,urban/rural,Education,statesector,1,Gujarat,NA,NA,NA,NA,NA,NA
1090,1,0.544719517,0.294446558,0.0956937,0.046868276,0.018271958,1,2019,5,State,All,Gender,state,99,Gujarat,NA,NA,1,NA,NA,NA
1091,1,0.610606492,0.247032717,0.093587451,0.038808901,0.009964446,1,2019,5,State,All,Gender,state,99,Gujarat,NA,NA,2,NA,NA,NA
1092,1,NA,NA,NA,NA,NA,0,2019,5,State,All,Gender,state,99,Gujarat,NA,NA,NA,NA,NA,NA
1199,1,0.588640571,0.307544261,0.079626426,0.023019396,0.001169333,1,2019,5,State,urban/rural,Gender,statesector,0,Gujarat,NA,NA,1,NA,NA,NA
1200,1,0.681028366,0.247909546,0.059689038,0.011373051,0,1,2019,5,State,urban/rural,Gender,statesector,0,Gujarat,NA,NA,2,NA,NA,NA
1201,1,NA,NA,NA,NA,NA,0,2019,5,State,urban/rural,Gender,statesector,0,Gujarat,NA,NA,NA,NA,NA,NA
1202,1,0.222072065,0.198229805,0.21372509,0.222063929,0.143909112,1,2019,5,State,urban/rural,Gender,statesector,1,Gujarat,NA,NA,1,NA,NA,NA
1203,1,0.210622042,0.242052451,0.286124766,0.194639936,0.066560827,1,2019,5,State,urban/rural,Gender,statesector,1,Gujarat,NA,NA,2,NA,NA,NA
1373,1,0.86517489,0.13482514,0,0,0,1,2019,5,State,All,HH Size,state,99,Gujarat,NA,NA,NA,1,NA,NA
1374,1,0.679008663,0.246908829,0.040798202,0.022296321,0.010988003,1,2019,5,State,All,HH Size,state,99,Gujarat,NA,NA,NA,2 to 3,NA,NA
1375,1,0.553245783,0.290499926,0.09502501,0.042451438,0.01877784,1,2019,5,State,All,HH Size,state,99,Gujarat,NA,NA,NA,4 to 6,NA,NA
1376,1,0.492342979,0.309758723,0.118881308,0.06035189,0.018665075,1,2019,5,State,All,HH Size,state,99,Gujarat,NA,NA,NA,7+,NA,NA
1548,1,0.882061541,0.117938459,0,0,0,1,2019,5,State,urban/rural,HH Size,statesector,0,Gujarat,NA,NA,NA,1,NA,NA
1549,1,0.712796688,0.248318285,0.027368253,0.011516768,0,1,2019,5,State,urban/rural,HH Size,statesector,0,Gujarat,NA,NA,NA,2 to 3,NA,NA
1550,1,0.596775174,0.308433086,0.075469449,0.018752892,0.000569417,1,2019,5,State,urban/rural,HH Size,statesector,0,Gujarat,NA,NA,NA,4 to 6,NA,NA
1551,1,0.545171142,0.321002781,0.101565868,0.030220492,0.002039735,1,2019,5,State,urban/rural,HH Size,statesector,0,Gujarat,NA,NA,NA,7+,NA,NA
1552,1,0.645647287,0.354352742,0,0,0,1,2019,5,State,urban/rural,HH Size,statesector,1,Gujarat,NA,NA,NA,1,NA,NA
1553,1,0.360429823,0.233619422,0.167425752,0.123933941,0.114591062,1,2019,5,State,urban/rural,HH Size,statesector,1,Gujarat,NA,NA,NA,2 to 3,NA,NA
1554,1,0.23187463,0.158101916,0.239400968,0.217414439,0.153208047,1,2019,5,State,urban/rural,HH Size,statesector,1,Gujarat,NA,NA,NA,4 to 6,NA,NA
1555,1,0.165932581,0.240284979,0.225868598,0.246525422,0.12138842,1,2019,5,State,urban/rural,HH Size,statesector,1,Gujarat,NA,NA,NA,7+,NA,NA
1774,1,0.487131089,0.305816293,0.152348652,0.035937943,0.018766019,1,2019,5,State,All,Owns House,state,99,Gujarat,NA,NA,NA,NA,0,NA
1775,1,0.566838384,0.285413295,0.082438789,0.048277352,0.017032146,1,2019,5,State,All,Owns House,state,99,Gujarat,NA,NA,NA,NA,1,NA
1864,1,0.539473116,0.32433179,0.115635015,0.019031556,0.001528483,1,2019,5,State,urban/rural,Owns House,statesector,0,Gujarat,NA,NA,NA,NA,0,NA
1865,1,0.61091882,0.296300828,0.069489472,0.022348301,0.000942579,1,2019,5,State,urban/rural,Owns House,statesector,0,Gujarat,NA,NA,NA,NA,1,NA
1866,1,0.254308194,0.223457471,0.315654695,0.111139275,0.09544035,1,2019,5,State,urban/rural,Owns House,statesector,1,Gujarat,NA,NA,NA,NA,0,NA
1867,1,0.207550153,0.196671963,0.187985376,0.259618402,0.148174107,1,2019,5,State,urban/rural,Owns House,statesector,1,Gujarat,NA,NA,NA,NA,1,NA
1993,1,0.462260365,0.304342747,0.138223395,0.065219752,0.02995375,1,2019,5,State,All,Agri Land,state,99,Gujarat,NA,NA,NA,NA,NA,0
1994,1,0.636664927,0.27493754,0.055108868,0.027822183,0.005466464,1,2019,5,State,All,Agri Land,state,99,Gujarat,NA,NA,NA,NA,NA,1
2081,1,0.532536924,0.333794087,0.112338208,0.019529104,0.001801669,1,2019,5,State,urban/rural,Agri Land,statesector,0,Gujarat,NA,NA,NA,NA,NA,0
2082,1,0.648271859,0.27656436,0.051226012,0.023464566,0.000473205,1,2019,5,State,urban/rural,Agri Land,statesector,0,Gujarat,NA,NA,NA,NA,NA,1
2083,1,0.21838145,0.202138633,0.228052065,0.223778725,0.127649143,1,2019,5,State,urban/rural,Agri Land,statesector,1,Gujarat,NA,NA,NA,NA,NA,0
2084,1,0.236660644,0.218873218,0.188922107,0.177996919,0.177547112,1,2019,5,State,urban/rural,Agri Land,statesector,1,Gujarat,NA,NA,NA,NA,NA,1
2194,1,0.323500037,0.443245053,0.17355831,0.043571819,0.016124774,1,2015,4,State,All,All Households,state,99,Gujarat,NA,NA,NA,NA,NA,NA
2239,1,0.348566294,0.465955883,0.157049686,0.026236199,0.00219195,1,2015,4,State,urban/rural,All Households,statesector,0,Gujarat,NA,NA,NA,NA,NA,NA
2240,1,0.16379115,0.29854387,0.278742462,0.154025182,0.104897328,1,2015,4,State,urban/rural,All Households,statesector,1,Gujarat,NA,NA,NA,NA,NA,NA
2346,1,0.274426401,0.403116047,0.246029526,0.067920551,0.008507474,1,2015,4,State,All,Age,state,99,Gujarat,15 to 29,NA,NA,NA,NA,NA
2347,1,0.318210959,0.459079891,0.171939299,0.043869775,0.006900074,1,2015,4,State,All,Age,state,99,Gujarat,30 to 45,NA,NA,NA,NA,NA
2348,1,0.319251329,0.443799466,0.16915457,0.042178687,0.025615947,1,2015,4,State,All,Age,state,99,Gujarat,46 to 64,NA,NA,NA,NA,NA
2349,1,0.39059937,0.421933979,0.137842625,0.028816668,0.020807348,1,2015,4,State,All,Age,state,99,Gujarat,65+,NA,NA,NA,NA,NA
2350,1,0.705207765,0,0.294792235,0,0,1,2015,4,State,All,Age,state,99,Gujarat,NA,NA,NA,NA,NA,NA
2539,1,0.302132845,0.428052306,0.20197989,0.062677547,0.005157413,1,2015,4,State,urban/rural,Age,statesector,0,Gujarat,15 to 29,NA,NA,NA,NA,NA
2540,1,0.346221149,0.484328508,0.15087004,0.018133095,0.000447206,1,2015,4,State,urban/rural,Age,statesector,0,Gujarat,30 to 45,NA,NA,NA,NA,NA
2541,1,0.341770023,0.46443668,0.161290184,0.029683741,0.00281938,1,2015,4,State,urban/rural,Age,statesector,0,Gujarat,46 to 64,NA,NA,NA,NA,NA
2542,1,0.407468349,0.44242847,0.131422445,0.015215721,0.003465032,1,2015,4,State,urban/rural,Age,statesector,0,Gujarat,65+,NA,NA,NA,NA,NA
2543,1,0.705207765,0,0.294792235,0,0,1,2015,4,State,urban/rural,Age,statesector,0,Gujarat,NA,NA,NA,NA,NA,NA
2544,1,0.160175353,0.300288141,0.427673876,0.089540735,0.022321874,1,2015,4,State,urban/rural,Age,statesector,1,Gujarat,15 to 29,NA,NA,NA,NA,NA
2545,1,0.165994585,0.321870506,0.286436528,0.183731318,0.041967072,1,2015,4,State,urban/rural,Age,statesector,1,Gujarat,30 to 45,NA,NA,NA,NA,NA
2546,1,0.146064848,0.285082996,0.229637906,0.13827467,0.200939551,1,2015,4,State,urban/rural,Age,statesector,1,Gujarat,46 to 64,NA,NA,NA,NA,NA
2547,1,0.228445545,0.224929899,0.199556813,0.159556478,0.187511265,1,2015,4,State,urban/rural,Age,statesector,1,Gujarat,65+,NA,NA,NA,NA,NA
2819,1,0.391921818,0.43062216,0.14141205,0.030404938,0.005639045,1,2015,4,State,All,Education,state,99,Gujarat,NA,No education / Preschool,NA,NA,NA,NA
2820,1,0.287377298,0.439428806,0.211189687,0.055115238,0.006888954,1,2015,4,State,All,Education,state,99,Gujarat,NA,Primary,NA,NA,NA,NA
2821,1,0.240709707,0.466328859,0.197260633,0.054103903,0.041596878,1,2015,4,State,All,Education,state,99,Gujarat,NA,Secondary,NA,NA,NA,NA
2822,1,0.178635538,0.507140458,0.104033321,0.121107623,0.089083046,1,2015,4,State,All,Education,state,99,Gujarat,NA,Higher,NA,NA,NA,NA
2823,1,0.193793803,0.527430654,0.278775543,0,0,1,2015,4,State,All,Education,state,99,Gujarat,NA,NA,NA,NA,NA,NA
3020,1,0.415938586,0.4422566,0.126207873,0.014444964,0.001151956,1,2015,4,State,urban/rural,Education,statesector,0,Gujarat,NA,No education / Preschool,NA,NA,NA,NA
3021,1,0.319003969,0.469208658,0.178915024,0.030471746,0.002400586,1,2015,4,State,urban/rural,Education,statesector,0,Gujarat,NA,Primary,NA,NA,NA,NA
3022,1,0.261860579,0.497890085,0.192534402,0.043741159,0.003973773,1,2015,4,State,urban/rural,Education,statesector,0,Gujarat,NA,Secondary,NA,NA,NA,NA
3023,1,0.221760139,0.629569769,0.120230906,0.028439183,0,1,2015,4,State,urban/rural,Education,statesector,0,Gujarat,NA,Higher,NA,NA,NA,NA
3024,1,0.208995461,0.583556473,0.207448065,0,0,1,2015,4,State,urban/rural,Education,statesector,0,Gujarat,NA,NA,NA,NA,NA,NA
3025,1,0.240448385,0.357243836,0.237304553,0.131064206,0.033939034,1,2015,4,State,urban/rural,Education,statesector,1,Gujarat,NA,No education / Preschool,NA,NA,NA,NA
3026,1,0.104316875,0.267058015,0.398000807,0.197755903,0.032868385,1,2015,4,State,urban/rural,Education,statesector,1,Gujarat,NA,Primary,NA,NA,NA,NA
3027,1,0.086307921,0.235931531,0.231762201,0.129752129,0.316246212,1,2015,4,State,urban/rural,Education,statesector,1,Gujarat,NA,Secondary,NA,NA,NA,NA
3028,1,0,0,0.03693784,0.504969299,0.458092868,1,2015,4,State,urban/rural,Education,statesector,1,Gujarat,NA,Higher,NA,NA,NA,NA
3029,1,0.050939348,0,0.949060678,0,0,1,2015,4,State,urban/rural,Education,statesector,1,Gujarat,NA,NA,NA,NA,NA,NA
3277,1,0.316725194,0.445342898,0.17588529,0.045826543,0.016220041,1,2015,4,State,All,Gender,state,99,Gujarat,NA,NA,1,NA,NA,NA
3278,1,0.375602961,0.427111238,0.155662194,0.026231505,0.01539211,1,2015,4,State,All,Gender,state,99,Gujarat,NA,NA,2,NA,NA,NA
3279,1,NA,NA,NA,NA,NA,0,2015,4,State,All,Gender,state,99,Gujarat,NA,NA,NA,NA,NA,NA
3385,1,0.340810567,0.46770677,0.161397204,0.028729565,0.001355913,1,2015,4,State,urban/rural,Gender,statesector,0,Gujarat,NA,NA,1,NA,NA,NA
3386,1,0.410210073,0.45203954,0.122494936,0.00641853,0.008836905,1,2015,4,State,urban/rural,Gender,statesector,0,Gujarat,NA,NA,2,NA,NA,NA
3387,1,NA,NA,NA,NA,NA,0,2015,4,State,urban/rural,Gender,statesector,0,Gujarat,NA,NA,NA,NA,NA,NA
3388,1,0.158930004,0.298826188,0.270804048,0.157837391,0.11360237,1,2015,4,State,urban/rural,Gender,statesector,1,Gujarat,NA,NA,1,NA,NA,NA
3389,1,0.194630891,0.2967529,0.329104692,0.129840076,0.049671438,1,2015,4,State,urban/rural,Gender,statesector,1,Gujarat,NA,NA,2,NA,NA,NA
3562,1,0.612553775,0.346872121,0.035995405,0.00457871,0,1,2015,4,State,All,HH Size,state,99,Gujarat,NA,NA,NA,1,NA,NA
3563,1,0.406587899,0.435426444,0.129152849,0.024769712,0.004063091,1,2015,4,State,All,HH Size,state,99,Gujarat,NA,NA,NA,2 to 3,NA,NA
3564,1,0.321781456,0.449806571,0.179597676,0.038469728,0.010344591,1,2015,4,State,All,HH Size,state,99,Gujarat,NA,NA,NA,4 to 6,NA,NA
3565,1,0.294436574,0.441225082,0.182893038,0.055318922,0.026126396,1,2015,4,State,All,HH Size,state,99,Gujarat,NA,NA,NA,7+,NA,NA
3566,1,NA,NA,NA,NA,NA,0,2015,4,State,All,HH Size,state,99,Gujarat,NA,NA,NA,NA,NA,NA
3756,1,0.638675988,0.339822233,0.016389566,0.005112219,0,1,2015,4,State,urban/rural,HH Size,statesector,0,Gujarat,NA,NA,NA,1,NA,NA
3757,1,0.439263195,0.452798724,0.098361105,0.007974937,0.001602031,1,2015,4,State,urban/rural,HH Size,statesector,0,Gujarat,NA,NA,NA,2 to 3,NA,NA
3758,1,0.353265464,0.474269122,0.152279243,0.019212613,0.00097356,1,2015,4,State,urban/rural,HH Size,statesector,0,Gujarat,NA,NA,NA,4 to 6,NA,NA
3759,1,0.311070383,0.464671284,0.181565151,0.038985424,0.003707758,1,2015,4,State,urban/rural,HH Size,statesector,0,Gujarat,NA,NA,NA,7+,NA,NA
3760,1,NA,NA,NA,NA,NA,0,2015,4,State,urban/rural,HH Size,statesector,0,Gujarat,NA,NA,NA,NA,NA,NA
3761,1,0.388366163,0.407376111,0.204257712,0,0,1,2015,4,State,urban/rural,HH Size,statesector,1,Gujarat,NA,NA,NA,1,NA,NA
3762,1,0.209097311,0.330427885,0.315259099,0.126277894,0.018937819,1,2015,4,State,urban/rural,HH Size,statesector,1,Gujarat,NA,NA,NA,2 to 3,NA,NA
3763,1,0.143568173,0.311337799,0.334231913,0.147473395,0.063388713,1,2015,4,State,urban/rural,HH Size,statesector,1,Gujarat,NA,NA,NA,4 to 6,NA,NA
3764,1,0.17144075,0.267856389,0.19271192,0.176093996,0.19189693,1,2015,4,State,urban/rural,HH Size,statesector,1,Gujarat,NA,NA,NA,7+,NA,NA
4004,1,0.323692918,0.423495024,0.19305788,0.052633345,0.00712083,1,2015,4,State,All,Owns House,state,99,Gujarat,NA,NA,NA,NA,0,NA
4005,1,0.323463231,0.447015256,0.16983591,0.04184201,0.017843591,1,2015,4,State,All,Owns House,state,99,Gujarat,NA,NA,NA,NA,1,NA
4006,1,NA,NA,NA,NA,NA,0,2015,4,State,All,Owns House,state,99,Gujarat,NA,NA,NA,NA,NA,NA
4113,1,0.354041517,0.472137988,0.153394952,0.017885171,0.00254037,1,2015,4,State,urban/rural,Owns House,statesector,0,Gujarat,NA,NA,NA,NA,0,NA
4114,1,0.347714663,0.464994282,0.157618165,0.027535163,0.002137755,1,2015,4,State,urban/rural,Owns House,statesector,0,Gujarat,NA,NA,NA,NA,1,NA
4115,1,NA,NA,NA,NA,NA,0,2015,4,State,urban/rural,Owns House,statesector,0,Gujarat,NA,NA,NA,NA,NA,NA
4116,1,0.243350342,0.294721425,0.29805845,0.144622982,0.019246789,1,2015,4,State,urban/rural,Owns House,statesector,1,Gujarat,NA,NA,NA,NA,0,NA
4117,1,0.125664696,0.30037567,0.269485831,0.158530921,0.145942882,1,2015,4,State,urban/rural,Owns House,statesector,1,Gujarat,NA,NA,NA,NA,1,NA
4263,1,0.242501751,0.456198394,0.211609036,0.067011192,0.02267961,1,2015,4,State,All,Agri Land,state,99,Gujarat,NA,NA,NA,NA,NA,0
4264,1,0.391272157,0.432406873,0.141720846,0.023959847,0.010640275,1,2015,4,State,All,Agri Land,state,99,Gujarat,NA,NA,NA,NA,NA,1
4265,1,NA,NA,NA,NA,NA,0,2015,4,State,All,Agri Land,state,99,Gujarat,NA,NA,NA,NA,NA,NA
4372,1,0.26699087,0.518910706,0.179461613,0.033508141,0.001128703,1,2015,4,State,urban/rural,Agri Land,statesector,0,Gujarat,NA,NA,NA,NA,NA,0
4373,1,0.400816351,0.432037681,0.142694578,0.021578433,0.002872973,1,2015,4,State,urban/rural,Agri Land,statesector,0,Gujarat,NA,NA,NA,NA,NA,1
4374,1,NA,NA,NA,NA,NA,0,2015,4,State,urban/rural,Agri Land,statesector,0,Gujarat,NA,NA,NA,NA,NA,NA
4375,1,0.172512606,0.276968539,0.303485423,0.162761956,0.084271476,1,2015,4,State,urban/rural,Agri Land,statesector,1,Gujarat,NA,NA,NA,NA,NA,0
4376,1,0.105206266,0.443472505,0.112535805,0.095337451,0.243447974,1,2015,4,State,urban/rural,Agri Land,statesector,1,Gujarat,NA,NA,NA,NA,NA,1
15,1,0.160179257,0.328026801,0.266296893,0.173017174,0.072479859,1,2019,5,State,All,All Households,state,99,Haryana,NA,NA,NA,NA,NA,NA
62,1,0.171199203,0.352663696,0.260022849,0.166936651,0.049177635,1,2019,5,State,urban/rural,All Households,statesector,0,Haryana,NA,NA,NA,NA,NA,NA
63,1,0.112225153,0.220817581,0.29359898,0.199477017,0.173881277,1,2019,5,State,urban/rural,All Households,statesector,1,Haryana,NA,NA,NA,NA,NA,NA
174,1,0.117894471,0.370020777,0.303438395,0.151429489,0.057216853,1,2019,5,State,All,Age,state,99,Haryana,15 to 29,NA,NA,NA,NA,NA
175,1,0.195016921,0.338469952,0.280962676,0.138653994,0.046896458,1,2019,5,State,All,Age,state,99,Haryana,30 to 45,NA,NA,NA,NA,NA
176,1,0.132830426,0.295846969,0.241091207,0.218327567,0.111903831,1,2019,5,State,All,Age,state,99,Haryana,46 to 64,NA,NA,NA,NA,NA
177,1,0.149815723,0.326193988,0.240204662,0.202614978,0.081170633,1,2019,5,State,All,Age,state,99,Haryana,65+,NA,NA,NA,NA,NA
178,1,NA,NA,NA,NA,NA,0,2019,5,State,All,Age,state,99,Haryana,NA,NA,NA,NA,NA,NA
373,1,0.124127001,0.388076365,0.334980786,0.122919582,0.029896263,1,2019,5,State,urban/rural,Age,statesector,0,Haryana,15 to 29,NA,NA,NA,NA,NA
374,1,0.207175046,0.366988838,0.261276871,0.130227029,0.034332212,1,2019,5,State,urban/rural,Age,statesector,0,Haryana,30 to 45,NA,NA,NA,NA,NA
375,1,0.136885822,0.315242469,0.246337339,0.219423771,0.082110599,1,2019,5,State,urban/rural,Age,statesector,0,Haryana,46 to 64,NA,NA,NA,NA,NA
376,1,0.171955034,0.364741921,0.229068458,0.197832942,0.036401652,1,2019,5,State,urban/rural,Age,statesector,0,Haryana,65+,NA,NA,NA,NA,NA
377,1,NA,NA,NA,NA,NA,0,2019,5,State,urban/rural,Age,statesector,0,Haryana,NA,NA,NA,NA,NA,NA
378,1,0.104700729,0.331798613,0.23666583,0.21178259,0.115052253,1,2019,5,State,urban/rural,Age,statesector,1,Haryana,15 to 29,NA,NA,NA,NA,NA
379,1,0.138960838,0.206981346,0.371725678,0.177507207,0.104824923,1,2019,5,State,urban/rural,Age,statesector,1,Haryana,30 to 45,NA,NA,NA,NA,NA
380,1,0.109951422,0.186425015,0.21149455,0.212143138,0.279985875,1,2019,5,State,urban/rural,Age,statesector,1,Haryana,46 to 64,NA,NA,NA,NA,NA
381,1,0.039976947,0.134947926,0.295454204,0.226339921,0.303280979,1,2019,5,State,urban/rural,Age,statesector,1,Haryana,65+,NA,NA,NA,NA,NA
648,1,0.201473922,0.355582654,0.238504574,0.151574537,0.052864328,1,2019,5,State,All,Education,state,99,Haryana,NA,No education / Preschool,NA,NA,NA,NA
649,1,0.118293658,0.337424964,0.288872242,0.205356687,0.050052445,1,2019,5,State,All,Education,state,99,Haryana,NA,Primary,NA,NA,NA,NA
650,1,0.12961863,0.254955351,0.30149135,0.185560524,0.128374144,1,2019,5,State,All,Education,state,99,Haryana,NA,Secondary,NA,NA,NA,NA
651,1,0,0.312019885,0.275843173,0.135506839,0.276630104,1,2019,5,State,All,Education,state,99,Haryana,NA,Higher,NA,NA,NA,NA
652,1,NA,NA,NA,NA,NA,0,2019,5,State,All,Education,state,99,Haryana,NA,NA,NA,NA,NA,NA
848,1,0.212499961,0.38114202,0.23447904,0.143921867,0.027957082,1,2019,5,State,urban/rural,Education,statesector,0,Haryana,NA,No education / Preschool,NA,NA,NA,NA
849,1,0.132465228,0.376890838,0.280764669,0.179395095,0.03048419,1,2019,5,State,urban/rural,Education,statesector,0,Haryana,NA,Primary,NA,NA,NA,NA
850,1,0.137243256,0.256761074,0.290177286,0.202338859,0.113479502,1,2019,5,State,urban/rural,Education,statesector,0,Haryana,NA,Secondary,NA,NA,NA,NA
851,1,0,0.416109562,0.290076733,0.180711836,0.113101862,1,2019,5,State,urban/rural,Education,statesector,0,Haryana,NA,Higher,NA,NA,NA,NA
852,1,NA,NA,NA,NA,NA,0,2019,5,State,urban/rural,Education,statesector,0,Haryana,NA,NA,NA,NA,NA,NA
853,1,0.154233217,0.246074408,0.255751789,0.184362113,0.159578472,1,2019,5,State,urban/rural,Education,statesector,1,Haryana,NA,No education / Preschool,NA,NA,NA,NA
854,1,0.060514186,0.176517114,0.321927965,0.311205745,0.12983498,1,2019,5,State,urban/rural,Education,statesector,1,Haryana,NA,Primary,NA,NA,NA,NA
855,1,0.090788007,0.245759219,0.359111428,0.100111991,0.20422937,1,2019,5,State,urban/rural,Education,statesector,1,Haryana,NA,Secondary,NA,NA,NA,NA
856,1,0,0,0.233176529,0,0.766823471,1,2019,5,State,urban/rural,Education,statesector,1,Haryana,NA,Higher,NA,NA,NA,NA
1093,1,0.149948597,0.330141664,0.273488313,0.178657666,0.067763783,1,2019,5,State,All,Gender,state,99,Haryana,NA,NA,1,NA,NA,NA
1094,1,0.224756479,0.314677626,0.220903873,0.137413651,0.102248363,1,2019,5,State,All,Gender,state,99,Haryana,NA,NA,2,NA,NA,NA
1095,1,NA,NA,NA,NA,NA,0,2019,5,State,All,Gender,state,99,Haryana,NA,NA,NA,NA,NA,NA
1204,1,0.161489144,0.355599791,0.266498238,0.174099132,0.042313691,1,2019,5,State,urban/rural,Gender,statesector,0,Haryana,NA,NA,1,NA,NA,NA
1205,1,0.231903449,0.334307969,0.219540641,0.122159086,0.092088863,1,2019,5,State,urban/rural,Gender,statesector,0,Haryana,NA,NA,2,NA,NA,NA
1206,1,NA,NA,NA,NA,NA,0,2019,5,State,urban/rural,Gender,statesector,0,Haryana,NA,NA,NA,NA,NA,NA
1207,1,0.100081854,0.220136911,0.3036924,0.198355123,0.177733704,1,2019,5,State,urban/rural,Gender,statesector,1,Haryana,NA,NA,1,NA,NA,NA
1208,1,0.19221659,0.22530137,0.227110609,0.206867203,0.148504227,1,2019,5,State,urban/rural,Gender,statesector,1,Haryana,NA,NA,2,NA,NA,NA
1377,1,0.545799255,0.3897717,0.05372598,0.010703064,0,1,2019,5,State,All,HH Size,state,99,Haryana,NA,NA,NA,1,NA,NA
1378,1,0.288117468,0.420373112,0.207769006,0.074137025,0.009603398,1,2019,5,State,All,HH Size,state,99,Haryana,NA,NA,NA,2 to 3,NA,NA
1379,1,0.152855977,0.337823153,0.288876683,0.167329118,0.053115081,1,2019,5,State,All,HH Size,state,99,Haryana,NA,NA,NA,4 to 6,NA,NA
1380,1,0.124906056,0.289422959,0.258198172,0.211017117,0.116455682,1,2019,5,State,All,HH Size,state,99,Haryana,NA,NA,NA,7+,NA,NA
1556,1,0.573194146,0.383001149,0.032024063,0.011780649,0,1,2019,5,State,urban/rural,HH Size,statesector,0,Haryana,NA,NA,NA,1,NA,NA
1557,1,0.290317684,0.423750967,0.195415214,0.085012369,0.005503743,1,2019,5,State,urban/rural,HH Size,statesector,0,Haryana,NA,NA,NA,2 to 3,NA,NA
1558,1,0.163379282,0.364561915,0.287831664,0.156819448,0.027407685,1,2019,5,State,urban/rural,HH Size,statesector,0,Haryana,NA,NA,NA,4 to 6,NA,NA
1559,1,0.138065934,0.319921046,0.249998093,0.204330459,0.087684482,1,2019,5,State,urban/rural,HH Size,statesector,0,Haryana,NA,NA,NA,7+,NA,NA
1560,1,0.273700923,0.457019985,0.269279093,0,0,1,2019,5,State,urban/rural,HH Size,statesector,1,Haryana,NA,NA,NA,1,NA,NA
1561,1,0.278427869,0.405497283,0.26217401,0.026242923,0.027657919,1,2019,5,State,urban/rural,HH Size,statesector,1,Haryana,NA,NA,NA,2 to 3,NA,NA
1562,1,0.115772076,0.24359636,0.292559206,0.20436497,0.14370738,1,2019,5,State,urban/rural,HH Size,statesector,1,Haryana,NA,NA,NA,4 to 6,NA,NA
1563,1,0.047441889,0.109899364,0.306467116,0.250377417,0.285814226,1,2019,5,State,urban/rural,HH Size,statesector,1,Haryana,NA,NA,NA,7+,NA,NA
1776,1,0.215629905,0.323811352,0.256174922,0.134007126,0.070376687,1,2019,5,State,All,Owns House,state,99,Haryana,NA,NA,NA,NA,0,NA
1777,1,0.139651462,0.32958737,0.270044059,0.187458664,0.07325846,1,2019,5,State,All,Owns House,state,99,Haryana,NA,NA,NA,NA,1,NA
1868,1,0.250582159,0.355558634,0.212792993,0.129524514,0.051541705,1,2019,5,State,urban/rural,Owns House,statesector,0,Haryana,NA,NA,NA,NA,0,NA
1869,1,0.145260856,0.35171777,0.275455177,0.179161057,0.048405174,1,2019,5,State,urban/rural,Owns House,statesector,0,Haryana,NA,NA,NA,NA,1,NA
1870,1,0.115523875,0.23288472,0.380424172,0.146845683,0.124321543,1,2019,5,State,urban/rural,Owns House,statesector,1,Haryana,NA,NA,NA,NA,0,NA
1871,1,0.110252775,0.213602409,0.241684511,0.230946288,0.203513995,1,2019,5,State,urban/rural,Owns House,statesector,1,Haryana,NA,NA,NA,NA,1,NA
1995,1,0.1799144,0.355783194,0.260023266,0.142726019,0.061553121,1,2019,5,State,All,Agri Land,state,99,Haryana,NA,NA,NA,NA,NA,0
1996,1,0.077242889,0.21138142,0.292661697,0.300314814,0.118399166,1,2019,5,State,All,Agri Land,state,99,Haryana,NA,NA,NA,NA,NA,1
2085,1,0.195129454,0.388624609,0.251815081,0.133535713,0.030895144,1,2019,5,State,urban/rural,Agri Land,statesector,0,Haryana,NA,NA,NA,NA,NA,0
2086,1,0.082801603,0.219825208,0.290342033,0.290318608,0.116712555,1,2019,5,State,urban/rural,Agri Land,statesector,0,Haryana,NA,NA,NA,NA,NA,1
2087,1,0.121917494,0.230597913,0.291311294,0.17775771,0.178415582,1,2019,5,State,urban/rural,Agri Land,statesector,1,Haryana,NA,NA,NA,NA,NA,0
2088,1,0.026523719,0.13433817,0.313827008,0.391522884,0.133788213,1,2019,5,State,urban/rural,Agri Land,statesector,1,Haryana,NA,NA,NA,NA,NA,1
2195,1,0.12241286,0.320573568,0.314714551,0.171966195,0.070332818,1,2015,4,State,All,All Households,state,99,Haryana,NA,NA,NA,NA,NA,NA
2241,1,0.134287015,0.337575734,0.332502574,0.143050373,0.052584309,1,2015,4,State,urban/rural,All Households,statesector,0,Haryana,NA,NA,NA,NA,NA,NA
2242,1,0.086800501,0.269581556,0.261365622,0.258689076,0.123563252,1,2015,4,State,urban/rural,All Households,statesector,1,Haryana,NA,NA,NA,NA,NA,NA
2351,1,0.120828345,0.306246191,0.298322827,0.253037661,0.021564966,1,2015,4,State,All,Age,state,99,Haryana,15 to 29,NA,NA,NA,NA,NA
2352,1,0.140358537,0.350637525,0.324693888,0.135685429,0.048624635,1,2015,4,State,All,Age,state,99,Haryana,30 to 45,NA,NA,NA,NA,NA
