,m_poor_1_33,wi_cat1,wi_cat2,wi_cat3,wi_cat4,wi_cat5,check,year,round,level,area,dem,SourceSheet,sector,state,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
1476,1,0.665801108,0.334198922,0,0,0,1,2019,5,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,1,NA,NA
1477,1,0.78808105,0.200870723,0.011048222,0,0,1,2019,5,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,2 to 3,NA,NA
1478,1,0.857288122,0.111844681,0.030867202,0,0,1,2019,5,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,4 to 6,NA,NA
1479,1,0.771876335,0.113710463,0.114413209,0,0,1,2019,5,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,7+,NA,NA
1480,1,0.388701558,0,0.222596869,0.388701558,0,1,2019,5,State,urban/rural,HH Size,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,2 to 3,NA,NA
1481,1,0.625585258,0.374414742,0,0,0,1,2019,5,State,urban/rural,HH Size,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,4 to 6,NA,NA
1754,1,0.742880881,0.176062614,0.029515732,0.051540755,0,1,2019,5,State,All,Owns House,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,0,NA
1755,1,0.80525732,0.158201456,0.036541216,0,0,1,2019,5,State,All,Owns House,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,1,NA
1826,1,0.879104495,0.120895527,0,0,0,1,2019,5,State,urban/rural,Owns House,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,0,NA
1827,1,0.80525732,0.158201456,0.036541216,0,0,1,2019,5,State,urban/rural,Owns House,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,1,NA
1828,1,0.549611509,0.254331797,0.071391657,0.124665044,0,1,2019,5,State,urban/rural,Owns House,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,0,NA
1973,1,0.748724997,0.195046261,0.034687605,0.021541113,0,1,2019,5,State,All,Agri Land,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,0
1974,1,0.895925701,0.070755444,0.033318851,0,0,1,2019,5,State,All,Agri Land,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,1
2044,1,0.790316999,0.182662368,0.027020652,0,0,1,2019,5,State,urban/rural,Agri Land,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,0
2045,1,0.895925701,0.070755444,0.033318851,0,0,1,2019,5,State,urban/rural,Agri Land,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,1
2046,1,0.549611509,0.254331797,0.071391657,0.124665044,0,1,2019,5,State,urban/rural,Agri Land,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,0
2184,1,0.383557528,0.344417334,0.225222856,0.027456112,0.019346153,1,2015,4,State,All,All Households,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
2219,1,0.398839682,0.347847253,0.203557864,0.029188424,0.020566776,1,2015,4,State,urban/rural,All Households,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
2220,1,0.141344517,0.290055394,0.568600059,0,0,1,2015,4,State,urban/rural,All Households,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
2304,1,0.375399321,0.433319956,0.182229564,0.009051167,0,1,2015,4,State,All,Age,state,99,Andaman and Nicobar Islands,15 to 29,NA,NA,NA,NA,NA
2305,1,0.475727588,0.241392031,0.264000118,0.018880241,0,1,2015,4,State,All,Age,state,99,Andaman and Nicobar Islands,30 to 45,NA,NA,NA,NA,NA
2306,1,0.298650652,0.419341683,0.237663344,0.044344321,0,1,2015,4,State,All,Age,state,99,Andaman and Nicobar Islands,46 to 64,NA,NA,NA,NA,NA
2307,1,0.396419048,0.331717372,0.104202345,0.012104922,0.155556336,1,2015,4,State,All,Age,state,99,Andaman and Nicobar Islands,65+,NA,NA,NA,NA,NA
2462,1,0.375399321,0.433319956,0.182229564,0.009051167,0,1,2015,4,State,urban/rural,Age,statesector,0,Andaman and Nicobar Islands,15 to 29,NA,NA,NA,NA,NA
2463,1,0.540101826,0.232023537,0.205359623,0.022514999,0,1,2015,4,State,urban/rural,Age,statesector,0,Andaman and Nicobar Islands,30 to 45,NA,NA,NA,NA,NA
2464,1,0.298650652,0.419341683,0.237663344,0.044344321,0,1,2015,4,State,urban/rural,Age,statesector,0,Andaman and Nicobar Islands,46 to 64,NA,NA,NA,NA,NA
2465,1,0.396419048,0.331717372,0.104202345,0.012104922,0.155556336,1,2015,4,State,urban/rural,Age,statesector,0,Andaman and Nicobar Islands,65+,NA,NA,NA,NA,NA
2466,1,0.141344517,0.290055394,0.568600059,0,0,1,2015,4,State,urban/rural,Age,statesector,1,Andaman and Nicobar Islands,30 to 45,NA,NA,NA,NA,NA
2772,1,0.485485435,0.193809777,0.240351066,0.024783572,0.055570155,1,2015,4,State,All,Education,state,99,Andaman and Nicobar Islands,NA,No education / Preschool,NA,NA,NA,NA
2773,1,0.228233501,0.530641854,0.212088898,0.029035769,0,1,2015,4,State,All,Education,state,99,Andaman and Nicobar Islands,NA,Primary,NA,NA,NA,NA
2774,1,0.483385026,0.259265423,0.231177136,0.026172418,0,1,2015,4,State,All,Education,state,99,Andaman and Nicobar Islands,NA,Secondary,NA,NA,NA,NA
2775,1,0,0,0,1,0,1,2015,4,State,All,Education,state,99,Andaman and Nicobar Islands,NA,Higher,NA,NA,NA,NA
2776,1,0,1,0,0,0,1,2015,4,State,All,Education,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
2937,1,0.504013717,0.201206431,0.211359471,0.025729423,0.057690959,1,2015,4,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,No education / Preschool,NA,NA,NA,NA
2938,1,0.253838688,0.539567053,0.174301028,0.032293253,0,1,2015,4,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,Primary,NA,NA,NA,NA
2939,1,0.466509968,0.26773423,0.238728464,0.027027331,0,1,2015,4,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,Secondary,NA,NA,NA,NA
2940,1,0,0,0,1,0,1,2015,4,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,Higher,NA,NA,NA,NA
