,m_poor_1_33,g01_edu_1,g01_atten_1,g01_cm_1,g01_nutri_1,g01_elec_1,g01_toilet_1,g01_water_1,g01_house_1,g01_fuel_1,g01_asset_1,year,round,level,area,dem,SourceSheet,sector,StateName,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
602,0,0,0,0,0.149832174,0,0.094944119,0.149832174,0.094944119,0,0,2019,5,State,urban/rural,Age,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
603,0,0.031227205,0,0.033297181,0.268504143,0,0.135018408,0.053248633,0.005251934,0,0.206253976,2019,5,State,urban/rural,Age,statesector,1,Andaman and Nicobar Islands,15 to 29,NA,NA,NA,NA,NA
604,1,0.671065748,0,0,1,0,1,0,0,0.328934252,0.328934252,2019,5,State,urban/rural,Age,statesector,1,Andaman and Nicobar Islands,15 to 29,NA,NA,NA,NA,NA
605,0,0.01890585,0.005471278,0.009035965,0.151121214,0,0.149426147,0.017475815,0.099131398,0.011545066,0.039645538,2019,5,State,urban/rural,Age,statesector,1,Andaman and Nicobar Islands,30 to 45,NA,NA,NA,NA,NA
606,1,0.227594212,0,0,1,0.772405803,0,0.772405803,0.772405803,0.772405803,0.772405803,2019,5,State,urban/rural,Age,statesector,1,Andaman and Nicobar Islands,30 to 45,NA,NA,NA,NA,NA
607,0,0.039562512,0.005187886,0.010812894,0.169776082,0,0.125558883,0.019119963,0.085141577,0.007388025,0.010896324,2019,5,State,urban/rural,Age,statesector,1,Andaman and Nicobar Islands,46 to 64,NA,NA,NA,NA,NA
608,1,0.405647516,0,0,1,0.594352484,0,0,0.594352484,0,0.594352484,2019,5,State,urban/rural,Age,statesector,1,Andaman and Nicobar Islands,46 to 64,NA,NA,NA,NA,NA
609,0,0.045759648,0,0.019385917,0.131968006,0,0.023745816,0.010711987,0.094088383,0,0.018368492,2019,5,State,urban/rural,Age,statesector,1,Andaman and Nicobar Islands,65+,NA,NA,NA,NA,NA
1266,0,0.131224766,0.008780673,0.019362124,0.14199388,0.015763059,0.127632216,0.034899339,0.349649072,0.186926439,0.080364391,2019,5,State,All,Education,state,99,Andaman and Nicobar Islands,NA,No education / Preschool,NA,NA,NA,NA
1267,1,0.697816491,0.125321954,0,0.382314712,0.317959458,0.718229592,0.365093291,0.812351048,0.783663273,0.629286945,2019,5,State,All,Education,state,99,Andaman and Nicobar Islands,NA,No education / Preschool,NA,NA,NA,NA
1268,0,0.090341546,0.002173135,0.006196012,0.108578153,0.024552403,0.131973192,0.045041896,0.415562749,0.236442938,0.065867178,2019,5,State,All,Education,state,99,Andaman and Nicobar Islands,NA,Primary,NA,NA,NA,NA
1269,1,0.490014732,0.02224239,0.035882588,0.499471247,0.341236204,0.707801521,0.310773969,0.867239952,0.774386525,0.63524127,2019,5,State,All,Education,state,99,Andaman and Nicobar Islands,NA,Primary,NA,NA,NA,NA
1270,0,0,0.002732313,0.002405883,0.152066767,0.007799773,0.082118638,0.038733665,0.235290602,0.09484721,0.050879478,2019,5,State,All,Education,state,99,Andaman and Nicobar Islands,NA,Secondary,NA,NA,NA,NA
1271,1,0,0.058718313,0.07467518,0.80328989,0.433758914,0.652009606,0.473469675,0.84497565,0.748698354,0.774448633,2019,5,State,All,Education,state,99,Andaman and Nicobar Islands,NA,Secondary,NA,NA,NA,NA
1272,0,0,0,0.021380372,0.089220211,0,0.045088712,0.017651131,0.06378679,0.006920544,0.0064722,2019,5,State,All,Education,state,99,Andaman and Nicobar Islands,NA,Higher,NA,NA,NA,NA
1273,0,0,0,0,0.03869329,0,0.334792376,0.162614793,0.370246619,0,0.016582837,2019,5,State,All,Education,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
1606,0,0.155292332,0.001816501,0.017863911,0.123251997,0.024653502,0.132304177,0.050190903,0.501646638,0.28386879,0.090865381,2019,5,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,No education / Preschool,NA,NA,NA,NA
1607,1,0.671000242,0.136443242,0,0.327500254,0.34617573,0.693224788,0.397492319,0.884440482,0.853206873,0.685130954,2019,5,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,No education / Preschool,NA,NA,NA,NA
1608,0,0.086271904,0.003011466,0.006007787,0.07864406,0.034023989,0.092322849,0.062417716,0.530558348,0.327655584,0.070569038,2019,5,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,Primary,NA,NA,NA,NA
1609,1,0.44411841,0.024244102,0.039111856,0.454425961,0.371945918,0.771500409,0.338742197,0.945287526,0.844077766,0.692410111,2019,5,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,Primary,NA,NA,NA,NA
1610,0,0,0.004486033,0.000799889,0.14382346,0.012806014,0.067271717,0.045710076,0.326061696,0.150255829,0.06930574,2019,5,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,Secondary,NA,NA,NA,NA
1611,1,0,0.077845857,0.099000692,0.73921138,0.323193461,0.790514231,0.484100491,0.868364394,0.775097072,0.700975001,2019,5,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,Secondary,NA,NA,NA,NA
1612,0,0,0,0,0.065760396,0,0.058945622,0.030900879,0.090629235,0.01685868,0.000633554,2019,5,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,Higher,NA,NA,NA,NA
1613,0,0,0,0,0.061239664,0,0.055436749,0.034994096,0.585987389,0,0.02624557,2019,5,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
1614,0,0.08855214,0.021128386,0.022018507,0.175223857,0,0.119348675,0.007786871,0.080152184,0.015044379,0.061745785,2019,5,State,urban/rural,Education,statesector,1,Andaman and Nicobar Islands,NA,No education / Preschool,NA,NA,NA,NA
1615,1,1,0,0,1,0,1,0,0,0,0,2019,5,State,urban/rural,Education,statesector,1,Andaman and Nicobar Islands,NA,No education / Preschool,NA,NA,NA,NA
