,m_poor_1_33,g01_edu_1,g01_atten_1,g01_cm_1,g01_nutri_1,g01_elec_1,g01_toilet_1,g01_water_1,g01_house_1,g01_fuel_1,g01_asset_1,year,round,level,area,dem,SourceSheet,sector,StateName,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
8389,0,0.016684763,0.009983153,0.007605443,0.209129512,0.01378946,0.491679013,0.112745166,0.334941059,0.434720904,0.085079126,2015,4,State,All,Owns House,state,99,Chhattisgarh,NA,NA,NA,NA,0,NA
8390,1,0.410381138,0.118049704,0.082045741,0.773346066,0.062368557,0.924450338,0.316489965,0.882055461,0.953536987,0.370578259,2015,4,State,All,Owns House,state,99,Chhattisgarh,NA,NA,NA,NA,0,NA
8391,0,0.015993152,0.010450231,0.0072796,0.234001979,0.010675025,0.496142447,0.116423801,0.476858318,0.69409734,0.057596844,2015,4,State,All,Owns House,state,99,Chhattisgarh,NA,NA,NA,NA,1,NA
8392,1,0.33172977,0.129252508,0.077367581,0.772145808,0.081568018,0.925471485,0.296418816,0.933166742,0.980257869,0.29507181,2015,4,State,All,Owns House,state,99,Chhattisgarh,NA,NA,NA,NA,1,NA
8393,0,0.174414709,0,0,0,0,0,0,0.825585306,0.825585306,0.174414709,2015,4,State,All,Owns House,state,99,Chhattisgarh,NA,NA,NA,NA,NA,NA
8606,0,0.005449767,0.011930691,0.00071509,0.163639888,0.023344645,0.683084488,0.176911905,0.611463964,0.791197956,0.123525068,2015,4,State,urban/rural,Owns House,statesector,0,Chhattisgarh,NA,NA,NA,NA,0,NA
8607,1,0.383938164,0.101799078,0.074144542,0.779167414,0.062021192,0.945452988,0.338008285,0.933915854,0.993840158,0.370142192,2015,4,State,urban/rural,Owns House,statesector,0,Chhattisgarh,NA,NA,NA,NA,0,NA
8608,0,0.014245777,0.008336524,0.007146014,0.22378698,0.014538385,0.592201352,0.139280319,0.602471232,0.87951827,0.071577698,2015,4,State,urban/rural,Owns House,statesector,0,Chhattisgarh,NA,NA,NA,NA,1,NA
8609,1,0.329110086,0.125213981,0.074444339,0.771190047,0.085938223,0.936225533,0.300567657,0.949190557,0.99290359,0.303753555,2015,4,State,urban/rural,Owns House,statesector,0,Chhattisgarh,NA,NA,NA,NA,1,NA
8610,0,0.174414709,0,0,0,0,0,0,0.825585306,0.825585306,0.174414709,2015,4,State,urban/rural,Owns House,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,NA
8611,0,0.025543256,0.008447574,0.013038301,0.244996861,0.006255455,0.340761006,0.062151421,0.116910242,0.153648376,0.054765541,2015,4,State,urban/rural,Owns House,statesector,1,Chhattisgarh,NA,NA,NA,NA,0,NA
8612,1,0.559303105,0.209570244,0.12654385,0.740561187,0.064324833,0.806167305,0.19530271,0.589987278,0.726556897,0.37303409,2015,4,State,urban/rural,Owns House,statesector,1,Chhattisgarh,NA,NA,NA,NA,0,NA
8613,0,0.020316305,0.015679719,0.007610102,0.259274751,0.00111675,0.258484691,0.059874859,0.166081443,0.235350356,0.023007035,2015,4,State,urban/rural,Owns House,statesector,1,Chhattisgarh,NA,NA,NA,NA,1,NA
8614,1,0.368548721,0.186012968,0.118453085,0.785579443,0.020145841,0.77432543,0.238107681,0.707955778,0.80252564,0.173051924,2015,4,State,urban/rural,Owns House,statesector,1,Chhattisgarh,NA,NA,NA,NA,1,NA
8947,0,0.018482754,0.012791329,0.009493041,0.219635651,0.009476509,0.464554518,0.099999942,0.371579975,0.491384685,0.067056425,2015,4,State,All,Agri Land,state,99,Chhattisgarh,NA,NA,NA,NA,NA,0
8948,1,0.403215438,0.141571164,0.070814379,0.743299067,0.077619523,0.918898702,0.288590819,0.906809688,0.956863046,0.335386455,2015,4,State,All,Agri Land,state,99,Chhattisgarh,NA,NA,NA,NA,NA,0
8949,0,0.014215419,0.008560496,0.005642661,0.240185887,0.012203522,0.519539535,0.128323942,0.53004843,0.799223721,0.055691898,2015,4,State,All,Agri Land,state,99,Chhattisgarh,NA,NA,NA,NA,NA,1
8950,1,0.300802112,0.120598584,0.081799164,0.789049268,0.081281498,0.929149091,0.303657293,0.941600621,0.990247726,0.281813055,2015,4,State,All,Agri Land,state,99,Chhattisgarh,NA,NA,NA,NA,NA,1
8951,0,0.174414709,0,0,0,0,0,0,0.825585306,0.825585306,0.174414709,2015,4,State,All,Agri Land,state,99,Chhattisgarh,NA,NA,NA,NA,NA,NA
9164,0,0.012315734,0.009865706,0.008882442,0.177743807,0.018647935,0.697145045,0.146304637,0.651399374,0.858735144,0.111605965,2015,4,State,urban/rural,Agri Land,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,0
9165,1,0.395625085,0.136497676,0.063216932,0.735389829,0.085916862,0.94333005,0.298564315,0.949017465,0.992073298,0.360708535,2015,4,State,urban/rural,Agri Land,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,0
9166,0,0.01412243,0.008100497,0.005838425,0.235647663,0.013819747,0.560598493,0.140284881,0.58443594,0.878822684,0.061232612,2015,4,State,urban/rural,Agri Land,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,1
9167,1,0.302298635,0.116845004,0.080015756,0.789998531,0.083155796,0.933755517,0.305940449,0.947493196,0.993427575,0.283065975,2015,4,State,urban/rural,Agri Land,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,1
9168,0,0.174414709,0,0,0,0,0,0,0.825585306,0.825585306,0.174414709,2015,4,State,urban/rural,Agri Land,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,NA
9169,0,0.023287954,0.015070908,0.009968805,0.252276808,0.002330346,0.283325374,0.063920394,0.153551161,0.205153733,0.032344453,2015,4,State,urban/rural,Agri Land,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,0
9170,1,0.443106622,0.168234944,0.11074277,0.784865975,0.034012821,0.790499628,0.236175105,0.684986591,0.771815717,0.202306226,2015,4,State,urban/rural,Agri Land,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,0
9171,0,0.014837102,0.011635876,0.004333859,0.270526737,0.001398068,0.245035589,0.048357729,0.166434899,0.267055959,0.018648854,2015,4,State,urban/rural,Agri Land,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,1
9172,1,0.238683745,0.276405513,0.155826315,0.749644458,0.003481325,0.737942159,0.208885953,0.697005868,0.858255684,0.229805574,2015,4,State,urban/rural,Agri Land,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,1
21,0,0.034336507,0.00985856,0.006942662,0.300801873,0.001107218,0.30482024,0.040865578,0.237349778,0.149214566,0.121813305,2019,5,State,All,All Households,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
22,1,0.365094632,0.171269253,0.079101637,0.840580165,0.017833157,0.591427982,0.16026035,0.787582397,0.681839824,0.444063485,2019,5,State,All,All Households,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
107,0,0.032314107,0.011190815,0.00742236,0.3328439,0.001171089,0.312258929,0.050678432,0.425492197,0.284428716,0.102718152,2019,5,State,urban/rural,All Households,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
108,1,0.330111504,0.105778188,0.060251184,0.846092522,0.019655813,0.57158953,0.178137243,0.903764904,0.78494519,0.443771958,2019,5,State,urban/rural,All Households,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
109,0,0.036252826,0.008596183,0.006488126,0.270440489,0.001046696,0.297771722,0.031567425,0.059075706,0.021092599,0.139906883,2019,5,State,urban/rural,All Households,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
110,1,0.540782094,0.500169575,0.173769802,0.81289649,0.008679664,0.69105804,0.070481472,0.204106182,0.164037898,0.445527524,2019,5,State,urban/rural,All Households,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
317,0,0.018032035,0.008386469,0.013826268,0.314344913,0.001874022,0.498472422,0.059086885,0.10411156,0.068115711,0.395090371,2019,5,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,15 to 29,NA,NA,NA,NA,NA
318,1,0.412630171,0.138356611,0.248013392,0.922623396,0,0.657149732,0.191910803,0.616064429,0.410892129,0.306439131,2019,5,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,15 to 29,NA,NA,NA,NA,NA
319,0,0.026722256,0.015934471,0.00514835,0.252820104,0.001796525,0.350889534,0.03894062,0.246498838,0.148338661,0.106071375,2019,5,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,30 to 45,NA,NA,NA,NA,NA
320,1,0.444871098,0.311885625,0.063588426,0.852897942,0.024491707,0.537746906,0.068468146,0.675869405,0.502202034,0.516904891,2019,5,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,30 to 45,NA,NA,NA,NA,NA
321,0,0.028215814,0.004212348,0.007456538,0.359784067,0,0.194673151,0.038949091,0.285115182,0.177097738,0.032414798,2019,5,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,46 to 64,NA,NA,NA,NA,NA
322,1,0.175274879,0.111420117,0.069977231,0.928664207,0.024654355,0.60393101,0.243933797,0.902371585,0.873404205,0.3991822,2019,5,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,46 to 64,NA,NA,NA,NA,NA
323,0,0.137492791,0,0.001755262,0.324051946,0,0.095440485,0.024167461,0.262565434,0.207510114,0.024387648,2019,5,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,65+,NA,NA,NA,NA,NA
324,1,0.577130973,0,0,0.538962603,0.000485664,0.637610495,0.159860596,0.928005099,0.88742429,0.485898346,2019,5,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,65+,NA,NA,NA,NA,NA
325,0,0,0,0,0,0,0,0,0,0,0.264366567,2019,5,State,All,Age,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
713,0,0.001133373,0.021302944,0.017042356,0.332038611,0,0.432121247,0.090877786,0.223056555,0.173024565,0.296240062,2019,5,State,urban/rural,Age,statesector,0,Dadra & Nagar Haveli and Daman & Diu,15 to 29,NA,NA,NA,NA,NA
714,1,0.359337449,0,0.28450647,1,0,0.623679399,0.233752549,0.842264891,0.566483617,0.276930153,2019,5,State,urban/rural,Age,statesector,0,Dadra & Nagar Haveli and Daman & Diu,15 to 29,NA,NA,NA,NA,NA
715,0,0.016514877,0.019032748,0.000520434,0.270882905,0.002646336,0.363280684,0.040942118,0.449959874,0.281701237,0.110785522,2019,5,State,urban/rural,Age,statesector,0,Dadra & Nagar Haveli and Daman & Diu,30 to 45,NA,NA,NA,NA,NA
716,1,0.395532221,0.210975796,0.002819018,0.864981294,0.02890346,0.479639202,0.076699622,0.862470865,0.649850726,0.542441308,2019,5,State,urban/rural,Age,statesector,0,Dadra & Nagar Haveli and Daman & Diu,30 to 45,NA,NA,NA,NA,NA
717,0,0.034553554,0.000285657,0.013827761,0.400117099,0,0.247492671,0.051103827,0.473732948,0.307421893,0.039408743,2019,5,State,urban/rural,Age,statesector,0,Dadra & Nagar Haveli and Daman & Diu,46 to 64,NA,NA,NA,NA,NA
718,1,0.164507821,0.098642558,0.074084528,0.928319573,0.026101435,0.599575937,0.249540478,0.937077701,0.897844315,0.39194566,2019,5,State,urban/rural,Age,statesector,0,Dadra & Nagar Haveli and Daman & Diu,46 to 64,NA,NA,NA,NA,NA
719,0,0.151057228,0,0.003249334,0.386818856,0,0.13816008,0.041054484,0.405733377,0.372281671,0.024810102,2019,5,State,urban/rural,Age,statesector,0,Dadra & Nagar Haveli and Daman & Diu,65+,NA,NA,NA,NA,NA
720,1,0.570181072,0,0,0.540857852,0.000493646,0.638617218,0.162487924,0.936294317,0.892536819,0.484411687,2019,5,State,urban/rural,Age,statesector,0,Dadra & Nagar Haveli and Daman & Diu,65+,NA,NA,NA,NA,NA
721,0,0,0,0,0,0,0,0,0,0,0.800521612,2019,5,State,urban/rural,Age,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
722,0,0.029004076,0,0.011738112,0.302856684,0.003090795,0.541553199,0.038445543,0.026882403,0,0.459272355,2019,5,State,urban/rural,Age,statesector,1,Dadra & Nagar Haveli and Daman & Diu,15 to 29,NA,NA,NA,NA,NA
723,1,0.533882082,0.453146487,0.164984092,0.746575713,0,0.73330158,0.096712194,0.101411618,0.056889366,0.373578072,2019,5,State,urban/rural,Age,statesector,1,Dadra & Nagar Haveli and Daman & Diu,15 to 29,NA,NA,NA,NA,NA
724,0,0.035900284,0.013148637,0.009309568,0.236578837,0.001032413,0.339747965,0.037140958,0.063555628,0.0284249,0.101832621,2019,5,State,urban/rural,Age,statesector,1,Dadra & Nagar Haveli and Daman & Diu,30 to 45,NA,NA,NA,NA,NA
725,1,0.566488385,0.560622156,0.213381305,0.823113084,0.013617006,0.680978835,0.048178062,0.215908259,0.138256907,0.453959167,2019,5,State,urban/rural,Age,statesector,1,Dadra & Nagar Haveli and Daman & Diu,30 to 45,NA,NA,NA,NA,NA
726,0,0.020798467,0.008807937,0,0.312580466,0,0.132856011,0.024723839,0.064366974,0.024573304,0.024229461,2019,5,State,urban/rural,Age,statesector,1,Dadra & Nagar Haveli and Daman & Diu,46 to 64,NA,NA,NA,NA,NA
727,1,0.358716607,0.329115301,0,0.934536219,0,0.678129971,0.148411006,0.311072439,0.457009912,0.522473693,2019,5,State,urban/rural,Age,statesector,1,Dadra & Nagar Haveli and Daman & Diu,46 to 64,NA,NA,NA,NA,NA
728,0,0.121557042,0,0,0.250312299,0,0.045252766,0.004328297,0.094369262,0.013933668,0.023891343,2019,5,State,urban/rural,Age,statesector,1,Dadra & Nagar Haveli and Daman & Diu,65+,NA,NA,NA,NA,NA
729,1,1,0,0,0.423646182,0,0.576353848,0,0.423646182,0.576353848,0.576353848,2019,5,State,urban/rural,Age,statesector,1,Dadra & Nagar Haveli and Daman & Diu,65+,NA,NA,NA,NA,NA
730,0,0,0,0,0,0,0,0,0,0,0,2019,5,State,urban/rural,Age,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
1329,0,0.094445653,0.007012446,0.001502626,0.386927038,0,0.340259343,0.044443354,0.489069849,0.355549484,0.080635019,2019,5,State,All,Education,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,No education / Preschool,NA,NA,NA,NA
1330,1,0.378972054,0.160952568,0.016133534,0.789280653,0.002982581,0.591057539,0.170074522,0.877542913,0.778957665,0.498180449,2019,5,State,All,Education,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,No education / Preschool,NA,NA,NA,NA
1331,0,0.091414154,0.021253882,0.013483115,0.351651371,0.003102911,0.279904783,0.042287204,0.391591728,0.235873416,0.093281277,2019,5,State,All,Education,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,Primary,NA,NA,NA,NA
1332,1,0.540648997,0.09418457,0.06078678,0.881046772,0.05070322,0.523653209,0.147463709,0.755231142,0.66647768,0.32907179,2019,5,State,All,Education,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,Primary,NA,NA,NA,NA
1333,0,0,0.008387399,0.007381191,0.27578935,0.000865206,0.324313134,0.042348895,0.139540374,0.07328321,0.139715239,2019,5,State,All,Education,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,Secondary,NA,NA,NA,NA
1334,1,0,0.337460726,0.33710143,0.940431952,0.009242998,0.725799382,0.154626876,0.54438889,0.390306234,0.470436513,2019,5,State,All,Education,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,Secondary,NA,NA,NA,NA
1335,0,0,0.003131403,0.003582105,0.20367676,0.000833562,0.191519246,0.027797528,0.02256969,0.015813787,0.141995624,2019,5,State,All,Education,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,Higher,NA,NA,NA,NA
1336,1,0,0.619918525,0,1,0,0.380081475,0,0.380081475,0,0.380081475,2019,5,State,All,Education,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,Higher,NA,NA,NA,NA
1337,0,0,0,0,0,0,0.448390633,0,0.091279477,0.091279477,0.395887345,2019,5,State,All,Education,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
1726,0,0.076257579,0.009329998,0,0.393351525,0,0.297694355,0.039524086,0.600079536,0.450807959,0.062849127,2019,5,State,urban/rural,Education,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,No education / Preschool,NA,NA,NA,NA
1727,1,0.329455972,0.139828458,0.01799405,0.800216019,0.003326532,0.586822152,0.189687476,0.947520971,0.833665669,0.509779811,2019,5,State,urban/rural,Education,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,No education / Preschool,NA,NA,NA,NA
1728,0,0.043306202,0.015012146,0.021142861,0.38267225,0.004865672,0.29003188,0.064080872,0.564178526,0.358395189,0.076817356,2019,5,State,urban/rural,Education,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,Primary,NA,NA,NA,NA
1729,1,0.487283021,0,0.052770305,0.87037605,0.063427977,0.527738154,0.156084999,0.923121274,0.833740592,0.315756619,2019,5,State,urban/rural,Education,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,Primary,NA,NA,NA,NA
1730,0,0,0.011561651,0.005506994,0.276761055,0,0.326900423,0.049310245,0.276527971,0.161445051,0.141021267,2019,5,State,urban/rural,Education,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,Secondary,NA,NA,NA,NA
1731,1,0,0.154347807,0.272731155,1,0,0.613106012,0.178035423,0.685646355,0.476497173,0.431363702,2019,5,State,urban/rural,Education,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,Secondary,NA,NA,NA,NA
1732,0,0,0,0,0.237576902,0,0.350375146,0.067904696,0.00587528,0.007746236,0.12618731,2019,5,State,urban/rural,Education,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,Higher,NA,NA,NA,NA
1733,1,0,1,0,1,0,0,0,0,0,0,2019,5,State,urban/rural,Education,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,Higher,NA,NA,NA,NA
1734,0,0,0,0,0,0,0.709645987,0,0,0,0.201480135,2019,5,State,urban/rural,Education,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
1735,0,0.149479106,0,0.00604927,0.367487878,0,0.469052464,0.059328075,0.153176799,0.067316398,0.134451553,2019,5,State,urban/rural,Education,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,No education / Preschool,NA,NA,NA,NA
1736,1,0.80835253,0.344130993,0,0.694454074,0,0.627784431,0,0.270725429,0.304555446,0.397596329,2019,5,State,urban/rural,Education,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,No education / Preschool,NA,NA,NA,NA
1737,0,0.176096469,0.032240938,0,0.297046691,0,0.262078494,0.00392476,0.087794706,0.020203704,0.122261994,2019,5,State,urban/rural,Education,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,Primary,NA,NA,NA,NA
1738,1,0.753291547,0.469473541,0.092729323,0.923565567,0,0.507376194,0.113111243,0.086254209,0,0.382127583,2019,5,State,urban/rural,Education,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,Primary,NA,NA,NA,NA
1739,0,0,0.006252282,0.008641843,0.275135726,0.001447176,0.322572827,0.03766644,0.047397561,0.013982379,0.138836756,2019,5,State,urban/rural,Education,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,Secondary,NA,NA,NA,NA
1740,1,0,0.735349357,0.476972431,0.810995698,0.029327238,0.970672488,0.103762127,0.237448484,0.203020751,0.555338383,2019,5,State,urban/rural,Education,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,Secondary,NA,NA,NA,NA
1741,0,0,0.003874316,0.004431945,0.195634082,0.001031321,0.153831303,0.018282259,0.026530374,0.017727781,0.145746082,2019,5,State,urban/rural,Education,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,Higher,NA,NA,NA,NA
1742,1,0,0,0,1,0,1,0,1,0,1,2019,5,State,urban/rural,Education,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,Higher,NA,NA,NA,NA
1743,0,0,0,0,0,0,0.287738055,0,0.147409558,0.147409558,0.515433311,2019,5,State,urban/rural,Education,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
2308,0,0.028729184,0.010280293,0.007768666,0.298095435,0.001244955,0.318457156,0.045051515,0.236482263,0.150340587,0.129416198,2019,5,State,All,Gender,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,1,NA,NA,NA
2309,1,0.396616638,0.189504862,0.079929464,0.817664385,0.019453753,0.61262691,0.162550211,0.767159045,0.674311519,0.411588073,2019,5,State,All,Gender,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,1,NA,NA,NA
2310,0,0.080521524,0.006558842,0.000306996,0.327066839,0,0.19792743,0.00731746,0.247738823,0.142122298,0.057849668,2019,5,State,All,Gender,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,2,NA,NA,NA
2311,1,0.208255559,0.08053717,0.07498274,0.954598427,0.009769817,0.485952049,0.148867086,0.889199674,0.719297171,0.605646312,2019,5,State,All,Gender,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,2,NA,NA,NA
2312,0,0,0,0,0,0,0,0,0,0,0.264366567,2019,5,State,All,Gender,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
2536,0,0.024563033,0.012535243,0.008310244,0.329661787,0.001323454,0.323215634,0.056751586,0.429172724,0.286503017,0.107135944,2019,5,State,urban/rural,Gender,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,1,NA,NA,NA
2537,1,0.364414304,0.109153911,0.055059221,0.821556628,0.021553021,0.589538336,0.180586711,0.89447552,0.795513093,0.410100639,2019,5,State,urban/rural,Gender,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,1,NA,NA,NA
2538,0,0.092723235,0.000865225,0.000603444,0.360544026,0,0.230114222,0.00403604,0.400807768,0.270921797,0.062122479,2019,5,State,urban/rural,Gender,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,2,NA,NA,NA
2539,1,0.172765702,0.090293862,0.08406654,0.958637893,0.010953384,0.489259094,0.166901618,0.946375012,0.73647064,0.598221242,2019,5,State,urban/rural,Gender,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,2,NA,NA,NA
2540,0,0,0,0,0,0,0,0,0,0,0.800521612,2019,5,State,urban/rural,Gender,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
2541,0,0.032638185,0.008164527,0.007260516,0.26847747,0.001171302,0.313992381,0.034073617,0.05568539,0.022582624,0.150321245,2019,5,State,urban/rural,Gender,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,1,NA,NA,NA
2542,1,0.545618117,0.561292112,0.195005104,0.799654782,0.009740351,0.71945864,0.079094566,0.178060129,0.113506772,0.418470502,2019,5,State,urban/rural,Gender,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,1,NA,NA,NA
2543,0,0.067885645,0.012455055,0,0.292398423,0,0.164595321,0.010715643,0.089223213,0.008739752,0.05342482,2019,5,State,urban/rural,Gender,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,2,NA,NA,NA
2544,1,0.501208603,0,0,0.921254158,0,0.458653718,0,0.417242646,0.577537298,0.666936815,2019,5,State,urban/rural,Gender,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,2,NA,NA,NA
2545,0,0,0,0,0,0,0,0,0,0,0,2019,5,State,urban/rural,Gender,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
2912,0,0.283833206,0,0,0.013396388,0.004008953,0.496450007,0.036473673,0.058331601,0.026069865,0.41586557,2019,5,State,All,HH Size,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,1,NA,NA
2913,1,1,0,0,0.105545186,0.12118607,0.992790878,0.105545186,0.609201491,0.726333976,0.894454837,2019,5,State,All,HH Size,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,1,NA,NA
2914,0,0.080265038,0.006219096,0.008044386,0.129567519,0.004468674,0.384918302,0.040963709,0.121596597,0.06573727,0.200964049,2019,5,State,All,HH Size,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,2 to 3,NA,NA
2915,1,0.747761905,0.050730485,0,0.43428278,0.012107292,0.763408065,0.097876951,0.814149618,0.760842383,0.46237126,2019,5,State,All,HH Size,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,2 to 3,NA,NA
2916,0,0.016429896,0.012403126,0.004711475,0.298250884,0,0.30170992,0.035611052,0.217212856,0.13436082,0.105579354,2019,5,State,All,HH Size,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,4 to 6,NA,NA
2917,1,0.433646291,0.217643231,0.074881911,0.876272619,0.014371039,0.552051961,0.151760206,0.718245983,0.586897969,0.506045699,2019,5,State,All,HH Size,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,4 to 6,NA,NA
2918,0,0,0.007458083,0.013916935,0.573842108,0,0.183756322,0.05895127,0.481583238,0.325649798,0.032076951,2019,5,State,All,HH Size,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,7+,NA,NA
2919,1,0.102224298,0.148877859,0.116152063,0.955993474,0.021054318,0.576179206,0.197097436,0.891536057,0.798010647,0.325074732,2019,5,State,All,HH Size,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,7+,NA,NA
3248,0,0.3097516,0,0,0,0,0.480953902,0.002367747,0.061469574,0.051713742,0.506908417,2019,5,State,urban/rural,HH Size,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,1,NA,NA
3249,1,1,0,0,0,0.174835071,0.989599407,0,0.740735173,0.895611644,1,2019,5,State,urban/rural,HH Size,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,1,NA,NA
3250,0,0.124381028,0.007763297,0.000456401,0.091750666,0.007763297,0.447711349,0.043482717,0.235349059,0.177993834,0.193515748,2019,5,State,urban/rural,HH Size,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,2 to 3,NA,NA
3251,1,0.739642739,0.036038805,0,0.390365541,0,0.741646707,0.106813513,0.858980775,0.843765974,0.50380379,2019,5,State,urban/rural,HH Size,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,2 to 3,NA,NA
3252,0,0.01593665,0.017358908,0.004203374,0.293618411,0,0.324307054,0.046816319,0.395570308,0.253648579,0.095366925,2019,5,State,urban/rural,HH Size,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,4 to 6,NA,NA
3253,1,0.419346839,0.12627174,0.033809047,0.88723731,0.018483857,0.531711161,0.182692811,0.881447136,0.717129052,0.493798465,2019,5,State,urban/rural,HH Size,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,4 to 6,NA,NA
3254,0,0,0,0.019106185,0.579798877,0,0.196869776,0.066163979,0.623520076,0.428258687,0.044037584,2019,5,State,urban/rural,HH Size,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,7+,NA,NA
3255,1,0.076476082,0.103455685,0.113341525,0.953105569,0.022436015,0.559793532,0.198604345,0.950043499,0.850380421,0.34640789,2019,5,State,urban/rural,HH Size,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,7+,NA,NA
