,m_poor_1_20_old,m_poor_1_33,m_poor_1_50,m_poor_1_20,Year,level,area,dem,SourceSheet,sector,StateName,multidimensionally_poor_1_33,multidimensionally_poor_1_50,head_age_cat,edu_group,head_gender,hhsize_cat
46,0.464635372,0.236518621,0.06111826,0.228116751,2019,State,urban/rural,All Households,statesector,0,Assam,NA,NA,NA,NA,NA,NA
47,0.227533638,0.078385226,0.013248416,0.149148412,2019,State,urban/rural,All Households,statesector,1,Assam,NA,NA,NA,NA,NA,NA
48,0.589980364,0.380653173,0.146889418,0.209327191,2019,State,urban/rural,All Households,statesector,0,Bihar,NA,NA,NA,NA,NA,NA
49,0.312813908,0.164153337,0.051644884,0.148660571,2019,State,urban/rural,All Households,statesector,1,Bihar,NA,NA,NA,NA,NA,NA
50,0.203883499,0.038834952,0,0.165048547,2019,State,urban/rural,All Households,statesector,0,Chandigarh,NA,NA,NA,NA,NA,NA
51,0.107529014,0.039434381,0.011991247,0.068094633,2019,State,urban/rural,All Households,statesector,1,Chandigarh,NA,NA,NA,NA,NA,NA
52,0.484485745,0.215176627,0.04576258,0.269309118,2019,State,urban/rural,All Households,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,NA
53,0.187608942,0.050845772,0.007517346,0.13676317,2019,State,urban/rural,All Households,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,NA
54,0.473805785,0.221954927,0.033448994,0.251850858,2019,State,urban/rural,All Households,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
55,0.177758858,0.051075306,0.013339214,0.126683552,2019,State,urban/rural,All Households,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
56,0.072663538,0.02368954,0.008120588,0.048973998,2019,State,urban/rural,All Households,statesector,0,Delhi,NA,NA,NA,NA,NA,NA
57,0.106256619,0.033789698,0.0048089,0.072466921,2019,State,urban/rural,All Households,statesector,1,Delhi,NA,NA,NA,NA,NA,NA
58,0.104852423,0.028414149,0.003376751,0.076438274,2019,State,urban/rural,All Households,statesector,0,Goa,NA,NA,NA,NA,NA,NA
59,0.059586637,0.004166212,0,0.055420425,2019,State,urban/rural,All Households,statesector,1,Goa,NA,NA,NA,NA,NA,NA
60,0.468078911,0.214335427,0.046168625,0.253743484,2019,State,urban/rural,All Households,statesector,0,Gujarat,NA,NA,NA,NA,NA,NA
61,0.111008711,0.043155078,0.007206296,0.067853633,2019,State,urban/rural,All Households,statesector,1,Gujarat,NA,NA,NA,NA,NA,NA
62,0.304226249,0.086267814,0.019693904,0.217958435,2019,State,urban/rural,All Households,statesector,0,Haryana,NA,NA,NA,NA,NA,NA
63,0.139281511,0.041405171,0.008073798,0.09787634,2019,State,urban/rural,All Households,statesector,1,Haryana,NA,NA,NA,NA,NA,NA
64,0.249804825,0.057492629,0.005818551,0.192312196,2019,State,urban/rural,All Households,statesector,0,Himachal Pradesh,NA,NA,NA,NA,NA,NA
65,0.07507129,0.02341295,0.009907729,0.05165834,2019,State,urban/rural,All Households,statesector,1,Himachal Pradesh,NA,NA,NA,NA,NA,NA
66,0.213795096,0.078970119,0.013209112,0.134824977,2019,State,urban/rural,All Households,statesector,0,Jammu and Kashmir,NA,NA,NA,NA,NA,NA
67,0.060676478,0.015621888,0.001160011,0.04505459,2019,State,urban/rural,All Households,statesector,1,Jammu and Kashmir,NA,NA,NA,NA,NA,NA
68,0.621118307,0.372891515,0.113674417,0.248226792,2019,State,urban/rural,All Households,statesector,0,Jharkhand,NA,NA,NA,NA,NA,NA
69,0.236835331,0.08632721,0.018519159,0.150508121,2019,State,urban/rural,All Households,statesector,1,Jharkhand,NA,NA,NA,NA,NA,NA
70,0.340393543,0.118337162,0.018633734,0.222056381,2019,State,urban/rural,All Households,statesector,0,Karnataka,NA,NA,NA,NA,NA,NA
71,0.144836649,0.032152899,0.00360988,0.11268375,2019,State,urban/rural,All Households,statesector,1,Karnataka,NA,NA,NA,NA,NA,NA
72,0.114008836,0.012588571,0.000577356,0.101420265,2019,State,urban/rural,All Households,statesector,0,Kerala,NA,NA,NA,NA,NA,NA
73,0.07394027,0.004135723,0,0.069804547,2019,State,urban/rural,All Households,statesector,1,Kerala,NA,NA,NA,NA,NA,NA
74,0.218260169,0.076473728,0.008998775,0.141786441,2019,State,urban/rural,All Households,statesector,0,Ladakh,NA,NA,NA,NA,NA,NA
75,0.120428048,0.01650467,0.003765208,0.103923378,2019,State,urban/rural,All Households,statesector,1,Ladakh,NA,NA,NA,NA,NA,NA
76,0.286390632,0.012339019,0,0.274051613,2019,State,urban/rural,All Households,statesector,0,Lakshadweep,NA,NA,NA,NA,NA,NA
77,0.114654593,0.007854932,0,0.106799661,2019,State,urban/rural,All Households,statesector,1,Lakshadweep,NA,NA,NA,NA,NA,NA
78,0.55072546,0.296201676,0.068865046,0.254523784,2019,State,urban/rural,All Households,statesector,0,Madhya Pradesh,NA,NA,NA,NA,NA,NA
79,0.20383355,0.076088704,0.013621197,0.127744846,2019,State,urban/rural,All Households,statesector,1,Madhya Pradesh,NA,NA,NA,NA,NA,NA
80,0.352372676,0.133559465,0.022188794,0.218813211,2019,State,urban/rural,All Households,statesector,0,Maharashtra,NA,NA,NA,NA,NA,NA
81,0.138753846,0.033417873,0.003379995,0.105335973,2019,State,urban/rural,All Households,statesector,1,Maharashtra,NA,NA,NA,NA,NA,NA
82,0.328859687,0.128732294,0.019285617,0.200127393,2019,State,urban/rural,All Households,statesector,0,Manipur,NA,NA,NA,NA,NA,NA
83,0.175272748,0.044142134,0.004728457,0.131130614,2019,State,urban/rural,All Households,statesector,1,Manipur,NA,NA,NA,NA,NA,NA
84,0.535354674,0.314662158,0.12106353,0.220692516,2019,State,urban/rural,All Households,statesector,0,Meghalaya,NA,NA,NA,NA,NA,NA
85,0.195468888,0.081994355,0.026902726,0.113474533,2019,State,urban/rural,All Households,statesector,1,Meghalaya,NA,NA,NA,NA,NA,NA
86,0.261537105,0.11465691,0.037125126,0.146880195,2019,State,urban/rural,All Households,statesector,0,Mizoram,NA,NA,NA,NA,NA,NA
