State,Code,Indicator,Year,Value
Andhra Pradesh,nontax_total,Non-tax revenues,1992,29.78
Andhra Pradesh,own_nontax_total,State's Own Non-Tax Revenue,1992,15.07
Andhra Pradesh,grants_total,Grants from the Centre,1992,14.71
Andhra Pradesh,loan_rec_total,Recovery of loans and advances,1992,1.27
Andhra Pradesh,misc_cap_total,Miscellaneous capital receipts,1992,0.0
Andhra Pradesh,inc_tax_taxrev,Taxes on Income,1992,0.69
Andhra Pradesh,prop_tax_taxrev,Taxes on Property and Capital,1992,5.04
Andhra Pradesh,nontax_taxrev,Non-tax revenues,1992,43.2
Andhra Pradesh,own_nontax_taxrev,State's Own Non-Tax Revenue,1992,21.86
Andhra Pradesh,total_rev_gdp,Total revenues,1993,21.13
Andhra Pradesh,cur_rev_gdp,Current revenues,1993,20.8
Andhra Pradesh,tax_rev_gdp,Tax revenues,1993,13.92
Andhra Pradesh,own_tax_gdp,State's own tax revenues,1993,9.66
Andhra Pradesh,inc_tax_gdp,Taxes on Income,1993,0.1
Andhra Pradesh,prop_tax_gdp,Taxes on Property and Capital,1993,0.73
Andhra Pradesh,comm_tax_gdp,Taxes on Commodities and Services,1993,8.83
Andhra Pradesh,central_share_gdp,Share in central government tax,1993,4.25
Andhra Pradesh,nontax_gdp,Non-tax revenues,1993,6.89
Andhra Pradesh,own_nontax_gdp,State's Own Non-Tax Revenue,1993,3.41
Andhra Pradesh,grants_gdp,Grants from the Centre,1993,3.48
Andhra Pradesh,loan_rec_gdp,Recovery of loans and advances,1993,0.32
Andhra Pradesh,misc_cap_gdp,Miscellaneous capital receipts,1993,0.0
Andhra Pradesh,cur_rev_total,Current revenues,1993,98.47
Andhra Pradesh,tax_rev_total,Tax revenues,1993,65.88
Andhra Pradesh,own_tax_total,State's own tax revenues,1993,45.75
Andhra Pradesh,inc_tax_total,Taxes on Income,1993,0.46
Andhra Pradesh,prop_tax_total,Taxes on Property and Capital,1993,3.47
Andhra Pradesh,comm_tax_total,Taxes on Commodities and Services,1993,41.82
Andhra Pradesh,central_share_total,Share in central government tax,1993,20.13
Andhra Pradesh,nontax_total,Non-tax revenues,1993,32.59
Andhra Pradesh,own_nontax_total,State's Own Non-Tax Revenue,1993,16.13
Andhra Pradesh,grants_total,Grants from the Centre,1993,16.46
Andhra Pradesh,loan_rec_total,Recovery of loans and advances,1993,1.53
Andhra Pradesh,misc_cap_total,Miscellaneous capital receipts,1993,0.0
Andhra Pradesh,inc_tax_taxrev,Taxes on Income,1993,0.7
Andhra Pradesh,prop_tax_taxrev,Taxes on Property and Capital,1993,5.26
Andhra Pradesh,nontax_taxrev,Non-tax revenues,1993,49.47
Andhra Pradesh,own_nontax_taxrev,State's Own Non-Tax Revenue,1993,24.48
Andhra Pradesh,total_rev_gdp,Total revenues,1994,20.8
Andhra Pradesh,cur_rev_gdp,Current revenues,1994,18.6
Andhra Pradesh,tax_rev_gdp,Tax revenues,1994,12.94
Andhra Pradesh,own_tax_gdp,State's own tax revenues,1994,8.95
Andhra Pradesh,inc_tax_gdp,Taxes on Income,1994,0.09
Andhra Pradesh,prop_tax_gdp,Taxes on Property and Capital,1994,0.82
Andhra Pradesh,comm_tax_gdp,Taxes on Commodities and Services,1994,8.05
Andhra Pradesh,central_share_gdp,Share in central government tax,1994,3.99
Andhra Pradesh,nontax_gdp,Non-tax revenues,1994,5.66
Andhra Pradesh,own_nontax_gdp,State's Own Non-Tax Revenue,1994,3.24
Andhra Pradesh,grants_gdp,Grants from the Centre,1994,2.42
Andhra Pradesh,loan_rec_gdp,Recovery of loans and advances,1994,2.2
Andhra Pradesh,misc_cap_gdp,Miscellaneous capital receipts,1994,0.0
Andhra Pradesh,cur_rev_total,Current revenues,1994,89.43
Andhra Pradesh,tax_rev_total,Tax revenues,1994,62.2
Andhra Pradesh,own_tax_total,State's own tax revenues,1994,43.03
Andhra Pradesh,inc_tax_total,Taxes on Income,1994,0.42
Andhra Pradesh,prop_tax_total,Taxes on Property and Capital,1994,3.93
Andhra Pradesh,comm_tax_total,Taxes on Commodities and Services,1994,38.68
Andhra Pradesh,central_share_total,Share in central government tax,1994,19.17
Andhra Pradesh,nontax_total,Non-tax revenues,1994,27.23
Andhra Pradesh,own_nontax_total,State's Own Non-Tax Revenue,1994,15.58
Andhra Pradesh,grants_total,Grants from the Centre,1994,11.66
Andhra Pradesh,loan_rec_total,Recovery of loans and advances,1994,10.57
Andhra Pradesh,misc_cap_total,Miscellaneous capital receipts,1994,0.0
Andhra Pradesh,inc_tax_taxrev,Taxes on Income,1994,0.68
Andhra Pradesh,prop_tax_taxrev,Taxes on Property and Capital,1994,6.31
Andhra Pradesh,nontax_taxrev,Non-tax revenues,1994,43.78
Andhra Pradesh,own_nontax_taxrev,State's Own Non-Tax Revenue,1994,25.04
Andhra Pradesh,total_rev_gdp,Total revenues,1995,20.98
Andhra Pradesh,cur_rev_gdp,Current revenues,1995,18.04
Andhra Pradesh,tax_rev_gdp,Tax revenues,1995,12.21
Andhra Pradesh,own_tax_gdp,State's own tax revenues,1995,7.53
Andhra Pradesh,inc_tax_gdp,Taxes on Income,1995,0.08
Andhra Pradesh,prop_tax_gdp,Taxes on Property and Capital,1995,0.73
Andhra Pradesh,comm_tax_gdp,Taxes on Commodities and Services,1995,6.72
Andhra Pradesh,central_share_gdp,Share in central government tax,1995,4.68
Andhra Pradesh,nontax_gdp,Non-tax revenues,1995,5.83
Andhra Pradesh,own_nontax_gdp,State's Own Non-Tax Revenue,1995,2.93
Andhra Pradesh,grants_gdp,Grants from the Centre,1995,2.9
Andhra Pradesh,loan_rec_gdp,Recovery of loans and advances,1995,2.93
Andhra Pradesh,misc_cap_gdp,Miscellaneous capital receipts,1995,0.0
Andhra Pradesh,cur_rev_total,Current revenues,1995,86.01
Andhra Pradesh,tax_rev_total,Tax revenues,1995,58.21
Andhra Pradesh,own_tax_total,State's own tax revenues,1995,35.89
Andhra Pradesh,inc_tax_total,Taxes on Income,1995,0.37
Andhra Pradesh,prop_tax_total,Taxes on Property and Capital,1995,3.48
Andhra Pradesh,comm_tax_total,Taxes on Commodities and Services,1995,32.04
Andhra Pradesh,central_share_total,Share in central government tax,1995,22.32
Andhra Pradesh,nontax_total,Non-tax revenues,1995,27.8
Andhra Pradesh,own_nontax_total,State's Own Non-Tax Revenue,1995,13.98
Andhra Pradesh,grants_total,Grants from the Centre,1995,13.82
Andhra Pradesh,loan_rec_total,Recovery of loans and advances,1995,13.99
