State,Code,Indicator,Year,Value
Andhra Pradesh,total_exp_gdp,Total,1990,24.95
Andhra Pradesh,cur_total_gdp,Total current expenditure,1990,21.55
Andhra Pradesh,cur_dev_gdp,Current developmental expenditure,1990,15.43
Andhra Pradesh,cur_dev_ss_gdp,Social Services,1990,8.29
Andhra Pradesh,cur_dev_es_gdp,Economic Services,1990,7.14
Andhra Pradesh,cur_nondev_gdp,Current non-developmental expenditure,1990,5.93
Andhra Pradesh,cur_nd_org_gdp,Organs of State,1990,0.18
Andhra Pradesh,cur_nd_fis_gdp,Fiscal Services,1990,0.49
Andhra Pradesh,cur_nd_int_gdp,Interest Payments and Servicing of Debt,1990,2.31
Andhra Pradesh,cur_nd_adm_gdp,Administrative Services,1990,1.66
Andhra Pradesh,cur_nd_pen_gdp,Pensions,1990,1.29
Andhra Pradesh,cur_nd_mis_gdp,Miscellaneous General Services,1990,0.0
Andhra Pradesh,cur_comp_gdp,Compensation and Assignments to Local Bodies and PRIs,1990,0.19
Andhra Pradesh,cap_outlay_gdp,Total Capital Outlay,1990,1.81
Andhra Pradesh,cap_dev_gdp,Development Capital Outlay,1990,1.78
Andhra Pradesh,cap_dev_ss_gdp,Social Services,1990,0.16
Andhra Pradesh,cap_dev_es_gdp,Economic Services,1990,1.62
Andhra Pradesh,cap_nondev_gdp,Non-Development Capital Outlay,1990,0.03
Andhra Pradesh,loans_gdp,Loans and Advances,1990,1.59
Andhra Pradesh,loans_dev_gdp,Development Purposes,1990,1.52
Andhra Pradesh,loans_ss_gdp,Social Services,1990,0.42
Andhra Pradesh,loans_es_gdp,Economic Services,1990,1.09
Andhra Pradesh,loans_nondev_gdp,Non-Development Purposes,1990,0.08
Andhra Pradesh,cur_total_total,Total current expenditure,1990,86.37
Andhra Pradesh,cur_dev_total,Current developmental expenditure,1990,61.85
Andhra Pradesh,cur_dev_ss_total,Social Services,1990,33.21
Andhra Pradesh,cur_dev_es_total,Economic Services,1990,28.63
Andhra Pradesh,cur_nondev_total,Current non-developmental expenditure,1990,23.76
Andhra Pradesh,cur_nd_org_total,Organs of State,1990,0.71
Andhra Pradesh,cur_nd_fis_total,Fiscal Services,1990,1.96
