,State,Year,level,area,dem,real_wage_23,quint_label,sector,Sector_Type,Group,sex_cat,youth_cat,cws_type,emp_type
32396,Daman & Diu,2019,State,All,CWS Type,15357.56,Total,99,All,CWSType,NA,NA,2,NA
50762,Daman & Diu,2019,State,urban/rural,Emp Type,15357.56,4,0,Rural,EmpType,NA,NA,NA,1
11098,Kerala,2020,State,urban/rural,Sex,15360.19,3,0,Rural,Gender,1,NA,NA,NA
36709,Daman & Diu,2020,State,urban/rural,CWS Type,15361.45,4,0,Rural,CWSType,NA,NA,3,NA
40496,Himachal Pradesh,2022,State,urban/rural,CWS Type,15361.78,4,0,Rural,CWSType,NA,NA,2,NA
55742,Andhra Pradesh,2022,State,All,Emp Type,15361.78,Total,99,All,EmpType,NA,NA,NA,2
56394,Punjab,2022,State,urban/rural,Emp Type,15361.78,Total,0,Rural,EmpType,NA,NA,NA,2
6113,Sikkim,2017,State,urban/rural,Sex,15364.66,4,0,Rural,Gender,2,NA,NA,NA
6940,Sikkim,2018,State,All,Sex,15364.66,4,99,All,Gender,2,NA,NA,NA
18342,Sikkim,2018,State,urban/rural,Youth,15364.66,4,0,Rural,Youth,NA,1,NA,NA
