,State,Year,level,area,dem,real_wage_23,quint_label,sector,Sector_Type,Group,sex_cat,youth_cat,cws_type,emp_type
3076,Kerala,2021,State,All,All Households,15235.86,Total,99,All,Total,NA,NA,NA,NA
3253,Kerala,2021,State,All,All Households,15235.86,3,99,All,Total,NA,NA,NA,NA
11278,Arunachal Pradesh,2021,State,All,Sex,15235.86,Total,99,All,Gender,1,NA,NA,NA
11452,Arunachal Pradesh,2021,State,All,Sex,15235.86,3,99,All,Gender,1,NA,NA,NA
37198,Rajasthan,2021,State,All,CWS Type,15235.86,Total,99,All,CWSType,NA,NA,3,NA
39003,Gujarat,2021,State,urban/rural,CWS Type,15235.86,4,0,Rural,CWSType,NA,NA,2,NA
38945,Chhattisgarh,2021,State,urban/rural,CWS Type,15236.48,4,1,Urban,CWSType,NA,NA,1,NA
53156,Andhra Pradesh,2020,State,urban/rural,Emp Type,15237.26,4,0,Rural,EmpType,NA,NA,NA,1
53157,Andhra Pradesh,2020,State,urban/rural,Emp Type,15239.03,4,0,Rural,EmpType,NA,NA,NA,2
4451,India,2023,National,All,All Households,15240.42,4,99,All,Total,NA,NA,NA,NA
6800,Goa,2018,State,All,Sex,15240.42,Total,99,All,Gender,2,NA,NA,NA
9177,Nagaland,2019,State,urban/rural,Sex,15249.38,2,1,Urban,Gender,2,NA,NA,NA
33731,Bihar,2019,State,urban/rural,CWS Type,15249.38,4,1,Urban,CWSType,NA,NA,2,NA
49669,Bihar,2019,State,urban/rural,Emp Type,15249.38,Total,1,Urban,EmpType,NA,NA,NA,1
49981,Punjab,2019,State,urban/rural,Emp Type,15249.38,5,1,Urban,EmpType,NA,NA,NA,3
50226,Bihar,2019,State,urban/rural,Emp Type,15249.38,3,1,Urban,EmpType,NA,NA,NA,1
50231,Bihar,2019,State,urban/rural,Emp Type,15249.38,4,1,Urban,EmpType,NA,NA,NA,3
60121,Telangana,2023,State,urban/rural,Emp Type,15257.2,4,1,Urban,EmpType,NA,NA,NA,3
5179,Andaman and Nicobar Island,2023,State,urban/rural,All Households,15257.76,2,1,Urban,Total,NA,NA,NA,NA
20283,West Bengal,2019,State,urban/rural,Youth,15259.86,4,1,Urban,Youth,NA,2,NA,NA
5728,Jammu and Kashmir,2017,State,urban/rural,Sex,15260.99,Total,0,Rural,Gender,1,NA,NA,NA
15704,Jammu and Kashmir,2017,State,All,Youth,15260.99,4,99,All,Youth,NA,1,NA,NA
31313,Sikkim,2018,State,urban/rural,CWS Type,15260.99,3,0,Rural,CWSType,NA,NA,2,NA
45230,Jammu and Kashmir,2017,State,urban/rural,Emp Type,15260.99,2,0,Rural,EmpType,NA,NA,NA,1
47889,Sikkim,2018,State,urban/rural,Emp Type,15260.99,3,0,Rural,EmpType,NA,NA,NA,3
48711,Telangana,2018,State,urban/rural,Emp Type,15260.99,4,0,Rural,EmpType,NA,NA,NA,2
49443,Andhra Pradesh,2019,State,All,Emp Type,15260.99,5,99,All,EmpType,NA,NA,NA,3
5296,Lakshadweep,2017,State,All,Sex,15261.61,Total,99,All,Gender,1,NA,NA,NA
16329,Lakshadweep,2017,State,urban/rural,Youth,15261.61,Total,1,Urban,Youth,NA,1,NA,NA
17125,Lakshadweep,2017,State,urban/rural,Youth,15261.61,2,1,Urban,Youth,NA,1,NA,NA
35777,Kerala,2020,State,urban/rural,CWS Type,15263.28,Total,0,Rural,CWSType,NA,NA,3,NA
55058,Assam,2021,State,urban/rural,Emp Type,15263.28,5,0,Rural,EmpType,NA,NA,NA,3
59685,Madhya Pradesh,2023,State,urban/rural,Emp Type,15265.11,4,0,Rural,EmpType,NA,NA,NA,1
21404,Meghalaya,2020,State,urban/rural,Youth,15266.16,Total,1,Urban,Youth,NA,2,NA,NA
21947,Meghalaya,2020,State,urban/rural,Youth,15266.16,3,1,Urban,Youth,NA,2,NA,NA
52274,Jammu and Kashmir,2020,State,urban/rural,Emp Type,15268.02,4,1,Urban,EmpType,NA,NA,NA,3
19772,Kerala,2019,State,urban/rural,Youth,15269.63,Total,1,Urban,Youth,NA,2,NA,NA
25803,Goa,2023,State,All,Youth,15269.82,Total,99,All,Youth,NA,1,NA,NA
8391,Delhi,2019,State,All,Sex,15270.36,2,99,All,Gender,1,NA,NA,NA
9032,Delhi,2019,State,urban/rural,Sex,15270.36,2,1,Urban,Gender,1,NA,NA,NA
48830,Delhi,2019,State,All,Emp Type,15270.36,Total,99,All,EmpType,NA,NA,NA,3
49062,Delhi,2019,State,All,Emp Type,15270.36,2,99,All,EmpType,NA,NA,NA,3
49647,Delhi,2019,State,urban/rural,Emp Type,15270.36,Total,1,Urban,EmpType,NA,NA,NA,3
50114,Delhi,2019,State,urban/rural,Emp Type,15270.36,2,1,Urban,EmpType,NA,NA,NA,3
59524,Assam,2023,State,urban/rural,Emp Type,15271.03,3,1,Urban,EmpType,NA,NA,NA,1
42451,Goa,2023,State,All,CWS Type,15275.36,3,99,All,CWSType,NA,NA,1,NA
8764,Delhi,2019,State,urban/rural,Sex,15280.86,Total,1,Urban,Gender,2,NA,NA,NA
19215,Delhi,2019,State,All,Youth,15280.86,2,99,All,Youth,NA,2,NA,NA
19967,Delhi,2019,State,urban/rural,Youth,15280.86,2,1,Urban,Youth,NA,2,NA,NA
32324,Delhi,2019,State,All,CWS Type,15280.86,Total,99,All,CWSType,NA,NA,2,NA
32557,Delhi,2019,State,All,CWS Type,15280.86,3,99,All,CWSType,NA,NA,2,NA
33152,Delhi,2019,State,urban/rural,CWS Type,15280.86,Total,1,Urban,CWSType,NA,NA,2,NA
33616,Delhi,2019,State,urban/rural,CWS Type,15280.86,3,1,Urban,CWSType,NA,NA,2,NA
49065,Delhi,2019,State,All,Emp Type,15280.86,3,99,All,EmpType,NA,NA,NA,3
50117,Delhi,2019,State,urban/rural,Emp Type,15280.86,3,1,Urban,EmpType,NA,NA,NA,3
43136,Uttar Pradesh,2023,State,urban/rural,CWS Type,15281.61,5,0,Rural,CWSType,NA,NA,2,NA
59166,Rajasthan,2023,State,urban/rural,Emp Type,15281.61,4,0,Rural,EmpType,NA,NA,NA,1
59167,Rajasthan,2023,State,urban/rural,Emp Type,15281.61,4,0,Rural,EmpType,NA,NA,NA,2
57200,Tripura,2022,State,urban/rural,Emp Type,15282.97,5,1,Urban,EmpType,NA,NA,NA,3
43559,Jharkhand,2023,State,urban/rural,CWS Type,15285.61,3,1,Urban,CWSType,NA,NA,3,NA
2625,Himachal Pradesh,2020,State,urban/rural,All Households,15286.33,3,1,Urban,Total,NA,NA,NA,NA
34907,Himachal Pradesh,2020,State,All,CWS Type,15286.33,4,99,All,CWSType,NA,NA,2,NA
17116,Lakshadweep,2017,State,urban/rural,Youth,15286.57,3,0,Rural,Youth,NA,2,NA,NA
19011,India,2019,National,urban/rural,Youth,15288.22,5,0,Rural,Youth,NA,1,NA,NA
8162,Andaman and Nicobar Island,2018,State,urban/rural,Sex,15288.5,3,0,Rural,Gender,2,NA,NA,NA
30934,Andaman and Nicobar Island,2018,State,urban/rural,CWS Type,15288.5,Total,0,Rural,CWSType,NA,NA,2,NA
33323,Goa,2019,State,urban/rural,CWS Type,15288.5,Total,0,Rural,CWSType,NA,NA,1,NA
46634,Andaman and Nicobar Island,2018,State,All,Emp Type,15288.5,Total,99,All,EmpType,NA,NA,NA,3
47231,Andaman and Nicobar Island,2018,State,All,Emp Type,15288.5,3,99,All,EmpType,NA,NA,NA,3
47523,Andaman and Nicobar Island,2018,State,urban/rural,Emp Type,15288.5,Total,0,Rural,EmpType,NA,NA,NA,3
48675,Andaman and Nicobar Island,2018,State,urban/rural,Emp Type,15288.5,3,0,Rural,EmpType,NA,NA,NA,3
16015,Daman & Diu,2017,State,All,Youth,15289.12,4,99,All,Youth,NA,1,NA,NA
16296,Daman & Diu,2017,State,urban/rural,Youth,15289.12,Total,0,Rural,Youth,NA,1,NA,NA
16985,Daman & Diu,2017,State,urban/rural,Youth,15289.12,2,0,Rural,Youth,NA,1,NA,NA
