statenumber,state,lf_cws,emp_cws,unpaid_emp,unemp_cws,neet,lfpr_female,unemp_female,type,sector,level,area,year,dem,yr
22,Chhattisgarh,0.667404294,0.627699316,0.286967635,0.059491642,0.259594291,0.50069648,0.045840599,State+Urban+All,0,state,urban/rural,2022,All,2022
25,Daman and Diu,0.665987849,0.644564033,0.106598005,0.032168522,0.279395193,0.405942917,0.01690067,State+AllSectors+All,99,state,All,2023,All,2023
25,Daman and Diu,0.689131141,0.655599773,0.171490848,0.048657466,0.163678885,0.469100088,0.069507703,State+Urban+All,0,state,urban/rural,2022,All,2022
25,Daman and Diu,0.735097647,0.710750341,0.203319907,0.033121191,0.320641994,0.608080745,0,State+Urban+All,0,state,urban/rural,2023,All,2023
25,Daman and Diu,0.640109837,0.618501246,0.08873257,0.033757608,0.210875377,0.317956537,0.068129867,State+AllSectors+All,99,state,All,2022,All,2022
25,Daman and Diu,0.611473024,0.596829414,0.035627171,0.023948144,0.237610057,0.220798641,0.066248156,State+Urban+All,1,state,urban/rural,2022,All,2022
25,Daman and Diu,0.616879404,0.597532928,0.024846312,0.031361837,0.246082827,0.236173943,0.053447008,State+Urban+All,1,state,urban/rural,2023,All,2023
7,Delhi,0.397289574,0.356666505,0.000623868,0.102250524,0.355120718,0.039018795,0,State+Urban+All,0,state,urban/rural,2022,All,2022
7,Delhi,0.470114201,0.456993431,0.038527925,0.02790975,0.231060475,0.153417766,0.049768478,State+Urban+All,1,state,urban/rural,2022,All,2022
7,Delhi,0.461057574,0.445500016,0.048457034,0.03374321,0.225795686,0.182487026,0.025560724,State+Urban+All,1,state,urban/rural,2023,All,2023
7,Delhi,0.462509423,0.446593702,0.047958668,0.034411661,0.228478119,0.182420388,0.02918924,State+AllSectors+All,99,state,All,2023,All,2023
7,Delhi,0.468157679,0.454298019,0.037728433,0.029604668,0.234590232,0.150209695,0.04940594,State+AllSectors+All,99,state,All,2022,All,2022
7,Delhi,0.525102913,0.493746042,0.028572045,0.05971561,0.323251009,0.17943272,0.19462274,State+Urban+All,0,state,urban/rural,2023,All,2023
30,Goa,0.505915463,0.46666491,0.021311125,0.077583298,0.263341874,0.290699542,0.185309708,State+Urban+All,1,state,urban/rural,2023,All,2023
30,Goa,0.504316211,0.455736428,0.018349964,0.09632805,0.230570048,0.276914746,0.15213193,State+Urban+All,1,state,urban/rural,2022,All,2022
30,Goa,0.505889237,0.461962938,0.039984096,0.086829841,0.223371029,0.271507859,0.161801428,State+AllSectors+All,99,state,All,2023,All,2023
30,Goa,0.492027313,0.439016491,0.036009092,0.10773962,0.240545779,0.267809898,0.175832823,State+AllSectors+All,99,state,All,2022,All,2022
30,Goa,0.505853057,0.455485553,0.066339359,0.099569462,0.165542558,0.244728982,0.122837871,State+Urban+All,0,state,urban/rural,2023,All,2023
30,Goa,0.474146158,0.414687872,0.064247757,0.125400767,0.254950941,0.255473226,0.210641786,State+Urban+All,0,state,urban/rural,2022,All,2022
24,Gujarat,0.620744705,0.606791675,0.170262396,0.022477947,0.250916123,0.410977006,0.017755054,State+AllSectors+All,99,state,All,2023,All,2023
24,Gujarat,0.526372313,0.509060502,0.073786512,0.032888919,0.275728524,0.252555609,0.054808795,State+Urban+All,1,state,urban/rural,2022,All,2022
24,Gujarat,0.67056036,0.656094134,0.205379412,0.021573307,0.27706629,0.490224421,0.015154541,State+Urban+All,0,state,urban/rural,2022,All,2022
24,Gujarat,0.543635428,0.524358928,0.06269037,0.035458501,0.266703099,0.278046817,0.043728195,State+Urban+All,1,state,urban/rural,2023,All,2023
24,Gujarat,0.678111911,0.668119311,0.233072713,0.014735887,0.239674479,0.507019579,0.00746405,State+Urban+All,0,state,urban/rural,2023,All,2023
24,Gujarat,0.607098639,0.59138,0.155523404,0.025891421,0.276486337,0.386873245,0.026411505,State+AllSectors+All,99,state,All,2022,All,2022
6,Haryana,0.479349971,0.456985205,0.059241708,0.046656437,0.241432801,0.201947495,0.038813084,State+Urban+All,1,state,urban/rural,2023,All,2023
6,Haryana,0.459575146,0.414007545,0.112422004,0.099151619,0.347875178,0.184651524,0.073649146,State+Urban+All,0,state,urban/rural,2022,All,2022
6,Haryana,0.478402913,0.441332251,0.044084154,0.077488348,0.274671942,0.189887255,0.092530772,State+Urban+All,1,state,urban/rural,2022,All,2022
6,Haryana,0.466135979,0.423529267,0.087607607,0.091404051,0.324091494,0.18639949,0.080070794,State+AllSectors+All,99,state,All,2022,All,2022
6,Haryana,0.4821845,0.458631486,0.132280111,0.048846453,0.309015781,0.233013928,0.028860545,State+Urban+All,0,state,urban/rural,2023,All,2023
6,Haryana,0.481071353,0.457984984,0.103659868,0.047989491,0.282713264,0.220854133,0.032422613,State+AllSectors+All,99,state,All,2023,All,2023
2,Himachal Pradesh,0.707511187,0.660744011,0.214872479,0.066100933,0.20534429,0.627967119,0.065608129,State+AllSectors+All,99,state,All,2022,All,2022
2,Himachal Pradesh,0.701655388,0.648020506,0.197061256,0.076440521,0.24763912,0.623646796,0.090435237,State+Urban+All,0,state,urban/rural,2023,All,2023
2,Himachal Pradesh,0.724281907,0.680747986,0.227799624,0.060106348,0.202262625,0.65736264,0.054054506,State+Urban+All,0,state,urban/rural,2022,All,2022
2,Himachal Pradesh,0.691942632,0.638086259,0.182621703,0.077833548,0.236926541,0.60332793,0.097195052,State+AllSectors+All,99,state,All,2023,All,2023
2,Himachal Pradesh,0.623321176,0.56790036,0.066212878,0.088912174,0.176557347,0.431527555,0.179796845,State+Urban+All,1,state,urban/rural,2023,All,2023
2,Himachal Pradesh,0.555663049,0.479621351,0.04874279,0.136848599,0.227017611,0.365862191,0.250705361,State+Urban+All,1,state,urban/rural,2022,All,2022
.,India,0.54719764,0.518584788,0.159316018,0.052289695,0.296099603,0.324643791,0.051088989,AllStates+AllSectors+All,99,allindia,All,2022,All,2022
.,India,0.494293153,0.459848732,0.061364304,0.069684215,0.282211334,0.239821762,0.09092249,AllStates+Urban+All,1,allindia,urban/rural,2022,All,2022
.,India,0.589432001,0.56466943,0.202369943,0.042010989,0.288367629,0.39650479,0.038984984,AllStates+Urban+All,0,allindia,urban/rural,2023,All,2023
.,India,0.569381356,0.543213844,0.194085553,0.045957763,0.301668525,0.359526336,0.040161867,AllStates+Urban+All,0,allindia,urban/rural,2022,All,2022
