poor_300,poor_420,poor_830,year,level,area,State,sector,welfare_agg21_sp,india_welfare,india_welfare_filled,welfare_pct_india,round,m_poor_1_33,m_poor_1_20,m_poor_1_50
0.025724066,0.1611589,0.79983777,2023,National,All,India,99,3516.896513,3516.8965,3516.8965,100,5,0.16392806,0.35079706,0.042453505
0.010684142,0.14141698,0.78875011,2023,State,urban/rural,Jammu and Kashmir,0,3609.299766,,3516.8965,102.62741,5,0.078970119,0.2137951,0.013209112
0.0010378,0.077322766,0.63129616,2023,State,urban/rural,Jammu and Kashmir,1,4332.143092,,3516.8965,123.18085,5,0.015621888,0.060676478,0.001160011
0.008642592,0.1278521,0.75542653,2023,State,All,Jammu and Kashmir,99,3745.735058,,3516.8965,106.50684,5,0.062550865,0.17410822,0.010086101
0.14338581,0.45345381,0.96708632,2023,State,urban/rural,Jharkhand,0,2584.063794,,3516.8965,73.475685,5,0.37289152,0.62111831,0.11367442
0.071954332,0.2441906,0.7707687,2023,State,urban/rural,Jharkhand,1,3392.947222,,3516.8965,96.475609,5,0.08632721,0.23683533,0.018519159
0.12916408,0.41179034,0.92800027,2023,State,All,Jharkhand,99,2690.950723,,3516.8965,76.514923,5,0.30603045,0.5314576,0.091472834
0.013571742,0.11513752,0.79136205,2023,State,urban/rural,Karnataka,0,3687.911149,,3516.8965,104.86266,5,0.11833716,0.34039354,0.018633734
0.012603205,0.066280946,0.54465079,2023,State,urban/rural,Karnataka,1,4663.404077,,3516.8965,132.59998,5,0.032152899,0.14483665,0.00360988
0.013214458,0.097114764,0.70035249,2023,State,All,Karnataka,99,3985.206419,,3516.8965,113.316,5,0.08497858,0.26470107,0.012818584
0.003704225,0.038535424,0.62571061,2023,State,urban/rural,Kerala,0,4379.908546,,3516.8965,124.53902,5,0.012588571,0.11400884,0.000577356
0.004443758,0.031847369,0.54296881,2023,State,urban/rural,Kerala,1,4715.467592,,3516.8965,134.08037,5,0.004135723,0.07394027,0
0.004068956,0.035236936,0.58490312,2023,State,All,Kerala,99,4534.44889,,3516.8965,128.93324,5,0.008574503,0.094981171,0.000303183
0,0.10992622,0.73324811,2023,State,urban/rural,Ladakh,0,3672.382539,,3516.8965,104.42111,5,0.076473728,0.21826017,0.008998775
0.002978301,0.11340304,0.56490654,2023,State,urban/rural,Ladakh,1,4491.171015,,3516.8965,127.70267,5,0.01650467,0.12042805,0.003765208
0.000465939,0.11047015,0.70691198,2023,State,All,Ladakh,99,3792.347685,,3516.8965,107.83222,5,0.065117896,0.19973452,0.008007739
0.009602008,0.082967781,0.70546496,2023,State,urban/rural,Lakshadweep,0,4242.992823,,3516.8965,120.64594,5,0.012339019,0.28639063,0
0.007392305,0.042734608,0.58588684,2023,State,urban/rural,Lakshadweep,1,4614.062348,,3516.8965,131.19699,5,0.007854932,0.11465459,0
0.00799828,0.05376792,0.61867923,2023,State,All,Lakshadweep,99,4497.745979,,3516.8965,127.88963,5,0.00882642,0.15186161,0
0.027124435,0.22630452,0.91503352,2023,State,urban/rural,Madhya Pradesh,0,3117.144067,,3516.8965,88.633377,5,0.29620168,0.55072546,0.068865046
0.020813201,0.12301733,0.74425787,2023,State,urban/rural,Madhya Pradesh,1,3763.115949,,3516.8965,107.00105,5,0.076088704,0.20383355,0.013621197
0.025459701,0.19906016,0.86998755,2023,State,All,Madhya Pradesh,99,3248.548173,,3516.8965,92.369743,5,0.23962457,0.46156156,0.054665353
0.035063937,0.22753136,0.90959108,2023,State,urban/rural,Maharashtra,0,3139.907904,,3516.8965,89.280647,5,0.13355947,0.35237268,0.022188794
0.027129333,0.13003898,0.70144176,2023,State,urban/rural,Maharashtra,1,3945.395924,,3516.8965,112.18402,5,0.033417873,0.13875385,0.003379995
0.031630535,0.1853452,0.81952232,2023,State,All,Maharashtra,99,3412.803206,,3516.8965,97.040192,5,0.089880563,0.25919822,0.013984932
0.0508327,0.27618897,0.95370525,2023,State,urban/rural,Manipur,0,2971.607785,,3516.8965,84.495171,5,0.12873229,0.32885969,0.019285617
0.013818737,0.11161821,0.82941973,2023,State,urban/rural,Manipur,1,3632.081367,,3516.8965,103.27518,5,0.044142134,0.17527275,0.004728457
0.041788079,0.23597495,0.92333519,2023,State,All,Manipur,99,3122.280549,,3516.8965,88.779427,5,0.09671443,0.27072614,0.013775649
0.067293748,0.25111413,0.92881578,2023,State,urban/rural,Meghalaya,0,3045.061447,,3516.8965,86.583763,5,0.31466216,0.53535467,0.12106353
0.003225337,0.040957056,0.55953288,2023,State,urban/rural,Meghalaya,1,4641.974841,,3516.8965,131.99066,5,0.081994355,0.19546889,0.026902726
0.058432344,0.22204696,0.87773967,2023,State,All,Meghalaya,99,3154.83844,,3516.8965,89.705185,5,0.27019063,0.47038975,0.10306587
0.006943846,0.083179086,0.74743956,2023,State,urban/rural,Mizoram,0,3810.201786,,3516.8965,108.33989,5,0.11465691,0.2615371,0.037125126
0,0.010094862,0.52104837,2023,State,urban/rural,Mizoram,1,4844.145621,,3516.8965,137.73921,5,0.007993477,0.050763432,0.000680698
0.003761613,0.04968597,0.6436888,2023,State,All,Mizoram,99,4339.381539,,3516.8965,123.38667,5,0.057503603,0.14859857,0.017597163
0.036270715,0.17357977,0.88488209,2023,State,urban/rural,Nagaland,0,3376.996906,,3516.8965,96.022072,5,0.22169407,0.39372507,0.038815737
0,0.031741906,0.53931034,2023,State,urban/rural,Nagaland,1,4767.914694,,3516.8965,135.57166,5,0.063680984,0.18255338,0.008263414
0.026506636,0.135397,0.79185414,2023,State,All,Nagaland,99,3670.939425,,3516.8965,104.38008,5,0.17056227,0.32539153,0.028929243
0.059770316,0.31704846,0.92551291,2023,State,urban/rural,Odisha,0,2881.624412,,3516.8965,81.936569,5,0.23550354,0.44558415,0.058836449
