sector,state,state_sec_quint,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,books,stationary,schoolbag,clothing,footwear,year
rural,Chattisgarh,4,0.954,0.097,0.801,0.313,0.003,0.287,0.039,0.154,0.655,0.044,0.043,0,0,0,0.003,0.306,0.006,0.01,0.097,0.004,2022
urban,Chattisgarh,4,0.727,0.031,0.397,0.089,0.008,0.599,0.036,0.043,0.441,0.014,0.007,0.004,0.004,0,0,0.087,0.002,0.006,0.021,0,2022
rural,Chattisgarh,5,0.904,0.107,0.769,0.244,0.006,0.504,0.043,0.143,0.72,0.121,0.036,0,0,0,0.004,0.234,0.012,0.013,0.069,0.013,2022
urban,Chattisgarh,5,0.377,0.007,0.189,0.037,0.001,0.515,0.053,0.03,0.385,0.028,0.003,0.002,0,0,0.001,0.036,0.001,0.001,0.003,0,2022
all,Chattisgarh,1,0.893,0.06,0.797,0.402,0.013,0.073,0.096,0.155,0.473,0.018,0.08,0,0,0.003,0.013,0.396,0.002,0.001,0.179,0.002,2022
all,Chattisgarh,2,0.935,0.058,0.847,0.421,0.005,0.151,0.053,0.156,0.572,0.033,0.073,0,0,0,0.008,0.407,0.005,0.004,0.138,0.007,2022
all,Chattisgarh,3,0.923,0.083,0.779,0.389,0.002,0.259,0.053,0.149,0.626,0.051,0.046,0,0,0.001,0.004,0.379,0.006,0.01,0.111,0.009,2022
all,Chattisgarh,4,0.926,0.084,0.752,0.266,0.001,0.371,0.034,0.134,0.654,0.048,0.031,0,0,0.001,0.001,0.261,0.003,0.006,0.088,0.003,2022
all,Chattisgarh,5,0.762,0.075,0.58,0.167,0.006,0.553,0.045,0.106,0.602,0.099,0.026,0.001,0.001,0,0.003,0.159,0.01,0.011,0.044,0.01,2022
all,Chattisgarh,99,0.888,0.072,0.751,0.329,0.005,0.281,0.056,0.14,0.585,0.05,0.051,0,0,0.001,0.006,0.321,0.005,0.006,0.112,0.006,2022
rural,Chattisgarh,99,0.924,0.084,0.806,0.36,0.006,0.237,0.061,0.16,0.616,0.056,0.057,0,0,0.001,0.007,0.351,0.006,0.007,0.125,0.006,2022
urban,Chattisgarh,99,0.738,0.022,0.522,0.201,0.004,0.468,0.036,0.056,0.456,0.023,0.029,0.001,0.001,0.002,0.001,0.194,0.003,0.003,0.055,0.007,2022
1,Chhattisgarh,1,0.736,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Chhattisgarh,2,0.767,0.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Chhattisgarh,3,0.783,0.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Chhattisgarh,4,0.689,0.862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Chhattisgarh,5,0.517,0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Chhattisgarh,1,0.823,0.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Chhattisgarh,2,0.627,0.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Chhattisgarh,3,0.55,0.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Chhattisgarh,4,0.448,0.374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Chhattisgarh,5,0.054,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Chhattisgarh,1,0.758,0.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Chhattisgarh,2,0.764,0.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Chhattisgarh,3,0.719,0.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Chhattisgarh,4,0.618,0.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Chhattisgarh,5,0.408,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Chhattisgarh,99,0.654,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Chhattisgarh,99,0.698,0.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Chhattisgarh,99,0.501,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
rural,Dadra Nagar Haveli & Diu Daman,1,0.706,0,0.326,0.581,0.017,0.005,0,0.233,0.131,0,0.018,0,0,0,0.018,0.581,0.221,0.268,0.017,0,2022
urban,Dadra Nagar Haveli & Diu Daman,1,0.035,0,0,0.376,0,0.052,0,0.016,0.109,0,0.031,0,0,0,0,0.376,0.089,0.114,0.031,0,2022
rural,Dadra Nagar Haveli & Diu Daman,2,0.467,0,0.427,0.4,0.031,0.018,0.03,0.122,0.279,0.026,0.07,0,0,0,0.07,0.4,0.112,0.116,0.07,0,2022
urban,Dadra Nagar Haveli & Diu Daman,2,0.052,0,0.116,0.256,0,0.054,0.052,0.02,0.175,0.116,0.131,0,0,0,0,0.256,0.204,0.131,0.067,0.059,2022
rural,Dadra Nagar Haveli & Diu Daman,3,0.338,0,0.273,0.324,0,0,0,0.026,0.264,0.024,0.014,0,0,0,0.014,0.307,0.122,0.159,0.031,0,2022
urban,Dadra Nagar Haveli & Diu Daman,3,0.09,0,0.057,0.211,0,0.022,0.017,0.011,0.036,0,0.026,0,0,0,0,0.196,0.063,0.079,0.015,0,2022
rural,Dadra Nagar Haveli & Diu Daman,4,0.198,0,0.266,0.331,0.01,0,0,0.088,0.267,0.025,0.01,0,0,0,0.01,0.331,0.108,0.036,0.043,0.026,2022
urban,Dadra Nagar Haveli & Diu Daman,4,0.128,0,0.009,0.137,0,0.029,0,0,0.146,0,0,0,0,0,0,0.137,0.07,0.044,0,0.019,2022
rural,Dadra Nagar Haveli & Diu Daman,5,0.096,0,0.13,0.076,0,0.015,0,0,0.169,0,0,0,0,0,0,0.076,0.015,0,0,0,2022
urban,Dadra Nagar Haveli & Diu Daman,5,0.029,0,0.084,0.007,0,0.011,0.019,0,0.096,0.012,0,0,0,0,0,0.007,0,0,0,0,2022
all,Dadra Nagar Haveli & Diu Daman,1,0.497,0,0.312,0.473,0.021,0.01,0.013,0.153,0.207,0.011,0.038,0,0,0,0.038,0.473,0.136,0.158,0.038,0,2022
all,Dadra Nagar Haveli & Diu Daman,2,0.182,0,0.163,0.305,0,0.031,0,0.021,0.18,0.075,0.047,0,0,0,0.006,0.298,0.102,0.133,0.036,0,2022
all,Dadra Nagar Haveli & Diu Daman,3,0.105,0,0.137,0.288,0.004,0.03,0.038,0.052,0.163,0.003,0.055,0,0,0,0.004,0.28,0.152,0.104,0.057,0.044,2022
all,Dadra Nagar Haveli & Diu Daman,4,0.135,0,0.082,0.222,0,0.035,0,0.004,0.138,0.008,0.015,0,0,0,0,0.222,0.099,0.063,0.003,0.011,2022
all,Dadra Nagar Haveli & Diu Daman,5,0.047,0,0.069,0.014,0,0.006,0.011,0,0.111,0.007,0,0,0,0,0,0.014,0,0,0,0,2022
all,Dadra Nagar Haveli & Diu Daman,99,0.194,0,0.153,0.261,0.005,0.022,0.013,0.046,0.16,0.021,0.031,0,0,0,0.01,0.258,0.098,0.092,0.027,0.011,2022
rural,Dadra Nagar Haveli & Diu Daman,99,0.362,0,0.285,0.343,0.012,0.008,0.006,0.094,0.222,0.015,0.023,0,0,0,0.023,0.34,0.116,0.116,0.032,0.005,2022
urban,Dadra Nagar Haveli & Diu Daman,99,0.066,0,0.053,0.198,0,0.034,0.017,0.009,0.112,0.025,0.037,0,0,0,0,0.195,0.085,0.074,0.023,0.015,2022
1,Daman & Diu & D & N Haveli,1,0.615,0.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Daman & Diu & D & N Haveli,2,0.919,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Daman & Diu & D & N Haveli,3,0.438,0.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Daman & Diu & D & N Haveli,4,0.222,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Daman & Diu & D & N Haveli,5,0.057,0.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Daman & Diu & D & N Haveli,1,0.303,0.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Daman & Diu & D & N Haveli,2,0.335,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Daman & Diu & D & N Haveli,3,0.287,0.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Daman & Diu & D & N Haveli,4,0.152,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Daman & Diu & D & N Haveli,5,0,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Daman & Diu & D & N Haveli,1,0.654,0.678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Daman & Diu & D & N Haveli,2,0.615,0.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Daman & Diu & D & N Haveli,3,0.254,0.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Daman & Diu & D & N Haveli,4,0.197,0.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Daman & Diu & D & N Haveli,5,0.061,0.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Daman & Diu & D & N Haveli,99,0.356,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Daman & Diu & D & N Haveli,99,0.458,0.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Daman & Diu & D & N Haveli,99,0.216,0.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
rural,Delhi,1,0.129,0,0.041,0.314,0,0,0.502,0.013,0,0,0,0,0,0,0,0.304,0.191,0,0,0,2022
urban,Delhi,1,0.136,0,0.153,0.333,0,0,0.467,0.139,0.003,0,0.009,0,0,0.009,0,0.333,0.065,0.008,0.012,0,2022
rural,Delhi,2,0.055,0,0.086,0.268,0,0,0.521,0.051,0.009,0,0,0,0,0,0,0.225,0.14,0,0,0,2022
urban,Delhi,2,0.056,0,0.2,0.211,0.002,0.003,0.514,0.136,0.003,0,0.016,0,0,0.005,0,0.2,0.069,0.013,0.014,0.012,2022
rural,Delhi,3,0.027,0,0.226,0.418,0,0,0.597,0.034,0,0,0.057,0,0,0,0,0.387,0.279,0,0.01,0,2022
urban,Delhi,3,0.061,0,0.243,0.201,0.005,0.001,0.459,0.117,0.008,0.006,0.045,0,0.002,0,0,0.162,0.05,0.006,0.036,0.009,2022
rural,Delhi,4,0.049,0,0.145,0.424,0,0,0.519,0.022,0.015,0.008,0.242,0,0,0,0,0.288,0.076,0,0,0,2022
urban,Delhi,4,0.072,0,0.122,0.145,0.024,0,0.389,0.096,0.012,0.003,0.097,0,0,0,0.016,0.08,0.017,0.006,0.036,0.002,2022
rural,Delhi,5,0.041,0,0.098,0.189,0,0,0.281,0.006,0,0,0.141,0,0,0,0,0.093,0.063,0,0,0,2022
urban,Delhi,5,0.014,0,0.033,0.079,0.008,0,0.228,0.019,0.001,0,0.089,0,0.003,0,0.004,0.029,0.014,0.001,0.014,0.003,2022
all,Delhi,1,0.136,0,0.152,0.332,0,0,0.468,0.137,0.003,0,0.009,0,0,0.009,0,0.332,0.066,0.008,0.012,0,2022
all,Delhi,2,0.056,0,0.197,0.213,0.002,0.003,0.514,0.134,0.003,0,0.016,0,0,0.005,0,0.201,0.072,0.012,0.014,0.011,2022
all,Delhi,3,0.061,0,0.242,0.205,0.005,0.001,0.462,0.115,0.008,0.006,0.045,0,0.002,0,0,0.166,0.054,0.006,0.035,0.009,2022
all,Delhi,4,0.072,0,0.124,0.152,0.024,0,0.394,0.094,0.012,0.003,0.1,0,0,0,0.016,0.085,0.019,0.006,0.035,0.002,2022
all,Delhi,5,0.013,0,0.033,0.078,0.008,0,0.227,0.019,0.001,0,0.09,0,0.003,0,0.004,0.029,0.014,0.001,0.014,0.003,2022
all,Delhi,99,0.068,0,0.15,0.196,0.008,0.001,0.413,0.1,0.005,0.002,0.052,0,0.001,0.003,0.004,0.163,0.045,0.007,0.022,0.005,2022
rural,Delhi,99,0.06,0,0.118,0.321,0,0,0.483,0.025,0.005,0.002,0.087,0,0,0,0,0.258,0.149,0,0.002,0,2022
urban,Delhi,99,0.068,0,0.15,0.194,0.008,0.001,0.412,0.101,0.005,0.002,0.051,0,0.001,0.003,0.004,0.161,0.043,0.007,0.022,0.005,2022
1,Delhi,1,0.386,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Delhi,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Delhi,3,0.554,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Delhi,4,0.001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Delhi,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Delhi,1,0.189,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Delhi,2,0.278,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Delhi,3,0.174,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Delhi,4,0.044,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Delhi,5,0.011,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Delhi,1,0.219,0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Delhi,2,0.245,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Delhi,3,0.192,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Delhi,4,0.041,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Delhi,5,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Delhi,99,0.142,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Delhi,99,0.17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Delhi,99,0.139,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
rural,Goa,1,0.664,0,0.139,0.441,0,0,0,0,0.09,0.005,0,0,0,0,0,0.429,0.188,0,0.008,0,2022
urban,Goa,1,0.427,0,0.15,0.34,0,0,0,0,0.119,0,0,0,0,0,0,0.34,0.058,0.016,0,0,2022
rural,Goa,2,0.813,0,0.109,0.346,0,0,0.014,0,0.069,0.011,0,0,0,0,0,0.329,0.061,0,0,0,2022
urban,Goa,2,0.569,0,0.192,0.122,0,0,0,0,0.155,0,0,0,0,0,0,0.122,0.012,0,0,0,2022
rural,Goa,3,0.756,0,0.152,0.285,0,0,0,0,0.163,0.028,0,0,0,0,0,0.254,0.078,0,0,0,2022
urban,Goa,3,0.617,0,0.149,0.177,0,0,0,0,0.148,0.017,0,0,0,0,0,0.157,0.019,0,0,0,2022
rural,Goa,4,0.709,0,0.167,0.197,0,0,0,0,0.094,0.008,0,0,0,0,0,0.197,0.029,0,0,0,2022
urban,Goa,4,0.409,0,0.102,0.141,0,0,0,0,0.186,0.012,0,0,0,0,0,0.141,0,0,0,0,2022
rural,Goa,5,0.752,0,0.081,0.102,0,0,0,0,0.094,0.008,0,0,0,0,0,0.102,0.01,0,0,0,2022
urban,Goa,5,0.623,0,0.051,0.144,0,0,0.017,0.017,0.13,0.03,0,0,0,0,0,0.144,0.012,0,0,0,2022
all,Goa,1,0.531,0,0.146,0.391,0,0,0,0,0.086,0.002,0,0,0,0,0,0.386,0.116,0.009,0.004,0,2022
all,Goa,2,0.693,0,0.158,0.226,0,0,0.006,0,0.131,0.005,0,0,0,0,0,0.219,0.035,0,0,0,2022
all,Goa,3,0.663,0,0.127,0.221,0,0,0,0,0.168,0.022,0,0,0,0,0,0.196,0.043,0,0,0,2022
all,Goa,4,0.551,0,0.142,0.16,0,0,0,0,0.132,0.013,0,0,0,0,0,0.16,0.013,0,0,0,2022
all,Goa,5,0.664,0,0.073,0.122,0,0,0.009,0.009,0.121,0.017,0,0,0,0,0,0.122,0.011,0,0,0,2022
all,Goa,99,0.62,0,0.129,0.224,0,0,0.003,0.002,0.128,0.012,0,0,0,0,0,0.217,0.044,0.002,0.001,0,2022
rural,Goa,99,0.739,0,0.13,0.275,0,0,0.003,0,0.102,0.012,0,0,0,0,0,0.263,0.074,0,0.002,0,2022
urban,Goa,99,0.529,0,0.129,0.185,0,0,0.003,0.003,0.147,0.012,0,0,0,0,0,0.181,0.02,0.003,0,0,2022
1,Goa,1,0.804,0.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Goa,2,0.994,0.954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Goa,3,0.75,0.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Goa,4,0.661,0.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Goa,5,0.521,0.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Goa,1,0.808,0.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Goa,2,0.758,0.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Goa,3,0.421,0.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Goa,4,0.421,0.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Goa,5,0.176,0.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Goa,1,0.806,0.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Goa,2,0.881,0.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Goa,3,0.592,0.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Goa,4,0.557,0.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Goa,5,0.344,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Goa,99,0.636,0.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Goa,99,0.745,0.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Goa,99,0.523,0.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
rural,Gujarat,1,0.743,0,0.231,0.558,0,0.014,0.011,0.18,0.185,0.026,0.009,0,0,0,0.009,0.557,0.038,0.023,0.013,0.002,2022
urban,Gujarat,1,0.474,0,0.08,0.321,0,0.032,0.006,0.108,0.174,0.027,0.01,0,0,0,0.005,0.311,0.07,0.023,0.016,0.002,2022
rural,Gujarat,2,0.735,0,0.17,0.517,0.001,0.031,0.007,0.162,0.219,0.013,0.02,0,0.006,0,0.015,0.516,0.044,0.015,0.02,0,2022
urban,Gujarat,2,0.296,0,0.092,0.202,0,0.02,0.01,0.083,0.158,0.015,0.005,0,0,0,0.002,0.197,0.022,0.018,0.021,0.007,2022
rural,Gujarat,3,0.707,0.002,0.161,0.47,0.003,0.056,0.005,0.115,0.215,0.019,0.019,0,0,0,0.016,0.467,0.033,0.014,0.021,0.002,2022
urban,Gujarat,3,0.203,0,0.064,0.126,0.003,0.021,0.009,0.062,0.144,0.021,0.004,0,0.001,0,0.003,0.123,0.008,0.015,0.013,0.005,2022
rural,Gujarat,4,0.626,0.005,0.156,0.438,0.003,0.037,0.008,0.117,0.26,0.011,0.016,0,0.004,0,0.009,0.436,0.03,0.022,0.022,0,2022
urban,Gujarat,4,0.116,0,0.042,0.063,0.001,0.023,0.017,0.037,0.144,0.028,0.005,0,0.002,0,0,0.061,0,0.001,0.006,0,2022
rural,Gujarat,5,0.501,0.002,0.115,0.262,0.003,0.038,0.005,0.112,0.294,0.017,0.007,0,0.002,0,0.004,0.258,0.011,0.01,0.013,0.001,2022
urban,Gujarat,5,0.053,0,0.008,0.027,0,0.018,0.007,0.021,0.104,0.011,0.002,0,0.001,0,0,0.025,0,0.001,0.001,0,2022
all,Gujarat,1,0.692,0,0.187,0.506,0.001,0.023,0.01,0.157,0.192,0.025,0.012,0,0.001,0,0.01,0.503,0.047,0.021,0.013,0.002,2022
all,Gujarat,2,0.643,0,0.143,0.437,0,0.033,0.006,0.133,0.195,0.014,0.017,0,0.003,0,0.012,0.432,0.044,0.016,0.02,0.002,2022
all,Gujarat,3,0.52,0.003,0.136,0.364,0.003,0.04,0.008,0.11,0.203,0.015,0.013,0,0.003,0,0.008,0.361,0.029,0.022,0.021,0.002,2022
all,Gujarat,4,0.382,0.002,0.105,0.242,0.004,0.033,0.006,0.085,0.22,0.02,0.006,0,0,0,0.004,0.238,0.012,0.011,0.017,0.002,2022
all,Gujarat,5,0.208,0,0.042,0.093,0,0.022,0.011,0.051,0.182,0.018,0.006,0,0.002,0,0.001,0.091,0.002,0.003,0.005,0,2022
all,Gujarat,99,0.489,0.001,0.123,0.328,0.001,0.03,0.008,0.107,0.199,0.019,0.011,0,0.002,0,0.007,0.325,0.027,0.015,0.015,0.002,2022
rural,Gujarat,99,0.663,0.002,0.167,0.449,0.002,0.035,0.007,0.137,0.235,0.017,0.014,0,0.002,0,0.01,0.447,0.031,0.017,0.018,0.001,2022
urban,Gujarat,99,0.228,0,0.057,0.148,0.001,0.023,0.01,0.062,0.145,0.02,0.005,0,0.001,0,0.002,0.143,0.02,0.012,0.011,0.003,2022
1,Gujarat,1,0.525,0.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Gujarat,2,0.524,0.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Gujarat,3,0.396,0.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Gujarat,4,0.319,0.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Gujarat,5,0.133,0.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Gujarat,1,0.154,0.289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Gujarat,2,0.162,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Gujarat,3,0.05,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Gujarat,4,0.031,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Gujarat,5,0.006,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Gujarat,1,0.454,0.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Gujarat,2,0.427,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Gujarat,3,0.242,0.506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Gujarat,4,0.113,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Gujarat,5,0.065,0.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,Gujarat,99,0.26,0.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,Gujarat,99,0.379,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,Gujarat,99,0.081,0.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
