,sector,sector_type,year,state,sex1_female,sex1_male,youth,working_age,working_age_female,working_age_male,age_cohort_1,age_cohort_2,age_cohort_3,age_cohort_4,age_cohort_female_1,age_cohort_female_2,age_cohort_female_3,age_cohort_female_4,age_cohort_male_1,age_cohort_male_2,age_cohort_male_3,age_cohort_male_4
472,0,Rural,2019,Himachal Pradesh,0.515234828,0.484765172,0.241294041,0.788043559,0.79736948,0.778131485,0.306193799,0.27815181,0.287031561,0.128622845,0.28721413,0.289770663,0.280698836,0.142316371,0.326865137,0.265497357,0.293928713,0.113708794
473,1,Urban,2019,Himachal Pradesh,0.481950372,0.518049628,0.296632618,0.761017621,0.759288073,0.762626708,0.389784157,0.330325484,0.218364447,0.061525915,0.359626025,0.355226517,0.222154155,0.062993303,0.417717993,0.30726102,0.21485424,0.060166754
544,99,All,2018,Himachal Pradesh,0.500273824,0.499726176,0.238650814,0.783499002,0.792024016,0.774964631,0.304596215,0.296600699,0.281957567,0.116845533,0.278491884,0.313139588,0.287654281,0.12071424,0.331304401,0.279679209,0.276129067,0.11288733
580,0,Rural,2018,Himachal Pradesh,0.505898476,0.494101524,0.232255369,0.782617807,0.789179385,0.775899649,0.296767294,0.290884703,0.289810777,0.122537233,0.271518826,0.307828635,0.294459045,0.126193494,0.323061019,0.273239315,0.284970075,0.118729599
581,1,Urban,2018,Himachal Pradesh,0.451014936,0.548985064,0.294659615,0.791215718,0.819967806,0.767594635,0.372413754,0.346115112,0.213929534,0.067541584,0.344418347,0.363351822,0.223318979,0.06891086,0.396982461,0.330988228,0.205689386,0.06633991
652,99,All,2017,Himachal Pradesh,0.505021393,0.494978607,0.248074055,0.786382377,0.799140394,0.773365438,0.31546241,0.298405856,0.274430454,0.111701302,0.306711525,0.302315623,0.279206276,0.111766569,0.324688375,0.294283807,0.269395292,0.111632504
688,0,Rural,2017,Himachal Pradesh,0.512584925,0.487415075,0.240253851,0.786560774,0.799793661,0.77264452,0.305448562,0.297706425,0.279859453,0.116985559,0.301598549,0.300367177,0.281427532,0.116606764,0.309639663,0.294809967,0.278152466,0.117397912
689,1,Urban,2017,Himachal Pradesh,0.438772261,0.561227739,0.316571921,0.784819663,0.792455971,0.778849542,0.40336898,0.30454576,0.226771802,0.065313458,0.359515041,0.322437882,0.256266803,0.061780274,0.438253313,0.290313184,0.203309536,0.068123981
4,99,All,2023,Jammu and Kashmir,0.481956899,0.518043101,0.264166087,0.744375288,0.746956944,0.7419734,0.354882926,0.292087555,0.267223656,0.085805863,0.339153498,0.306330025,0.27127403,0.083242439,0.369614989,0.278748155,0.263430119,0.088206746
39,0,Rural,2023,Jammu and Kashmir,0.481934279,0.518065721,0.269061208,0.736135602,0.739245355,0.73324275,0.36550495,0.28934899,0.260974348,0.084171705,0.349740624,0.304626286,0.266542852,0.079090238,0.380289882,0.275020838,0.255751818,0.088937469
40,1,Urban,2023,Jammu and Kashmir,0.482053995,0.517946005,0.243140355,0.779766321,0.780071557,0.779482245,0.311811805,0.303192049,0.292563915,0.092432208,0.296070069,0.313263267,0.290527195,0.100139454,0.326473773,0.293811679,0.294460922,0.085253626
111,99,All,2022,Jammu and Kashmir,0.488157123,0.511842877,0.256773651,0.741948724,0.74948895,0.734757483,0.346080035,0.311305225,0.253328443,0.089286298,0.346161336,0.320699513,0.248202622,0.084936537,0.34600094,0.302166045,0.258315057,0.093517952
146,0,Rural,2022,Jammu and Kashmir,0.490928262,0.509071738,0.256924719,0.732253611,0.739024162,0.725724399,0.350868493,0.31411621,0.247997582,0.087017722,0.353315204,0.323441267,0.242022157,0.081221364,0.348465741,0.304958671,0.253865629,0.092709944
147,1,Urban,2022,Jammu and Kashmir,0.474543691,0.525456309,0.256031483,0.789576828,0.802672863,0.777749717,0.324264199,0.298498631,0.277615428,0.099621758,0.31268698,0.307870269,0.2771222,0.102320552,0.335054696,0.289763838,0.278075129,0.097106345
219,99,All,2021,Jammu and Kashmir,0.481411576,0.518588424,0.279584646,0.754244149,0.758739889,0.750070691,0.370681882,0.285442173,0.266390562,0.077485383,0.372910678,0.295705378,0.261998534,0.069385424,0.368588984,0.275804609,0.270514846,0.085091576
254,0,Rural,2021,Jammu and Kashmir,0.480256736,0.519743264,0.280410796,0.745579541,0.751948595,0.739694357,0.376097769,0.284437448,0.263945252,0.075519525,0.381880373,0.294287264,0.257197738,0.066634648,0.370665997,0.275185198,0.270283431,0.083865397
255,1,Urban,2021,Jammu and Kashmir,0.486377031,0.513622969,0.276032448,0.791499078,0.787572742,0.795217156,0.348746389,0.289511502,0.276294559,0.085447527,0.336551845,0.30145371,0.281458735,0.080535732,0.36018306,0.278311491,0.271451354,0.090054065
327,99,All,2020,Jammu and Kashmir,0.488037825,0.511962175,0.276300222,0.755142629,0.756445885,0.75390029,0.365891397,0.300676852,0.261427253,0.07200449,0.355042905,0.326322913,0.250934005,0.067700177,0.37626788,0.27614668,0.271463931,0.076121524
362,0,Rural,2020,Jammu and Kashmir,0.49033317,0.50966683,0.276855767,0.743446469,0.742315173,0.74453491,0.372395039,0.300004125,0.259064972,0.068535864,0.362982869,0.328547239,0.247324198,0.061145701,0.381423175,0.272625595,0.270326734,0.075624496
363,1,Urban,2020,Jammu and Kashmir,0.478611231,0.521388769,0.274018586,0.803176761,0.81589973,0.791497648,0.341168463,0.30323413,0.27040723,0.08519017,0.324649125,0.31780827,0.264752239,0.092790358,0.35679996,0.289443284,0.275758326,0.077998444
435,99,All,2019,Jammu and Kashmir,0.478001267,0.521998733,0.27671662,0.744713724,0.761805534,0.729062557,0.371574491,0.284825414,0.264004499,0.07959561,0.353553712,0.308841527,0.260065109,0.077539645,0.388817489,0.261845857,0.267773837,0.081562832
