statename,sector,Year,quint_label,group,dem,real_wage_23,sex_cat,youth_cat,cws_type,emp_type,sex_label,youth_lab,cws_label,emp_label
Uttar Pradesh,All,2017,4,Youth,Youth,10244.63,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2017,4,Youth,Youth,12715.58,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2017,5,Youth,Youth,13960.98,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2017,5,Youth,Youth,24761.87,NA,2,NA,NA,NA,NonYouth,NA,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2018,Total,Youth,Youth,8077.42,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2018,Total,Youth,Youth,9658.22,NA,2,NA,NA,NA,NonYouth,NA,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2018,1,Youth,Youth,3945.11,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2018,1,Youth,Youth,3973.35,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2018,2,Youth,Youth,5921.86,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2018,2,Youth,Youth,6908.84,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2018,3,Youth,Youth,8077.42,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2018,3,Youth,Youth,9807.02,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2018,4,Youth,Youth,10348.09,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2018,4,Youth,Youth,13311.21,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2018,5,Youth,Youth,13667.38,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2018,5,Youth,Youth,23536.85,NA,2,NA,NA,NA,NonYouth,NA,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2019,Total,Youth,Youth,8639.46,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2019,Total,Youth,Youth,9749.6,NA,2,NA,NA,NA,NonYouth,NA,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2019,1,Youth,Youth,3722.31,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2019,1,Youth,Youth,3864.8,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2019,2,Youth,Youth,6461.94,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2019,2,Youth,Youth,7214.29,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2019,3,Youth,Youth,8783.7,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2019,3,Youth,Youth,9787.56,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2019,4,Youth,Youth,10525.79,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2019,4,Youth,Youth,12666.21,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2019,5,Youth,Youth,15166.05,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2019,5,Youth,Youth,22144.05,NA,2,NA,NA,NA,NonYouth,NA,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2020,Total,Youth,Youth,8275.91,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2020,Total,Youth,Youth,9228.22,NA,2,NA,NA,NA,NonYouth,NA,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2020,1,Youth,Youth,3650.22,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2020,1,Youth,Youth,3128.76,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2020,2,Youth,Youth,6199.78,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2020,2,Youth,Youth,6520.29,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2020,3,Youth,Youth,8302.44,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2020,3,Youth,Youth,9228.22,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2020,4,Youth,Youth,9960.22,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2020,4,Youth,Youth,12027.65,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2020,5,Youth,Youth,13181.17,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2020,5,Youth,Youth,21509.9,NA,2,NA,NA,NA,NonYouth,NA,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2021,Total,Youth,Youth,8512.51,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2021,Total,Youth,Youth,9308.74,NA,2,NA,NA,NA,NonYouth,NA,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2021,1,Youth,Youth,2907.29,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2021,1,Youth,Youth,3373.63,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2021,2,Youth,Youth,6451.4,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2021,2,Youth,Youth,6789.72,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2021,3,Youth,Youth,8512.51,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2021,3,Youth,Youth,9365.13,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2021,4,Youth,Youth,10482.99,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2021,4,Youth,Youth,13111.18,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2021,5,Youth,Youth,14560.14,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2021,5,Youth,Youth,21124.14,NA,2,NA,NA,NA,NonYouth,NA,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2022,Total,Youth,Youth,8172.77,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2022,Total,Youth,Youth,9107.57,NA,2,NA,NA,NA,NonYouth,NA,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2022,1,Youth,Youth,3388.18,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2022,1,Youth,Youth,3180.09,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2022,2,Youth,Youth,6347.37,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2022,2,Youth,Youth,6806.82,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2022,3,Youth,Youth,8172.77,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2022,3,Youth,Youth,9118,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2022,4,Youth,Youth,10278.39,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2022,4,Youth,Youth,12713.2,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2022,5,Youth,Youth,14692.92,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2022,5,Youth,Youth,21429.59,NA,2,NA,NA,NA,NonYouth,NA,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2023,Total,Youth,Youth,8031.5,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2023,Total,Youth,Youth,9144.25,NA,2,NA,NA,NA,NonYouth,NA,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2023,1,Youth,Youth,3015.57,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2023,1,Youth,Youth,3038.26,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2023,2,Youth,Youth,6046.59,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2023,2,Youth,Youth,6892.73,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2023,3,Youth,Youth,8031.5,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2023,3,Youth,Youth,9144.25,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2023,4,Youth,Youth,10068.01,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2023,4,Youth,Youth,12679.84,NA,2,NA,NA,NA,NonYouth,NA,NA
Uttar Pradesh,All,2023,5,Youth,Youth,15077.86,NA,1,NA,NA,NA,Youth,NA,NA
Uttar Pradesh,All,2023,5,Youth,Youth,20789.42,NA,2,NA,NA,NA,NonYouth,NA,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2017,Total,CWSType,CWS Type,7782.3,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2017,Total,CWSType,CWS Type,9688.06,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2017,Total,CWSType,CWS Type,11319.71,NA,NA,3,NA,NA,NA,Services,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2017,1,CWSType,CWS Type,2706.51,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2017,1,CWSType,CWS Type,4248.08,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2017,1,CWSType,CWS Type,4944.95,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2017,2,CWSType,CWS Type,5651.37,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2017,2,CWSType,CWS Type,7217.35,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2017,2,CWSType,CWS Type,8435.83,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2017,3,CWSType,CWS Type,7788.15,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2017,3,CWSType,CWS Type,9709.9,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2017,3,CWSType,CWS Type,11319.71,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2017,4,CWSType,CWS Type,11177.06,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2017,4,CWSType,CWS Type,11201.82,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2017,4,CWSType,CWS Type,16878.2,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2017,5,CWSType,CWS Type,16954.11,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2017,5,CWSType,CWS Type,16954.11,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2017,5,CWSType,CWS Type,41056.02,NA,NA,3,NA,NA,NA,Services,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2018,Total,CWSType,CWS Type,8164.9,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2018,Total,CWSType,CWS Type,9841.8,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2018,Total,CWSType,CWS Type,11988.71,NA,NA,3,NA,NA,NA,Services,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2018,1,CWSType,CWS Type,2755.46,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2018,1,CWSType,CWS Type,4402.67,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2018,1,CWSType,CWS Type,5443.27,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2018,2,CWSType,CWS Type,5913.19,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2018,2,CWSType,CWS Type,7095.83,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2018,2,CWSType,CWS Type,8955.23,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2018,3,CWSType,CWS Type,8164.9,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2018,3,CWSType,CWS Type,9841.8,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2018,3,CWSType,CWS Type,12185.77,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2018,4,CWSType,CWS Type,10933.91,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2018,4,CWSType,CWS Type,12185.77,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2018,4,CWSType,CWS Type,17690.63,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2018,5,CWSType,CWS Type,16472.53,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2018,5,CWSType,CWS Type,17217.86,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2018,5,CWSType,CWS Type,39962.38,NA,NA,3,NA,NA,NA,Services,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2019,Total,CWSType,CWS Type,8116.61,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2019,Total,CWSType,CWS Type,10065.32,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2019,Total,CWSType,CWS Type,11430.32,NA,NA,3,NA,NA,NA,Services,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2019,1,CWSType,CWS Type,3189.96,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2019,1,CWSType,CWS Type,5019.26,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2019,1,CWSType,CWS Type,4920.9,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2019,2,CWSType,CWS Type,5779.85,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2019,2,CWSType,CWS Type,8164.51,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2019,2,CWSType,CWS Type,8277.13,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2019,3,CWSType,CWS Type,8128.22,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2019,3,CWSType,CWS Type,10160.28,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2019,3,CWSType,CWS Type,11460.65,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2019,4,CWSType,CWS Type,10448.96,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2019,4,CWSType,CWS Type,12700.35,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2019,4,CWSType,CWS Type,16614.35,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2019,5,CWSType,CWS Type,15673.45,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2019,5,CWSType,CWS Type,18999.31,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2019,5,CWSType,CWS Type,39874.44,NA,NA,3,NA,NA,NA,Services,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2020,Total,CWSType,CWS Type,7381.46,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2020,Total,CWSType,CWS Type,9362.47,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2020,Total,CWSType,CWS Type,11089.88,NA,NA,3,NA,NA,NA,Services,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2020,1,CWSType,CWS Type,2325.39,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2020,1,CWSType,CWS Type,4615.67,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2020,1,CWSType,CWS Type,5188.11,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2020,2,CWSType,CWS Type,5232.14,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2020,2,CWSType,CWS Type,7381.46,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2020,2,CWSType,CWS Type,8517.19,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2020,3,CWSType,CWS Type,7434.84,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2020,3,CWSType,CWS Type,9362.47,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2020,3,CWSType,CWS Type,11132.01,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2020,4,CWSType,CWS Type,9913.12,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2020,4,CWSType,CWS Type,11673.55,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2020,4,CWSType,CWS Type,16457.19,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2020,5,CWSType,CWS Type,15575.55,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2020,5,CWSType,CWS Type,16615.53,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2020,5,CWSType,CWS Type,36907.29,NA,NA,3,NA,NA,NA,Services,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2021,Total,CWSType,CWS Type,7366.66,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2021,Total,CWSType,CWS Type,9771.63,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2021,Total,CWSType,CWS Type,11333.33,NA,NA,3,NA,NA,NA,Services,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2021,1,CWSType,CWS Type,2265.3,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2021,1,CWSType,CWS Type,4836.78,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2021,1,CWSType,CWS Type,5517.37,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2021,2,CWSType,CWS Type,4845.48,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2021,2,CWSType,CWS Type,7738.85,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2021,2,CWSType,CWS Type,8996.33,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2021,3,CWSType,CWS Type,7366.66,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2021,3,CWSType,CWS Type,9841.8,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2021,3,CWSType,CWS Type,11333.33,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2021,4,CWSType,CWS Type,9673.56,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2021,4,CWSType,CWS Type,13111.18,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2021,4,CWSType,CWS Type,16959.2,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2021,5,CWSType,CWS Type,15866.66,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2021,5,CWSType,CWS Type,16928.73,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2021,5,CWSType,CWS Type,34993.06,NA,NA,3,NA,NA,NA,Services,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2022,Total,CWSType,CWS Type,7252.95,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2022,Total,CWSType,CWS Type,9273.73,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2022,Total,CWSType,CWS Type,11643.5,NA,NA,3,NA,NA,NA,Services,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2022,1,CWSType,CWS Type,2383.11,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2022,1,CWSType,CWS Type,4942.48,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2022,1,CWSType,CWS Type,5336.16,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2022,2,CWSType,CWS Type,4693.44,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2022,2,CWSType,CWS Type,7318.16,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2022,2,CWSType,CWS Type,8502.05,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2022,3,CWSType,CWS Type,7252.95,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2022,3,CWSType,CWS Type,9273.73,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2022,3,CWSType,CWS Type,11647.22,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2022,4,CWSType,CWS Type,9774.52,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2022,4,CWSType,CWS Type,12515.84,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2022,4,CWSType,CWS Type,16303.91,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2022,5,CWSType,CWS Type,16411.99,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2022,5,CWSType,CWS Type,16474.93,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2022,5,CWSType,CWS Type,38161.05,NA,NA,3,NA,NA,NA,Services,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2023,Total,CWSType,CWS Type,7131.42,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2023,Total,CWSType,CWS Type,9168.97,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2023,Total,CWSType,CWS Type,12401.19,NA,NA,3,NA,NA,NA,Services,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2023,1,CWSType,CWS Type,2445.06,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2023,1,CWSType,CWS Type,4928.76,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2023,1,CWSType,CWS Type,6040.81,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2023,2,CWSType,CWS Type,4523.36,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2023,2,CWSType,CWS Type,7166.28,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2023,2,CWSType,CWS Type,9213.79,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2023,3,CWSType,CWS Type,7131.42,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2023,3,CWSType,CWS Type,9213.79,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2023,3,CWSType,CWS Type,12441.22,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2023,4,CWSType,CWS Type,10051.9,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2023,4,CWSType,CWS Type,12153.03,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2023,4,CWSType,CWS Type,16898.62,NA,NA,3,NA,NA,NA,Services,NA
Uttar Pradesh,All,2023,5,CWSType,CWS Type,16612.22,NA,NA,1,NA,NA,NA,Agriculture,NA
Uttar Pradesh,All,2023,5,CWSType,CWS Type,18070.89,NA,NA,2,NA,NA,NA,Industry,NA
Uttar Pradesh,All,2023,5,CWSType,CWS Type,35604.96,NA,NA,3,NA,NA,NA,Services,NA
,,,,,,,,,,,,,,
Uttar Pradesh,All,2017,Total,EmpType,Emp Type,11364.88,NA,NA,NA,1,NA,NA,NA,Salaried
Uttar Pradesh,All,2017,Total,EmpType,Emp Type,9779.93,NA,NA,NA,2,NA,NA,NA,Self-employed
Uttar Pradesh,All,2017,Total,EmpType,Emp Type,7484.64,NA,NA,NA,3,NA,NA,NA,Casual
Uttar Pradesh,All,2017,1,EmpType,Emp Type,5441.94,NA,NA,NA,1,NA,NA,NA,Salaried
Uttar Pradesh,All,2017,1,EmpType,Emp Type,3490.24,NA,NA,NA,2,NA,NA,NA,Self-employed
Uttar Pradesh,All,2017,1,EmpType,Emp Type,3589.97,NA,NA,NA,3,NA,NA,NA,Casual
Uttar Pradesh,All,2017,2,EmpType,Emp Type,8420.25,NA,NA,NA,1,NA,NA,NA,Salaried
Uttar Pradesh,All,2017,2,EmpType,Emp Type,6985.66,NA,NA,NA,2,NA,NA,NA,Self-employed
Uttar Pradesh,All,2017,2,EmpType,Emp Type,6001.06,NA,NA,NA,3,NA,NA,NA,Casual
Uttar Pradesh,All,2017,3,EmpType,Emp Type,11474.78,NA,NA,NA,1,NA,NA,NA,Salaried
Uttar Pradesh,All,2017,3,EmpType,Emp Type,9779.93,NA,NA,NA,2,NA,NA,NA,Self-employed
Uttar Pradesh,All,2017,3,EmpType,Emp Type,7484.64,NA,NA,NA,3,NA,NA,NA,Casual
Uttar Pradesh,All,2017,4,EmpType,Emp Type,20558.42,NA,NA,NA,1,NA,NA,NA,Salaried
Uttar Pradesh,All,2017,4,EmpType,Emp Type,12715.58,NA,NA,NA,2,NA,NA,NA,Self-employed
Uttar Pradesh,All,2017,4,EmpType,Emp Type,10470.73,NA,NA,NA,3,NA,NA,NA,Casual
Uttar Pradesh,All,2017,5,EmpType,Emp Type,54741.36,NA,NA,NA,1,NA,NA,NA,Salaried
Uttar Pradesh,All,2017,5,EmpType,Emp Type,21089.57,NA,NA,NA,2,NA,NA,NA,Self-employed
Uttar Pradesh,All,2017,5,EmpType,Emp Type,12605.84,NA,NA,NA,3,NA,NA,NA,Casual
Uttar Pradesh,All,2018,Total,EmpType,Emp Type,11988.71,NA,NA,NA,1,NA,NA,NA,Salaried
Uttar Pradesh,All,2018,Total,EmpType,Emp Type,9574.11,NA,NA,NA,2,NA,NA,NA,Self-employed
Uttar Pradesh,All,2018,Total,EmpType,Emp Type,7391.49,NA,NA,NA,3,NA,NA,NA,Casual
Uttar Pradesh,All,2018,1,EmpType,Emp Type,5474.89,NA,NA,NA,1,NA,NA,NA,Salaried
Uttar Pradesh,All,2018,1,EmpType,Emp Type,3424.29,NA,NA,NA,2,NA,NA,NA,Self-employed
Uttar Pradesh,All,2018,1,EmpType,Emp Type,3517.02,NA,NA,NA,3,NA,NA,NA,Casual
Uttar Pradesh,All,2018,2,EmpType,Emp Type,8981.49,NA,NA,NA,1,NA,NA,NA,Salaried
Uttar Pradesh,All,2018,2,EmpType,Emp Type,6838.65,NA,NA,NA,2,NA,NA,NA,Self-employed
Uttar Pradesh,All,2018,2,EmpType,Emp Type,5913.19,NA,NA,NA,3,NA,NA,NA,Casual
Uttar Pradesh,All,2018,3,EmpType,Emp Type,12185.77,NA,NA,NA,1,NA,NA,NA,Salaried
Uttar Pradesh,All,2018,3,EmpType,Emp Type,9574.11,NA,NA,NA,2,NA,NA,NA,Self-employed
Uttar Pradesh,All,2018,3,EmpType,Emp Type,7523.38,NA,NA,NA,3,NA,NA,NA,Casual
Uttar Pradesh,All,2018,4,EmpType,Emp Type,19725.57,NA,NA,NA,1,NA,NA,NA,Salaried
Uttar Pradesh,All,2018,4,EmpType,Emp Type,13225.58,NA,NA,NA,2,NA,NA,NA,Self-employed
Uttar Pradesh,All,2018,4,EmpType,Emp Type,10154.81,NA,NA,NA,3,NA,NA,NA,Casual
Uttar Pradesh,All,2018,5,EmpType,Emp Type,49688.91,NA,NA,NA,1,NA,NA,NA,Salaried
Uttar Pradesh,All,2018,5,EmpType,Emp Type,20590.66,NA,NA,NA,2,NA,NA,NA,Self-employed
