,real_wage_23,year,level,area,dem,quint_label,SourceSheet,Year,sector,sec_quint,statename,state_quint,state_sec_quint,Group,sex_cat,youth_cat,cws_type,emp_type,quintile_overall,nat_quint
1500,NA,2018,State,urban/rural,All,Total,state_sec_quint,2018,1,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
1567,16888.28,2019,State,All,All,Total,state_quint,2019,99,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
1767,8969.58,2019,State,All,All,1,state_quint,2019,99,NA,Andaman and Nicobar Island,1,NA,Total,NA,NA,NA,NA,1,NA
1768,12857.94,2019,State,All,All,2,state_quint,2019,99,NA,Andaman and Nicobar Island,2,NA,Total,NA,NA,NA,NA,2,NA
1769,16888.28,2019,State,All,All,3,state_quint,2019,99,NA,Andaman and Nicobar Island,3,NA,Total,NA,NA,NA,NA,3,NA
1770,26059.97,2019,State,All,All,4,state_quint,2019,99,NA,Andaman and Nicobar Island,4,NA,Total,NA,NA,NA,NA,4,NA
1771,70194.86,2019,State,All,All,5,state_quint,2019,99,NA,Andaman and Nicobar Island,5,NA,Total,NA,NA,NA,NA,5,NA
1772,NA,2019,State,All,All,Total,state_quint,2019,99,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
1845,13657.48,2019,State,urban/rural,All,Total,state_sec_quint,2019,0,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
1846,22518.35,2019,State,urban/rural,All,Total,state_sec_quint,2019,1,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
2245,8444.14,2019,State,urban/rural,All,1,state_sec_quint,2019,0,NA,Andaman and Nicobar Island,NA,1,Total,NA,NA,NA,NA,1,NA
2246,11457.34,2019,State,urban/rural,All,2,state_sec_quint,2019,0,NA,Andaman and Nicobar Island,NA,2,Total,NA,NA,NA,NA,2,NA
2247,13657.48,2019,State,urban/rural,All,3,state_sec_quint,2019,0,NA,Andaman and Nicobar Island,NA,3,Total,NA,NA,NA,NA,3,NA
2248,20205.58,2019,State,urban/rural,All,4,state_sec_quint,2019,0,NA,Andaman and Nicobar Island,NA,4,Total,NA,NA,NA,NA,4,NA
2249,56294.27,2019,State,urban/rural,All,5,state_sec_quint,2019,0,NA,Andaman and Nicobar Island,NA,5,Total,NA,NA,NA,NA,5,NA
2250,NA,2019,State,urban/rural,All,Total,state_sec_quint,2019,0,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
2251,10035.3,2019,State,urban/rural,All,1,state_sec_quint,2019,1,NA,Andaman and Nicobar Island,NA,1,Total,NA,NA,NA,NA,1,NA
