,real_wage_23,year,level,area,dem,quint_label,SourceSheet,Year,sector,sec_quint,statename,state_quint,state_sec_quint,Group,sex_cat,youth_cat,cws_type,emp_type,quintile_overall,nat_quint
36865,NA,2020,State,urban/rural,CWS Type,Total,state_sec_quint,2020,0,NA,Goa,NA,NA,CWSType,NA,NA,3,NA,NA,NA
36866,NA,2020,State,urban/rural,CWS Type,Total,state_sec_quint,2020,0,NA,Goa,NA,NA,CWSType,NA,NA,NA,NA,NA,NA
36867,11991.3,2020,State,urban/rural,CWS Type,1,state_sec_quint,2020,1,NA,Goa,NA,1,CWSType,NA,NA,2,NA,1,NA
36868,10722.68,2020,State,urban/rural,CWS Type,1,state_sec_quint,2020,1,NA,Goa,NA,1,CWSType,NA,NA,3,NA,1,NA
36869,17986.96,2020,State,urban/rural,CWS Type,2,state_sec_quint,2020,1,NA,Goa,NA,2,CWSType,NA,NA,2,NA,2,NA
36870,15669.94,2020,State,urban/rural,CWS Type,2,state_sec_quint,2020,1,NA,Goa,NA,2,CWSType,NA,NA,3,NA,2,NA
36871,27140.26,2020,State,urban/rural,CWS Type,3,state_sec_quint,2020,1,NA,Goa,NA,3,CWSType,NA,NA,2,NA,3,NA
36872,21240.21,2020,State,urban/rural,CWS Type,3,state_sec_quint,2020,1,NA,Goa,NA,3,CWSType,NA,NA,3,NA,3,NA
36873,38971.73,2020,State,urban/rural,CWS Type,4,state_sec_quint,2020,1,NA,Goa,NA,4,CWSType,NA,NA,2,NA,4,NA
36874,33630.32,2020,State,urban/rural,CWS Type,4,state_sec_quint,2020,1,NA,Goa,NA,4,CWSType,NA,NA,3,NA,4,NA
36875,55004.5,2020,State,urban/rural,CWS Type,5,state_sec_quint,2020,1,NA,Goa,NA,5,CWSType,NA,NA,2,NA,5,NA
36876,49560.48,2020,State,urban/rural,CWS Type,5,state_sec_quint,2020,1,NA,Goa,NA,5,CWSType,NA,NA,3,NA,5,NA
36877,31921.38,2020,State,urban/rural,CWS Type,Total,state_sec_quint,2020,1,NA,Goa,NA,NA,CWSType,NA,NA,1,NA,NA,NA
36878,NA,2020,State,urban/rural,CWS Type,Total,state_sec_quint,2020,1,NA,Goa,NA,NA,CWSType,NA,NA,2,NA,NA,NA
36879,NA,2020,State,urban/rural,CWS Type,Total,state_sec_quint,2020,1,NA,Goa,NA,NA,CWSType,NA,NA,3,NA,NA,NA
36880,NA,2020,State,urban/rural,CWS Type,Total,state_sec_quint,2020,1,NA,Goa,NA,NA,CWSType,NA,NA,NA,NA,NA,NA
37280,13494.5,2021,State,All,CWS Type,Total,state_quint,2021,99,NA,Goa,NA,NA,CWSType,NA,NA,1,NA,NA,NA
37281,19623.95,2021,State,All,CWS Type,Total,state_quint,2021,99,NA,Goa,NA,NA,CWSType,NA,NA,2,NA,NA,NA
37282,21665.78,2021,State,All,CWS Type,Total,state_quint,2021,99,NA,Goa,NA,NA,CWSType,NA,NA,3,NA,NA,NA
37283,13722.56,2021,State,All,CWS Type,Total,state_quint,2021,99,NA,Goa,NA,NA,CWSType,NA,NA,NA,NA,NA,NA
37808,7738.85,2021,State,All,CWS Type,1,state_quint,2021,99,NA,Goa,1,NA,CWSType,NA,NA,1,NA,1,NA
37809,13456.42,2021,State,All,CWS Type,1,state_quint,2021,99,NA,Goa,1,NA,CWSType,NA,NA,2,NA,1,NA
37810,11213.68,2021,State,All,CWS Type,1,state_quint,2021,99,NA,Goa,1,NA,CWSType,NA,NA,3,NA,1,NA
37811,10404.17,2021,State,All,CWS Type,2,state_quint,2021,99,NA,Goa,2,NA,CWSType,NA,NA,1,NA,2,NA
37812,16364.44,2021,State,All,CWS Type,2,state_quint,2021,99,NA,Goa,2,NA,CWSType,NA,NA,2,NA,2,NA
37813,14613.22,2021,State,All,CWS Type,2,state_quint,2021,99,NA,Goa,2,NA,CWSType,NA,NA,3,NA,2,NA
37814,13494.5,2021,State,All,CWS Type,3,state_quint,2021,99,NA,Goa,3,NA,CWSType,NA,NA,1,NA,3,NA
37815,19683.6,2021,State,All,CWS Type,3,state_quint,2021,99,NA,Goa,3,NA,CWSType,NA,NA,2,NA,3,NA
37816,21665.78,2021,State,All,CWS Type,3,state_quint,2021,99,NA,Goa,3,NA,CWSType,NA,NA,3,NA,3,NA
37817,25484.66,2021,State,All,CWS Type,4,state_quint,2021,99,NA,Goa,4,NA,CWSType,NA,NA,1,NA,4,NA
37818,25621.93,2021,State,All,CWS Type,4,state_quint,2021,99,NA,Goa,4,NA,CWSType,NA,NA,2,NA,4,NA
37819,30016.29,2021,State,All,CWS Type,4,state_quint,2021,99,NA,Goa,4,NA,CWSType,NA,NA,3,NA,4,NA
37820,32570.25,2021,State,All,CWS Type,5,state_quint,2021,99,NA,Goa,5,NA,CWSType,NA,NA,1,NA,5,NA
37821,46922.79,2021,State,All,CWS Type,5,state_quint,2021,99,NA,Goa,5,NA,CWSType,NA,NA,2,NA,5,NA
37822,45629.05,2021,State,All,CWS Type,5,state_quint,2021,99,NA,Goa,5,NA,CWSType,NA,NA,3,NA,5,NA
37823,NA,2021,State,All,CWS Type,Total,state_quint,2021,99,NA,Goa,NA,NA,CWSType,NA,NA,1,NA,NA,NA
37824,NA,2021,State,All,CWS Type,Total,state_quint,2021,99,NA,Goa,NA,NA,CWSType,NA,NA,2,NA,NA,NA
37825,NA,2021,State,All,CWS Type,Total,state_quint,2021,99,NA,Goa,NA,NA,CWSType,NA,NA,3,NA,NA,NA
37826,13722.56,2021,State,All,CWS Type,Total,state_quint,2021,99,NA,Goa,NA,NA,CWSType,NA,NA,NA,NA,NA,NA
38119,10882.76,2021,State,urban/rural,CWS Type,Total,state_sec_quint,2021,0,NA,Goa,NA,NA,CWSType,NA,NA,1,NA,NA,NA
38120,16552.1,2021,State,urban/rural,CWS Type,Total,state_sec_quint,2021,0,NA,Goa,NA,NA,CWSType,NA,NA,2,NA,NA,NA
38121,22653.03,2021,State,urban/rural,CWS Type,Total,state_sec_quint,2021,0,NA,Goa,NA,NA,CWSType,NA,NA,3,NA,NA,NA
38122,NA,2021,State,urban/rural,CWS Type,Total,state_sec_quint,2021,0,NA,Goa,NA,NA,CWSType,NA,NA,NA,NA,NA,NA
38123,20184.63,2021,State,urban/rural,CWS Type,Total,state_sec_quint,2021,1,NA,Goa,NA,NA,CWSType,NA,NA,1,NA,NA,NA
38124,20123.65,2021,State,urban/rural,CWS Type,Total,state_sec_quint,2021,1,NA,Goa,NA,NA,CWSType,NA,NA,2,NA,NA,NA
38125,20111.5,2021,State,urban/rural,CWS Type,Total,state_sec_quint,2021,1,NA,Goa,NA,NA,CWSType,NA,NA,3,NA,NA,NA
38126,13722.56,2021,State,urban/rural,CWS Type,Total,state_sec_quint,2021,1,NA,Goa,NA,NA,CWSType,NA,NA,NA,NA,NA,NA
39153,7738.85,2021,State,urban/rural,CWS Type,1,state_sec_quint,2021,0,NA,Goa,NA,1,CWSType,NA,NA,1,NA,1,NA
39154,11520.37,2021,State,urban/rural,CWS Type,1,state_sec_quint,2021,0,NA,Goa,NA,1,CWSType,NA,NA,2,NA,1,NA
39155,11034.73,2021,State,urban/rural,CWS Type,1,state_sec_quint,2021,0,NA,Goa,NA,1,CWSType,NA,NA,3,NA,1,NA
39156,10404.17,2021,State,urban/rural,CWS Type,2,state_sec_quint,2021,0,NA,Goa,NA,2,CWSType,NA,NA,1,NA,2,NA
39157,16364.44,2021,State,urban/rural,CWS Type,2,state_sec_quint,2021,0,NA,Goa,NA,2,CWSType,NA,NA,2,NA,2,NA
39158,16989.77,2021,State,urban/rural,CWS Type,2,state_sec_quint,2021,0,NA,Goa,NA,2,CWSType,NA,NA,3,NA,2,NA
39159,13005.22,2021,State,urban/rural,CWS Type,3,state_sec_quint,2021,0,NA,Goa,NA,3,CWSType,NA,NA,1,NA,3,NA
39160,17655.57,2021,State,urban/rural,CWS Type,3,state_sec_quint,2021,0,NA,Goa,NA,3,CWSType,NA,NA,2,NA,3,NA
39161,22653.03,2021,State,urban/rural,CWS Type,3,state_sec_quint,2021,0,NA,Goa,NA,3,CWSType,NA,NA,3,NA,3,NA
39162,25484.66,2021,State,urban/rural,CWS Type,4,state_sec_quint,2021,0,NA,Goa,NA,4,CWSType,NA,NA,1,NA,4,NA
39163,23884.85,2021,State,urban/rural,CWS Type,4,state_sec_quint,2021,0,NA,Goa,NA,4,CWSType,NA,NA,2,NA,4,NA
39164,28333.31,2021,State,urban/rural,CWS Type,4,state_sec_quint,2021,0,NA,Goa,NA,4,CWSType,NA,NA,3,NA,4,NA
39165,32570.25,2021,State,urban/rural,CWS Type,5,state_sec_quint,2021,0,NA,Goa,NA,5,CWSType,NA,NA,1,NA,5,NA
39166,46922.79,2021,State,urban/rural,CWS Type,5,state_sec_quint,2021,0,NA,Goa,NA,5,CWSType,NA,NA,2,NA,5,NA
39167,33999.98,2021,State,urban/rural,CWS Type,5,state_sec_quint,2021,0,NA,Goa,NA,5,CWSType,NA,NA,3,NA,5,NA
39168,NA,2021,State,urban/rural,CWS Type,Total,state_sec_quint,2021,0,NA,Goa,NA,NA,CWSType,NA,NA,1,NA,NA,NA
39169,NA,2021,State,urban/rural,CWS Type,Total,state_sec_quint,2021,0,NA,Goa,NA,NA,CWSType,NA,NA,2,NA,NA,NA
39170,NA,2021,State,urban/rural,CWS Type,Total,state_sec_quint,2021,0,NA,Goa,NA,NA,CWSType,NA,NA,3,NA,NA,NA
39171,NA,2021,State,urban/rural,CWS Type,Total,state_sec_quint,2021,0,NA,Goa,NA,NA,CWSType,NA,NA,NA,NA,NA,NA
39172,13680.28,2021,State,urban/rural,CWS Type,1,state_sec_quint,2021,1,NA,Goa,NA,1,CWSType,NA,NA,2,NA,1,NA
39173,11435.46,2021,State,urban/rural,CWS Type,1,state_sec_quint,2021,1,NA,Goa,NA,1,CWSType,NA,NA,3,NA,1,NA
39174,17100.35,2021,State,urban/rural,CWS Type,2,state_sec_quint,2021,1,NA,Goa,NA,2,CWSType,NA,NA,2,NA,2,NA
39175,14259.08,2021,State,urban/rural,CWS Type,2,state_sec_quint,2021,1,NA,Goa,NA,2,CWSType,NA,NA,3,NA,2,NA
39176,20828.88,2021,State,urban/rural,CWS Type,3,state_sec_quint,2021,1,NA,Goa,NA,3,CWSType,NA,NA,2,NA,3,NA
39177,20233.68,2021,State,urban/rural,CWS Type,3,state_sec_quint,2021,1,NA,Goa,NA,3,CWSType,NA,NA,3,NA,3,NA
39178,28000.27,2021,State,urban/rural,CWS Type,4,state_sec_quint,2021,1,NA,Goa,NA,4,CWSType,NA,NA,2,NA,4,NA
39179,33600.33,2021,State,urban/rural,CWS Type,4,state_sec_quint,2021,1,NA,Goa,NA,4,CWSType,NA,NA,3,NA,4,NA
39180,50006.97,2021,State,urban/rural,CWS Type,5,state_sec_quint,2021,1,NA,Goa,NA,5,CWSType,NA,NA,2,NA,5,NA
39181,46673.17,2021,State,urban/rural,CWS Type,5,state_sec_quint,2021,1,NA,Goa,NA,5,CWSType,NA,NA,3,NA,5,NA
39182,20184.63,2021,State,urban/rural,CWS Type,Total,state_sec_quint,2021,1,NA,Goa,NA,NA,CWSType,NA,NA,1,NA,NA,NA
39183,NA,2021,State,urban/rural,CWS Type,Total,state_sec_quint,2021,1,NA,Goa,NA,NA,CWSType,NA,NA,2,NA,NA,NA
39184,NA,2021,State,urban/rural,CWS Type,Total,state_sec_quint,2021,1,NA,Goa,NA,NA,CWSType,NA,NA,3,NA,NA,NA
39185,13722.56,2021,State,urban/rural,CWS Type,Total,state_sec_quint,2021,1,NA,Goa,NA,NA,CWSType,NA,NA,NA,NA,NA,NA
39501,14505.91,2022,State,All,CWS Type,Total,state_quint,2022,99,NA,Goa,NA,NA,CWSType,NA,NA,1,NA,NA,NA
39502,22158.78,2022,State,All,CWS Type,Total,state_quint,2022,99,NA,Goa,NA,NA,CWSType,NA,NA,2,NA,NA,NA
39503,22225.61,2022,State,All,CWS Type,Total,state_quint,2022,99,NA,Goa,NA,NA,CWSType,NA,NA,3,NA,NA,NA
39504,NA,2022,State,All,CWS Type,Total,state_quint,2022,99,NA,Goa,NA,NA,CWSType,NA,NA,NA,NA,NA,NA
40036,8546.96,2022,State,All,CWS Type,1,state_quint,2022,99,NA,Goa,1,NA,CWSType,NA,NA,1,NA,1,NA
40037,12649.21,2022,State,All,CWS Type,1,state_quint,2022,99,NA,Goa,1,NA,CWSType,NA,NA,2,NA,1,NA
40038,10863.01,2022,State,All,CWS Type,1,state_quint,2022,99,NA,Goa,1,NA,CWSType,NA,NA,3,NA,1,NA
40039,11647.22,2022,State,All,CWS Type,2,state_quint,2022,99,NA,Goa,2,NA,CWSType,NA,NA,1,NA,2,NA
40040,16619.08,2022,State,All,CWS Type,2,state_quint,2022,99,NA,Goa,2,NA,CWSType,NA,NA,2,NA,2,NA
40041,16490.71,2022,State,All,CWS Type,2,state_quint,2022,99,NA,Goa,2,NA,CWSType,NA,NA,3,NA,2,NA
40042,14505.91,2022,State,All,CWS Type,3,state_quint,2022,99,NA,Goa,3,NA,CWSType,NA,NA,1,NA,3,NA
40043,22158.78,2022,State,All,CWS Type,3,state_quint,2022,99,NA,Goa,3,NA,CWSType,NA,NA,2,NA,3,NA
40044,22235.6,2022,State,All,CWS Type,3,state_quint,2022,99,NA,Goa,3,NA,CWSType,NA,NA,3,NA,3,NA
40045,19097.46,2022,State,All,CWS Type,4,state_quint,2022,99,NA,Goa,4,NA,CWSType,NA,NA,1,NA,4,NA
40046,30556.65,2022,State,All,CWS Type,4,state_quint,2022,99,NA,Goa,4,NA,CWSType,NA,NA,2,NA,4,NA
40047,34244.52,2022,State,All,CWS Type,4,state_quint,2022,99,NA,Goa,4,NA,CWSType,NA,NA,3,NA,4,NA
40048,41445.46,2022,State,All,CWS Type,5,state_quint,2022,99,NA,Goa,5,NA,CWSType,NA,NA,1,NA,5,NA
40049,53991.82,2022,State,All,CWS Type,5,state_quint,2022,99,NA,Goa,5,NA,CWSType,NA,NA,2,NA,5,NA
40050,54573.69,2022,State,All,CWS Type,5,state_quint,2022,99,NA,Goa,5,NA,CWSType,NA,NA,3,NA,5,NA
40051,NA,2022,State,All,CWS Type,Total,state_quint,2022,99,NA,Goa,NA,NA,CWSType,NA,NA,1,NA,NA,NA
40052,NA,2022,State,All,CWS Type,Total,state_quint,2022,99,NA,Goa,NA,NA,CWSType,NA,NA,2,NA,NA,NA
40053,NA,2022,State,All,CWS Type,Total,state_quint,2022,99,NA,Goa,NA,NA,CWSType,NA,NA,3,NA,NA,NA
40054,NA,2022,State,All,CWS Type,Total,state_quint,2022,99,NA,Goa,NA,NA,CWSType,NA,NA,NA,NA,NA,NA
40392,15769.54,2022,State,urban/rural,CWS Type,Total,state_sec_quint,2022,0,NA,Goa,NA,NA,CWSType,NA,NA,1,NA,NA,NA
40393,23190.21,2022,State,urban/rural,CWS Type,Total,state_sec_quint,2022,0,NA,Goa,NA,NA,CWSType,NA,NA,2,NA,NA,NA
40394,22600.01,2022,State,urban/rural,CWS Type,Total,state_sec_quint,2022,0,NA,Goa,NA,NA,CWSType,NA,NA,3,NA,NA,NA
40395,NA,2022,State,urban/rural,CWS Type,Total,state_sec_quint,2022,0,NA,Goa,NA,NA,CWSType,NA,NA,NA,NA,NA,NA
40396,8546.96,2022,State,urban/rural,CWS Type,Total,state_sec_quint,2022,1,NA,Goa,NA,NA,CWSType,NA,NA,1,NA,NA,NA
40397,21073.55,2022,State,urban/rural,CWS Type,Total,state_sec_quint,2022,1,NA,Goa,NA,NA,CWSType,NA,NA,2,NA,NA,NA
40398,22079.45,2022,State,urban/rural,CWS Type,Total,state_sec_quint,2022,1,NA,Goa,NA,NA,CWSType,NA,NA,3,NA,NA,NA
40399,NA,2022,State,urban/rural,CWS Type,Total,state_sec_quint,2022,1,NA,Goa,NA,NA,CWSType,NA,NA,NA,NA,NA,NA
41456,9525.26,2022,State,urban/rural,CWS Type,1,state_sec_quint,2022,0,NA,Goa,NA,1,CWSType,NA,NA,1,NA,1,NA
41457,12649.21,2022,State,urban/rural,CWS Type,1,state_sec_quint,2022,0,NA,Goa,NA,1,CWSType,NA,NA,2,NA,1,NA
41458,10594.33,2022,State,urban/rural,CWS Type,1,state_sec_quint,2022,0,NA,Goa,NA,1,CWSType,NA,NA,3,NA,1,NA
41459,13987.84,2022,State,urban/rural,CWS Type,2,state_sec_quint,2022,0,NA,Goa,NA,2,CWSType,NA,NA,1,NA,2,NA
41460,15199.45,2022,State,urban/rural,CWS Type,2,state_sec_quint,2022,0,NA,Goa,NA,2,CWSType,NA,NA,2,NA,2,NA
41461,15769.54,2022,State,urban/rural,CWS Type,2,state_sec_quint,2022,0,NA,Goa,NA,2,CWSType,NA,NA,3,NA,2,NA
41462,15769.54,2022,State,urban/rural,CWS Type,3,state_sec_quint,2022,0,NA,Goa,NA,3,CWSType,NA,NA,1,NA,3,NA
41463,23717.27,2022,State,urban/rural,CWS Type,3,state_sec_quint,2022,0,NA,Goa,NA,3,CWSType,NA,NA,2,NA,3,NA
41464,22860.63,2022,State,urban/rural,CWS Type,3,state_sec_quint,2022,0,NA,Goa,NA,3,CWSType,NA,NA,3,NA,3,NA
41465,31783,2022,State,urban/rural,CWS Type,4,state_sec_quint,2022,0,NA,Goa,NA,4,CWSType,NA,NA,1,NA,4,NA
41466,29680.82,2022,State,urban/rural,CWS Type,4,state_sec_quint,2022,0,NA,Goa,NA,4,CWSType,NA,NA,2,NA,4,NA
41467,33338.42,2022,State,urban/rural,CWS Type,4,state_sec_quint,2022,0,NA,Goa,NA,4,CWSType,NA,NA,3,NA,4,NA
41468,47434.53,2022,State,urban/rural,CWS Type,5,state_sec_quint,2022,0,NA,Goa,NA,5,CWSType,NA,NA,1,NA,5,NA
41469,54813.23,2022,State,urban/rural,CWS Type,5,state_sec_quint,2022,0,NA,Goa,NA,5,CWSType,NA,NA,2,NA,5,NA
41470,45677.29,2022,State,urban/rural,CWS Type,5,state_sec_quint,2022,0,NA,Goa,NA,5,CWSType,NA,NA,3,NA,5,NA
41471,NA,2022,State,urban/rural,CWS Type,Total,state_sec_quint,2022,0,NA,Goa,NA,NA,CWSType,NA,NA,1,NA,NA,NA
41472,NA,2022,State,urban/rural,CWS Type,Total,state_sec_quint,2022,0,NA,Goa,NA,NA,CWSType,NA,NA,3,NA,NA,NA
41473,NA,2022,State,urban/rural,CWS Type,Total,state_sec_quint,2022,0,NA,Goa,NA,NA,CWSType,NA,NA,NA,NA,NA,NA
41474,7597.3,2022,State,urban/rural,CWS Type,1,state_sec_quint,2022,1,NA,Goa,NA,1,CWSType,NA,NA,1,NA,1,NA
41475,12753.07,2022,State,urban/rural,CWS Type,1,state_sec_quint,2022,1,NA,Goa,NA,1,CWSType,NA,NA,2,NA,1,NA
41476,11313.42,2022,State,urban/rural,CWS Type,1,state_sec_quint,2022,1,NA,Goa,NA,1,CWSType,NA,NA,3,NA,1,NA
41477,8546.96,2022,State,urban/rural,CWS Type,2,state_sec_quint,2022,1,NA,Goa,NA,2,CWSType,NA,NA,1,NA,2,NA
41478,16619.08,2022,State,urban/rural,CWS Type,2,state_sec_quint,2022,1,NA,Goa,NA,2,CWSType,NA,NA,2,NA,2,NA
41479,16503.16,2022,State,urban/rural,CWS Type,2,state_sec_quint,2022,1,NA,Goa,NA,2,CWSType,NA,NA,3,NA,2,NA
41480,21073.55,2022,State,urban/rural,CWS Type,3,state_sec_quint,2022,1,NA,Goa,NA,3,CWSType,NA,NA,2,NA,3,NA
41481,22079.45,2022,State,urban/rural,CWS Type,3,state_sec_quint,2022,1,NA,Goa,NA,3,CWSType,NA,NA,3,NA,3,NA
41482,13295.27,2022,State,urban/rural,CWS Type,4,state_sec_quint,2022,1,NA,Goa,NA,4,CWSType,NA,NA,1,NA,4,NA
41483,31022.29,2022,State,urban/rural,CWS Type,4,state_sec_quint,2022,1,NA,Goa,NA,4,CWSType,NA,NA,2,NA,4,NA
41484,35983.04,2022,State,urban/rural,CWS Type,4,state_sec_quint,2022,1,NA,Goa,NA,4,CWSType,NA,NA,3,NA,4,NA
41485,18218.67,2022,State,urban/rural,CWS Type,5,state_sec_quint,2022,1,NA,Goa,NA,5,CWSType,NA,NA,1,NA,5,NA
41486,53991.82,2022,State,urban/rural,CWS Type,5,state_sec_quint,2022,1,NA,Goa,NA,5,CWSType,NA,NA,2,NA,5,NA
41487,63766.54,2022,State,urban/rural,CWS Type,5,state_sec_quint,2022,1,NA,Goa,NA,5,CWSType,NA,NA,3,NA,5,NA
41488,NA,2022,State,urban/rural,CWS Type,Total,state_sec_quint,2022,1,NA,Goa,NA,NA,CWSType,NA,NA,1,NA,NA,NA
41489,NA,2022,State,urban/rural,CWS Type,Total,state_sec_quint,2022,1,NA,Goa,NA,NA,CWSType,NA,NA,2,NA,NA,NA
41490,NA,2022,State,urban/rural,CWS Type,Total,state_sec_quint,2022,1,NA,Goa,NA,NA,CWSType,NA,NA,3,NA,NA,NA
41491,NA,2022,State,urban/rural,CWS Type,Total,state_sec_quint,2022,1,NA,Goa,NA,NA,CWSType,NA,NA,NA,NA,NA,NA
41893,13886.69,2023,State,All,CWS Type,Total,state_quint,2023,99,NA,Goa,NA,NA,CWSType,NA,NA,1,NA,NA,NA
41894,25498.68,2023,State,All,CWS Type,Total,state_quint,2023,99,NA,Goa,NA,NA,CWSType,NA,NA,2,NA,NA,NA
41895,26832.74,2023,State,All,CWS Type,Total,state_quint,2023,99,NA,Goa,NA,NA,CWSType,NA,NA,3,NA,NA,NA
41896,NA,2023,State,All,CWS Type,Total,state_quint,2023,99,NA,Goa,NA,NA,CWSType,NA,NA,NA,NA,NA,NA
42445,9147.7,2023,State,All,CWS Type,1,state_quint,2023,99,NA,Goa,1,NA,CWSType,NA,NA,1,NA,1,NA
42446,12665.77,2023,State,All,CWS Type,1,state_quint,2023,99,NA,Goa,1,NA,CWSType,NA,NA,2,NA,1,NA
42447,10645.9,2023,State,All,CWS Type,1,state_quint,2023,99,NA,Goa,1,NA,CWSType,NA,NA,3,NA,1,NA
42448,12578.09,2023,State,All,CWS Type,2,state_quint,2023,99,NA,Goa,2,NA,CWSType,NA,NA,1,NA,2,NA
42449,18763.18,2023,State,All,CWS Type,2,state_quint,2023,99,NA,Goa,2,NA,CWSType,NA,NA,2,NA,2,NA
42450,19615.91,2023,State,All,CWS Type,2,state_quint,2023,99,NA,Goa,2,NA,CWSType,NA,NA,3,NA,2,NA
42451,15275.36,2023,State,All,CWS Type,3,state_quint,2023,99,NA,Goa,3,NA,CWSType,NA,NA,1,NA,3,NA
42452,25498.68,2023,State,All,CWS Type,3,state_quint,2023,99,NA,Goa,3,NA,CWSType,NA,NA,2,NA,3,NA
42453,26832.74,2023,State,All,CWS Type,3,state_quint,2023,99,NA,Goa,3,NA,CWSType,NA,NA,3,NA,3,NA
42454,19352.64,2023,State,All,CWS Type,4,state_quint,2023,99,NA,Goa,4,NA,CWSType,NA,NA,1,NA,4,NA
42455,37954.9,2023,State,All,CWS Type,4,state_quint,2023,99,NA,Goa,4,NA,CWSType,NA,NA,2,NA,4,NA
42456,42534.67,2023,State,All,CWS Type,4,state_quint,2023,99,NA,Goa,4,NA,CWSType,NA,NA,3,NA,4,NA
42457,30104.11,2023,State,All,CWS Type,5,state_quint,2023,99,NA,Goa,5,NA,CWSType,NA,NA,1,NA,5,NA
42458,61746.24,2023,State,All,CWS Type,5,state_quint,2023,99,NA,Goa,5,NA,CWSType,NA,NA,2,NA,5,NA
42459,78846.22,2023,State,All,CWS Type,5,state_quint,2023,99,NA,Goa,5,NA,CWSType,NA,NA,3,NA,5,NA
42460,NA,2023,State,All,CWS Type,Total,state_quint,2023,99,NA,Goa,NA,NA,CWSType,NA,NA,1,NA,NA,NA
42461,NA,2023,State,All,CWS Type,Total,state_quint,2023,99,NA,Goa,NA,NA,CWSType,NA,NA,2,NA,NA,NA
42462,NA,2023,State,All,CWS Type,Total,state_quint,2023,99,NA,Goa,NA,NA,CWSType,NA,NA,3,NA,NA,NA
42463,NA,2023,State,All,CWS Type,Total,state_quint,2023,99,NA,Goa,NA,NA,CWSType,NA,NA,NA,NA,NA,NA
42798,13886.69,2023,State,urban/rural,CWS Type,Total,state_sec_quint,2023,0,NA,Goa,NA,NA,CWSType,NA,NA,1,NA,NA,NA
42799,26506.22,2023,State,urban/rural,CWS Type,Total,state_sec_quint,2023,0,NA,Goa,NA,NA,CWSType,NA,NA,2,NA,NA,NA
42800,30923.93,2023,State,urban/rural,CWS Type,Total,state_sec_quint,2023,0,NA,Goa,NA,NA,CWSType,NA,NA,3,NA,NA,NA
42801,NA,2023,State,urban/rural,CWS Type,Total,state_sec_quint,2023,0,NA,Goa,NA,NA,CWSType,NA,NA,NA,NA,NA,NA
42802,37468.25,2023,State,urban/rural,CWS Type,Total,state_sec_quint,2023,1,NA,Goa,NA,NA,CWSType,NA,NA,1,NA,NA,NA
42803,23128.22,2023,State,urban/rural,CWS Type,Total,state_sec_quint,2023,1,NA,Goa,NA,NA,CWSType,NA,NA,2,NA,NA,NA
42804,26022.57,2023,State,urban/rural,CWS Type,Total,state_sec_quint,2023,1,NA,Goa,NA,NA,CWSType,NA,NA,3,NA,NA,NA
42805,NA,2023,State,urban/rural,CWS Type,Total,state_sec_quint,2023,1,NA,Goa,NA,NA,CWSType,NA,NA,NA,NA,NA,NA
43871,9147.7,2023,State,urban/rural,CWS Type,1,state_sec_quint,2023,0,NA,Goa,NA,1,CWSType,NA,NA,1,NA,1,NA
43872,14958.19,2023,State,urban/rural,CWS Type,1,state_sec_quint,2023,0,NA,Goa,NA,1,CWSType,NA,NA,2,NA,1,NA
43873,12879.72,2023,State,urban/rural,CWS Type,1,state_sec_quint,2023,0,NA,Goa,NA,1,CWSType,NA,NA,3,NA,1,NA
43874,12578.09,2023,State,urban/rural,CWS Type,2,state_sec_quint,2023,0,NA,Goa,NA,2,CWSType,NA,NA,1,NA,2,NA
43875,19530.9,2023,State,urban/rural,CWS Type,2,state_sec_quint,2023,0,NA,Goa,NA,2,CWSType,NA,NA,2,NA,2,NA
43876,24149.47,2023,State,urban/rural,CWS Type,2,state_sec_quint,2023,0,NA,Goa,NA,2,CWSType,NA,NA,3,NA,2,NA
43877,13886.69,2023,State,urban/rural,CWS Type,3,state_sec_quint,2023,0,NA,Goa,NA,3,CWSType,NA,NA,1,NA,3,NA
43878,26878.67,2023,State,urban/rural,CWS Type,3,state_sec_quint,2023,0,NA,Goa,NA,3,CWSType,NA,NA,2,NA,3,NA
43879,35447.79,2023,State,urban/rural,CWS Type,3,state_sec_quint,2023,0,NA,Goa,NA,3,CWSType,NA,NA,3,NA,3,NA
43880,19352.64,2023,State,urban/rural,CWS Type,4,state_sec_quint,2023,0,NA,Goa,NA,4,CWSType,NA,NA,1,NA,4,NA
43881,43005.86,2023,State,urban/rural,CWS Type,4,state_sec_quint,2023,0,NA,Goa,NA,4,CWSType,NA,NA,2,NA,4,NA
43882,48298.94,2023,State,urban/rural,CWS Type,4,state_sec_quint,2023,0,NA,Goa,NA,4,CWSType,NA,NA,3,NA,4,NA
43883,30104.11,2023,State,urban/rural,CWS Type,5,state_sec_quint,2023,0,NA,Goa,NA,5,CWSType,NA,NA,1,NA,5,NA
43884,77814.96,2023,State,urban/rural,CWS Type,5,state_sec_quint,2023,0,NA,Goa,NA,5,CWSType,NA,NA,2,NA,5,NA
43885,79171.95,2023,State,urban/rural,CWS Type,5,state_sec_quint,2023,0,NA,Goa,NA,5,CWSType,NA,NA,3,NA,5,NA
43886,NA,2023,State,urban/rural,CWS Type,Total,state_sec_quint,2023,0,NA,Goa,NA,NA,CWSType,NA,NA,1,NA,NA,NA
43887,NA,2023,State,urban/rural,CWS Type,Total,state_sec_quint,2023,0,NA,Goa,NA,NA,CWSType,NA,NA,3,NA,NA,NA
