,poor_215,poor_365,poor_685,perc_poor_215,perc_poor_365,perc_poor_685,welfareagg_cat1,welfareagg_cat2,welfareagg_cat3,welfareagg_cat4,welfareagg_cat5,year,SourceSheet,sector2,state,age_cat1,age_cat2,age_cat3,age_cat4,educ_cat1,educ_cat2,educ_cat3,educ_cat4,educ_cat5,educ_cat6,gender_cat1,gender_cat2,hhsize_cat,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,owns_land
19,0.07435555,0.608565589,0.950960381,7.435555,60.8565589,96.6725879,0.184381723,0.307950288,0.246883973,0.170424312,0.090359695,2011,state,NA,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0.08137378,0.640843635,0.966725879,8.137378,64.0843635,97.168728,0.2054362,0.363237292,0.247519955,0.128796309,0.055010241,2011,state,NA,Meghalaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0.223850604,0.755079531,0.97168728,22.3850604,75.5079531,92.3353847,0.3976942,0.283322215,0.180259764,0.094237722,0.044486091,2011,state,NA,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.178784332,0.664850076,0.923353847,17.8784332,66.4850076,97.2612781,0.31853953,0.273623288,0.176044539,0.132949039,0.098843612,2011,state,NA,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.278583139,0.800915244,0.972612781,27.8583139,80.0915244,97.1808675,0.485280007,0.262998998,0.13896051,0.070728637,0.042031851,2011,state,NA,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.267758997,0.791378603,0.971808675,26.7758997,79.1378603,96.0599786,0.460163653,0.272290856,0.153462008,0.073828645,0.040254842,2011,state,NA,Orissa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.246221796,0.775440655,0.960599786,24.6221796,77.5440655,95.2436826,0.399245471,0.320997328,0.150414035,0.07644967,0.05289349,2011,state,NA,Chattisgarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.292311915,0.750886684,0.952436826,29.2311915,75.0886684,95.0871556,0.452235609,0.242157429,0.139231816,0.103855833,0.062519319,2011,state,NA,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.164327962,0.608365312,0.950871556,16.4327962,60.8365312,83.9720914,0.301751077,0.24498181,0.206584334,0.169232517,0.077450253,2011,state,NA,Gujarat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.036384277,0.442151895,0.839720914,3.6384277,44.2151895,93.8704218,0.039962891,0.290645212,0.221527398,0.255083174,0.192781314,2011,state,NA,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.314736133,0.707047978,0.938704218,31.4736133,70.7047978,90.0638578,0.406386018,0.195046797,0.206576392,0.105154999,0.086835794,2011,state,NA,D & N Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.093473268,0.548339412,0.900638578,9.3473268,54.8339412,90.0315953,0.191899791,0.268927783,0.230688378,0.176724643,0.131759405,2011,state,NA,Maharastra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.043722744,0.448223798,0.900315953,4.3722744,44.8223798,88.6684991,0.119196407,0.225569606,0.291025996,0.224154323,0.140053675,2011,state,NA,Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.057048222,0.504880519,0.886684991,5.7048222,50.4880519,82.2192115,0.150524691,0.265175343,0.249264777,0.18157056,0.153464615,2011,state,NA,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.037430782,0.280950333,0.822192115,3.7430782,28.0950333,67.8847166,0.056501396,0.192200184,0.144833446,0.361144245,0.245320737,2011,state,NA,Goa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0,0.100526015,0.678847166,0,10.0526015,78.9551322,0,0.072161973,0.179149956,0.304799974,0.443888068,2011,state,NA,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,0.028060356,0.294259696,0.789551322,2.8060356,29.4259696,86.5924863,0.067290977,0.15447627,0.21995987,0.283130944,0.275141954,2011,state,NA,Kerala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.050365589,0.391129694,0.865924863,5.0365589,39.1129694,78.9262889,0.114625663,0.198187664,0.252334684,0.25203824,0.182813749,2011,state,NA,Tamil Nadu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.005138706,0.205908425,0.789262889,0.5138706,20.5908425,62.8870699,0.028127043,0.103303514,0.190428808,0.346410424,0.331730217,2011,state,NA,Pondicherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0,0.062556733,0.628870699,0,6.2556733,91.8939013,0.003092386,0.024884367,0.128546551,0.363156736,0.480319947,2011,state,NA,A & N Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0.033568688,0.38313782,0.918939013,3.3568688,38.313782,87.707276,0.076641999,0.208856657,0.324188352,0.254598498,0.135714501,2011,sectorstate,0,Jammu & Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
