Poor,Urban,State,Education,Attendence,Child Mortality,Nutrition,Electricity,Toilet,Water,House,Fuel,Asset,year
1,99,Lakshadweep,0,0.38,0.38,1,0,0.12,0.38,0.24,0.64,0.12,5
1,99,Madhya Pradesh,0.47,0.14,0.07,0.66,0.19,0.94,0.46,0.91,0.96,0.43,5
1,99,Maharashtra,0.44,0.12,0.04,0.65,0.24,0.87,0.35,0.74,0.87,0.55,5
1,99,Manipur,0.32,0.07,0.06,0.66,0.19,0.68,0.77,0.97,0.88,0.4,5
1,99,Meghalaya,0.59,0.14,0.07,0.62,0.22,0.61,0.47,0.77,0.98,0.64,5
1,99,Mizoram,0.66,0.19,0.09,0.49,0.31,0.62,0.3,0.81,0.88,0.75,5
1,99,Nagaland,0.61,0.11,0.06,0.49,0.09,0.39,0.3,0.97,0.96,0.76,5
1,99,Odisha,0.52,0.1,0.05,0.65,0.29,0.94,0.3,0.86,0.98,0.46,5
1,99,Pondicherry,0.57,0.02,0.06,0.52,0.05,0.94,0.1,0.78,0.77,0.44,5
1,99,Punjab,0.68,0.21,0.09,0.62,0.05,0.65,0.08,0.71,0.8,0.19,5
1,99,Rajasthan,0.55,0.18,0.07,0.63,0.23,0.88,0.45,0.68,0.95,0.51,5
1,99,Sikkim,0.75,0.05,0.07,0.53,0.03,0.29,0.09,0.72,0.81,0.63,5
1,99,Tamil Nadu,0.6,0.04,0.06,0.5,0.09,0.95,0.21,0.65,0.82,0.4,5
1,99,Telangana,0.71,0.05,0.05,0.51,0.08,0.9,0.34,0.63,0.8,0.56,5
1,99,Tripura,0.56,0.06,0.04,0.58,0.24,0.7,0.38,0.97,0.92,0.62,5
1,99,Uttar Pradesh,0.49,0.21,0.09,0.67,0.51,0.89,0.06,0.92,0.93,0.3,5
1,99,Uttarakhand,0.53,0.13,0.08,0.64,0.11,0.74,0.21,0.78,0.91,0.5,5
1,99,West Bengal,0.59,0.09,0.04,0.62,0.16,0.84,0.17,0.9,0.97,0.44,5
0,0,Andaman and Nicobar Islands,0.05,0,0,0.15,0.01,0.28,0.08,0.45,0.32,0.08,5
0,0,Andhra Pradesh,0.16,0.01,0.01,0.16,0,0.48,0.31,0.16,0.39,0.09,5
0,0,Arunachal Pradesh,0.08,0.02,0.01,0.08,0.08,0.3,0.12,0.79,0.59,0.18,5
0,0,Assam,0.02,0.01,0.01,0.16,0.12,0.39,0.14,0.72,0.75,0.1,5
0,0,Bihar,0.03,0.01,0.01,0.16,0.29,0.6,0.01,0.63,0.77,0.16,5
0,0,Chandigarh,0.07,0,0,0.36,0,0.57,0,0.07,0,0,5
0,0,Chhattisgarh,0.02,0.01,0.01,0.18,0.02,0.63,0.15,0.62,0.86,0.1,5
0,0,Dadra & Nagar Haveli,0.01,0.01,0.01,0.14,0.02,0.78,0.22,0.58,0.49,0.22,5
