level,year,State,sector,area,poor_300,poor_420,poor_830,welfare_agg21_sp,india_welfare,india_welfare_filled,welfare_pct_india,round,m_poor_1_33,m_poor_1_50
State,2022,Himachal Pradesh,99,All,0.0268,0.1618,0.7343,3686.887009,2800.22,2800.22,131.66,5,0.0531,0.0063
State,2022,Jammu & Kashmir,0,urban/rural,0.0388,0.2361,0.8398,3203.689424,2800.22,2800.22,114.41,5,0.079,0.0132
State,2022,Jammu & Kashmir,1,urban/rural,0.0357,0.142,0.6776,4032.691306,2800.22,2800.22,144.01,5,0.0156,0.0012
State,2022,Jammu & Kashmir,99,All,0.0381,0.2148,0.8032,3327.930516,2800.22,2800.22,118.85,5,0.0626,0.0101
State,2022,Jharkhand,0,urban/rural,0.334,0.6526,0.9566,2103.591032,2800.22,2800.22,75.12,5,0.3729,0.1137
State,2022,Jharkhand,1,urban/rural,0.1741,0.3564,0.8471,2985.673231,2800.22,2800.22,106.62,5,0.0863,0.0185
State,2022,Jharkhand,99,All,0.3024,0.5941,0.935,2222.068934,2800.22,2800.22,79.35,5,0.306,0.0915
State,2022,Karnataka,0,urban/rural,0.0672,0.3066,0.8618,3039.164097,2800.22,2800.22,108.53,5,0.1183,0.0186
State,2022,Karnataka,1,urban/rural,0.0754,0.2154,0.6639,3939.70477,2800.22,2800.22,140.69,5,0.0322,0.0036
State,2022,Karnataka,99,All,0.0701,0.2743,0.7918,3262.528145,2800.22,2800.22,116.51,5,0.085,0.0128
State,2022,Kerala,0,urban/rural,0.0395,0.1854,0.7533,3637.900542,2800.22,2800.22,129.91,5,0.0126,0.0006
State,2022,Kerala,1,urban/rural,0.0342,0.1505,0.6733,3934.550226,2800.22,2800.22,140.51,5,0.0041,0
State,2022,Kerala,99,All,0.0376,0.1727,0.7241,3746.180383,2800.22,2800.22,133.78,5,0.0086,0.0003
State,2022,Ladakh,0,urban/rural,0.0525,0.2411,0.8849,3164.101029,2800.22,2800.22,112.99,5,0.0765,0.009
State,2022,Ladakh,1,urban/rural,0.0293,0.1158,0.7222,3841.405543,2800.22,2800.22,137.18,5,0.0165,0.0038
State,2022,Ladakh,99,All,0.0492,0.2237,0.8623,3201.806552,2800.22,2800.22,114.34,5,0.0651,0.008
State,2022,Lakshadweep,0,urban/rural,0,0.0355,0.6743,4193.375693,2800.22,2800.22,149.75,5,0.0123,0
State,2022,Lakshadweep,1,urban/rural,0,0.0671,0.6968,3901.685952,2800.22,2800.22,139.33,5,0.0079,0
State,2022,Lakshadweep,99,All,0,0.0544,0.6878,4091.751338,2800.22,2800.22,146.12,5,0.0088,0
State,2022,Madhya Pradesh,0,urban/rural,0.2582,0.5111,0.9435,2450.88166,2800.22,2800.22,87.52,5,0.2962,0.0689
State,2022,Madhya Pradesh,1,urban/rural,0.1539,0.3699,0.8281,2933.567355,2800.22,2800.22,104.76,5,0.0761,0.0136
State,2022,Madhya Pradesh,99,All,0.2319,0.4755,0.9144,2552.841294,2800.22,2800.22,91.17,5,0.2396,0.0547
State,2022,Maharashtra,0,urban/rural,0.1521,0.4692,0.9236,2560.407063,2800.22,2800.22,91.44,5,0.1336,0.0222
State,2022,Maharashtra,1,urban/rural,0.0768,0.2631,0.775,3343.30214,2800.22,2800.22,119.39,5,0.0334,0.0034
State,2022,Maharashtra,99,All,0.1192,0.3792,0.8587,2850.585466,2800.22,2800.22,101.8,5,0.0899,0.014
State,2022,Manipur,0,urban/rural,0.2832,0.5599,0.9558,2302.758237,2800.22,2800.22,82.23,5,0.1287,0.0193
State,2022,Manipur,1,urban/rural,0.2886,0.5287,0.9414,2372.800776,2800.22,2800.22,84.74,5,0.0441,0.0047
State,2022,Manipur,99,All,0.2847,0.5515,0.9519,2321.948117,2800.22,2800.22,82.92,5,0.0967,0.0138
