,m_poor_1_33,m_poor_1_50,Year,round,level,area,dem,SourceSheet,sector,state,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
48,0.380653173,0.146889418,2019,5,State,urban/rural,All Households,statesector,0,Bihar,NA,NA,NA,NA,NA,NA
49,0.164153337,0.051644884,2019,5,State,urban/rural,All Households,statesector,1,Bihar,NA,NA,NA,NA,NA,NA
50,0.038834952,0,2019,5,State,urban/rural,All Households,statesector,0,Chandigarh,NA,NA,NA,NA,NA,NA
51,0.039434381,0.011991247,2019,5,State,urban/rural,All Households,statesector,1,Chandigarh,NA,NA,NA,NA,NA,NA
52,0.215176627,0.04576258,2019,5,State,urban/rural,All Households,statesector,0,Chhattisgarh,NA,NA,NA,NA,NA,NA
53,0.050845772,0.007517346,2019,5,State,urban/rural,All Households,statesector,1,Chhattisgarh,NA,NA,NA,NA,NA,NA
54,0.221954927,0.033448994,2019,5,State,urban/rural,All Households,statesector,0,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
55,0.051075306,0.013339214,2019,5,State,urban/rural,All Households,statesector,1,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
56,0.02368954,0.008120588,2019,5,State,urban/rural,All Households,statesector,0,Delhi,NA,NA,NA,NA,NA,NA
57,0.033789698,0.0048089,2019,5,State,urban/rural,All Households,statesector,1,Delhi,NA,NA,NA,NA,NA,NA
58,0.028414149,0.003376751,2019,5,State,urban/rural,All Households,statesector,0,Goa,NA,NA,NA,NA,NA,NA
59,0.004166212,0,2019,5,State,urban/rural,All Households,statesector,1,Goa,NA,NA,NA,NA,NA,NA
60,0.214335427,0.046168625,2019,5,State,urban/rural,All Households,statesector,0,Gujarat,NA,NA,NA,NA,NA,NA
61,0.043155078,0.007206296,2019,5,State,urban/rural,All Households,statesector,1,Gujarat,NA,NA,NA,NA,NA,NA
62,0.086267814,0.019693904,2019,5,State,urban/rural,All Households,statesector,0,Haryana,NA,NA,NA,NA,NA,NA
63,0.041405171,0.008073798,2019,5,State,urban/rural,All Households,statesector,1,Haryana,NA,NA,NA,NA,NA,NA
64,0.057492629,0.005818551,2019,5,State,urban/rural,All Households,statesector,0,Himachal Pradesh,NA,NA,NA,NA,NA,NA
65,0.02341295,0.009907729,2019,5,State,urban/rural,All Households,statesector,1,Himachal Pradesh,NA,NA,NA,NA,NA,NA
66,0.078970119,0.013209112,2019,5,State,urban/rural,All Households,statesector,0,Jammu & Kashmir,NA,NA,NA,NA,NA,NA
67,0.015621888,0.001160011,2019,5,State,urban/rural,All Households,statesector,1,Jammu & Kashmir,NA,NA,NA,NA,NA,NA
68,0.372891515,0.113674417,2019,5,State,urban/rural,All Households,statesector,0,Jharkhand,NA,NA,NA,NA,NA,NA
69,0.08632721,0.018519159,2019,5,State,urban/rural,All Households,statesector,1,Jharkhand,NA,NA,NA,NA,NA,NA
70,0.118337162,0.018633734,2019,5,State,urban/rural,All Households,statesector,0,Karnataka,NA,NA,NA,NA,NA,NA
71,0.032152899,0.00360988,2019,5,State,urban/rural,All Households,statesector,1,Karnataka,NA,NA,NA,NA,NA,NA
72,0.012588571,0.000577356,2019,5,State,urban/rural,All Households,statesector,0,Kerala,NA,NA,NA,NA,NA,NA
