,poor_420,inc_selfemp,inc_salaried,inc_casual,year,level,area,dem,SourceSheet,sector2,state,age_cat1,age_cat2,age_cat3,age_cat4,edu_cat1,edu_cat2,edu_cat3,edu_cat4,edu_cat5,edu_cat6,gender_cat1,gender_cat2,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,owns_dwelling
25,1,0.371737182,0.222938612,0.381674618,2022,State,All,All Households,state,99,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0,0.482270569,0.410378397,0.084237136,2022,State,All,All Households,state,99,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,0.713002086,0.216967836,0.070030078,2022,State,All,All Households,state,99,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0,0.599472284,0.342502981,0.031057281,2022,State,All,All Households,state,99,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,0.794737458,0.128712922,0.074076794,2022,State,All,All Households,state,99,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0,0.608150303,0.296644866,0.04289151,2022,State,All,All Households,state,99,Nagaland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1,0.843117893,0.107950754,0.04331281,2022,State,All,All Households,state,99,Nagaland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0,0.535359383,0.291609734,0.144803569,2022,State,All,All Households,state,99,Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,0.634570062,0.163723856,0.176091775,2022,State,All,All Households,state,99,Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0,0.477808446,0.355873674,0.112759113,2022,State,All,All Households,state,99,Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1,0.67120558,0.160567805,0.098362684,2022,State,All,All Households,state,99,Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0,0.495480061,0.174427241,0.279958963,2022,State,All,All Households,state,99,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,0.628954649,0.013076171,0.339221507,2022,State,All,All Households,state,99,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0,0.539532363,0.267567784,0.183030218,2022,State,All,All Households,state,99,Meghalaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,0.594851434,0.090922579,0.304459184,2022,State,All,All Households,state,99,Meghalaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0,0.452961773,0.201290414,0.300018281,2022,State,All,All Households,state,99,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1,0.42289865,0.134608582,0.424954444,2022,State,All,All Households,state,99,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,0,0.418297887,0.224428162,0.302606553,2022,State,All,All Households,state,99,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1,0.349686205,0.141641006,0.478887498,2022,State,All,All Households,state,99,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0,0.43702051,0.24536939,0.248816699,2022,State,All,All Households,state,99,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,1,0.469780922,0.108381547,0.366021216,2022,State,All,All Households,state,99,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,0,0.463484824,0.196031794,0.271886081,2022,State,All,All Households,state,99,Odisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,1,0.491309702,0.063057184,0.394041747,2022,State,All,All Households,state,99,Odisha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,0,0.506963968,0.290933073,0.165034041,2022,State,All,All Households,state,99,Chhattisgarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,1,0.55961591,0.127847165,0.2927742,2022,State,All,All Households,state,99,Chhattisgarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,0,0.555284142,0.145984039,0.269825488,2022,State,All,All Households,state,99,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1,0.50024581,0.076084115,0.412234306,2022,State,All,All Households,state,99,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,0,0.498500794,0.295809358,0.175529972,2022,State,All,All Households,state,99,Gujarat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1,0.487204105,0.148858383,0.358737111,2022,State,All,All Households,state,99,Gujarat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,0,0.22023055,0.710038424,0.052460264,2022,State,All,All Households,state,99,Daman & Diu & D & N Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,1,0.429044276,0.490703255,0.065756798,2022,State,All,All Households,state,99,Daman & Diu & D & N Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,0,0.442138523,0.3440364,0.156507716,2022,State,All,All Households,state,99,Maharashtra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,1,0.456642896,0.125924587,0.395641536,2022,State,All,All Households,state,99,Maharashtra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0,0.413654804,0.217721745,0.283943772,2022,State,All,All Households,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,1,0.436435789,0.144823492,0.349783033,2022,State,All,All Households,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,0,0.482614487,0.241849318,0.229262456,2022,State,All,All Households,state,99,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,1,0.529630065,0.116813742,0.336717278,2022,State,All,All Households,state,99,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,0,0.236385286,0.576491475,0.086612143,2022,State,All,All Households,state,99,Goa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,1,0,0.341710865,0.658289135,2022,State,All,All Households,state,99,Goa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
