State,Variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
All States/UT,REV_TAX_I_A_3_RT,75.8,61.15,67.28,96.41,245.83,133.3,215.13,19.85,0.77,0.03,4.73,10.27,0.5,0.25,1.28,24.96,35.57,49.87,51.21,71.08,74.11,62.62,65.15,72.05,87.431506,78.2998794,89.2660798,134.1399803,-81.5459069,0.6479348,0.18665,0.045545,0.1189,0.1881,50.2066
All States/UT,REV_TAX_I_A_3_OR,63.82,77.81,123.05,271.93,55.88,204.04,86.93,295.19,277.19,321.8,428.24,402.21,336.48,8870.73,1888.79,5362.1,5475.45,2015.32,2401.66,1143.84,1346.03,3162.53,2440.95,3210.5,27634.79,110819.9337,124592.8742,76736.98669,33784.4854,30563.19045,16813.39508,24538.88072,30513.08003,23265.5567,27090.9168
All States/UT,REV_TAX_I_A_3_SE,4795.15,5438.77,6264.76,7008.74,7438.44,8180.69,8358.78,10755.68,12860.79,14465.54,16035.53,17110.1,18994.01,19637.74,21939.97,25035.6,29316.26,34127.22,40989.73,48374.58,59169.01,71781.5,82624.92,81382.15,90389.234,100905.8828,103493.007,126689.0565,149264.173,161833.0055,172794.4415,201948.7591,234603.8206,273573.8532,319571.3838
All States/UT,REV_TAX_I_A_3_TV,1566.27,1837.1,2194.42,2569.44,3014.95,3655.82,4039.22,4748.76,4898.61,5992.25,6665.55,7644.37,8441.02,10138.16,10810.91,11964.1,13238.25,15143.08,16446.36,19140.44,24397.69,28727.64,34003.47,35842.84,41407.027,44966.40202,51534.94305,64914.79456,68658.81472,71499.00999,60028.41584,73795.55626,97285.72642,109352.2052,127443.9647
All States/UT,REV_TAX_I_A_3_TG,1061.81,1135.63,1278.47,1478.95,1483.32,1504.46,1653.87,1996.44,1972.84,2096.52,2074.74,3671.35,3569.31,4189.92,5206.02,6449.57,6808.31,6807.67,8540.94,9856.97,11325.37,11672.18,15306.4,19444.89,19606.366,23360.57465,26011.01321,13719.15156,3540.267162,2380.904706,1020.509203,1017.337668,2094.32681,3090.6944,2756.6378
All States/UT,REV_TAX_I_A_3_TE,1184.91,1596.1,1747.86,1726.25,2241.7,2377.17,2718.27,3194.22,3772.91,3667.32,4430.92,4691.61,5255.88,5580.02,7255.23,7717.59,8161.19,9239.13,9530.26,12225.99,17342.34,17283.85,22181.31,22460.35,25747.907,31235.75689,28819.95604,34804.07441,40345.2152,40917.96274,40305.3058,42752.92471,60981.22279,63991.2915,71055.4964
All States/UT,REV_TAX_I_A_3_ET,430.66,367.58,469.7,522.26,447.05,439.58,605.79,664.64,659.66,827.76,1146.9,798.66,799.65,755.71,861.69,648.65,704.87,1082.87,981.25,1112.05,1293.7,1852.36,2037.73,2123.33,2398.1331,2781.700442,3052.422725,1145.883707,97.807228,88.7395078,93.2747,55.221982,85.0540742,229.2413,195.7619
All States/UT,REV_TAX_I_A_3_GS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353763.5405,516626.2644,505137.3398,463231.6756,601949.2281,726641.5272,877053.7937,1024575.286
All States/UT,REV_TAX_I_A_3_OT,263.46,358.21,336.04,388.07,545.51,3675.74,763.26,833.18,939.48,864.7,1106.03,1253.12,1458.5,1551.42,1650.5,1492.28,1912.35,1946.37,2178.25,2712.82,3405.39,3400.45,4287.15,4523.32,5542.3129,5545.008251,5820.363397,4327.320566,3364.21487,2832.42411,2744.623954,2649.050471,3074.148786,4818.7228,5652.907
All States/UT,REV_TAX_I_B,14241.47,16847.86,20580.14,22394.82,24884.73,29047.64,35037.61,40411.2,39421.24,44121.13,50733.66,52215.27,56655.32,67078.61,78549.6,94024.2,120292.94,151402.49,161052.37,165013.53,219489.37,255591.73,291530.05,318273.46,337835.3,506191.2979,607861.4095,605186.0245,746894.2497,650686.7196,595226.9265,883099.8012,948981.6014,1103001.248,1223887.88
