StateName,,StateName,GroupName,PeerName,,Gujarat,Haryana,Andhra Pradesh,Gujarat,,All States/UT,,Gujarat,Gujarat,Gujarat,,,All States/UT,All States/UT
,,Jammu and Kashmir,Peers,Rajasthan,,,,,,,,,,,,,,,
,,Jammu and Kashmir,Peers,Tripura,,,,,,,,,,,,,,,
,,Jammu and Kashmir,Peers,West Bengal,,,,,,,,,,,,,,,
,,Jharkhand,Peers,Bihar,,,,,,,,,,,,,,,
,,Jharkhand,Peers,Manipur,,,,,,,,,,,,,,,
,,Jharkhand,Peers,Meghalaya,,,,,,,,,,,,,,,
,,Jharkhand,Peers,Uttar Pradesh,,,,,,,,,,,,,,,
,,Karnataka,Peers,Gujarat,,,,,,,,,,,,,,,
,,Karnataka,Peers,Haryana,,,,,,,,,,,,,,,
,,Karnataka,Peers,Kerala,,,,,,,,,,,,,,,
,,Karnataka,Peers,Puducherry,,,,,,,,,,,,,,,
,,Karnataka,Peers,Tamil Nadu,,,,,,,,,,,,,,,
,,Karnataka,Peers,Telangana,,,,,,,,,,,,,,,
,,Kerala,Peers,Gujarat,,,,,,,,,,,,,,,
,,Kerala,Peers,Haryana,,,,,,,,,,,,,,,
,,Kerala,Peers,Karnataka,,,,,,,,,,,,,,,
,,Kerala,Peers,Puducherry,,,,,,,,,,,,,,,
,,Kerala,Peers,Tamil Nadu,,,,,,,,,,,,,,,
,,Kerala,Peers,Telangana,,,,,,,,,,,,,,,
,,Madhya Pradesh,Peers,Assam,,,,,,,,,,,,,,,
,,Madhya Pradesh,Peers,Chhattisgarh,,,,,,,,,,,,,,,
,,Madhya Pradesh,Peers,Jammu and Kashmir,,,,,,,,,,,,,,,
,,Madhya Pradesh,Peers,Nagaland,,,,,,,,,,,,,,,
,,Madhya Pradesh,Peers,Odisha,,,,,,,,,,,,,,,
,,Madhya Pradesh,Peers,Punjab,,,,,,,,,,,,,,,
,,Madhya Pradesh,Peers,Rajasthan,,,,,,,,,,,,,,,
,,Madhya Pradesh,Peers,Tripura,,,,,,,,,,,,,,,
,,Madhya Pradesh,Peers,West Bengal,,,,,,,,,,,,,,,
,,Maharashtra,Peers,Andhra Pradesh,,,,,,,,,,,,,,,
,,Maharashtra,Peers,Arunachal Pradesh,,,,,,,,,,,,,,,
,,Maharashtra,Peers,Himachal Pradesh,,,,,,,,,,,,,,,
,,Maharashtra,Peers,Mizoram,,,,,,,,,,,,,,,
,,Maharashtra,Peers,Uttarakhand,,,,,,,,,,,,,,,
,,Manipur,Peers,Bihar,,,,,,,,,,,,,,,
