,,,,,Social Security and Welfare,REV_NTAX_II_C_SS_SW,,,,,,,,,,,,,,,,
,,,,,Others,REV_NTAX_II_C_SS_O,,,,,,,,,,,,,,,,
,,,,,Fiscal Services,REV_NTAX_II_C_FS,,,,,,,,,,,,,,,,
,,,,,Economic Services (i to xvii),REV_NTAX_II_C_ES,,,,,,,,,,,,,,,,
,,,,,Crop Husbandry,REV_NTAX_II_C_ES_CH,,,,,,,,,,,,,,,,
,,,,,Animal Husbandry,REV_NTAX_II_C_ES_AH,,,,,,,,,,,,,,,,
,,,,,Fisheries,REV_NTAX_II_C_ES_FI,,,,,,,,,,,,,,,,
,,,,,Forestry and Wildlife,REV_NTAX_II_C_ES_FW,,,,,,,,,,,,,,,,
,,,,,Plantations,REV_NTAX_II_C_ES_PL,,,,,,,,,,,,,,,,
,,,,,Co-operation,REV_NTAX_II_C_ES_CO,,,,,,,,,,,,,,,,
,,,,,Other Agricultural Programmes,REV_NTAX_II_C_ES_OA,,,,,,,,,,,,,,,,
,,,,,Major and Medium Irrigation Projects,REV_NTAX_II_C_ES_MI,,,,,,,,,,,,,,,,
,,,,,Minor Irrigation,REV_NTAX_II_C_ES_MII,,,,,,,,,,,,,,,,
,,,,,Power,REV_NTAX_II_C_ES_PW,,,,,,,,,,,,,,,,
,,,,,Petroleum,REV_NTAX_II_C_ES_PE,,,,,,,,,,,,,,,,
,,,,,Village and Small Industries,REV_NTAX_II_C_ES_VI,,,,,,,,,,,,,,,,
,,,,,Industries,REV_NTAX_II_C_ES_IN,,,,,,,,,,,,,,,,
,,,,,Ports and Light Houses,REV_NTAX_II_C_ES_PH,,,,,,,,,,,,,,,,
,,,,,Road Transport,REV_NTAX_II_C_ES_RT,,,,,,,,,,,,,,,,
,,,,,Tourism,REV_NTAX_II_C_ES_TM,,,,,,,,,,,,,,,,
,,,,,Others,REV_NTAX_II_C_ES_O,,,,,,,,,,,,,,,,
,,,,,Grants from the Centre (1 to 7),REV_NTAX_II_D,,,,,,,,,,,,,,,,
,,,,,State Plan Schemes,REV_NTAX_II_D_SP,,,,,,,,,,,,,,,,
,,,,,Advance release of Plan Assistance for Natural Calamities,REV_NTAX_II_D_SP_ND,,,,,,,,,,,,,,,,
,,,,,Central Plan Schemes,REV_NTAX_II_D_CP,,,,,,,,,,,,,,,,
,,,,,Centrally Sponsored Schemes,REV_NTAX_II_D_CS,,,,,,,,,,,,,,,,
,,,,,NEC/ Special Plan Scheme,REV_NTAX_II_D_NEC,,,,,,,,,,,,,,,,
,,,,,Finance Commission Grants,REV_NTAX_II_D_FC,,,,,,,,,,,,,,,,
,,,,,Non-Plan Grants (a to c),REV_NTAX_II_D_FC_NPG,,,,,,,,,,,,,,,,
,,,,,Statutory Grants,REV_NTAX_II_D_FC_NPG_SG,,,,,,,,,,,,,,,,
,,,,,Grants for relief on account of Natural Calamities,REV_NTAX_II_D_FC_NPG_NC,,,,,,,,,,,,,,,,
,,,,,Others FC grants,REV_NTAX_II_D_FC_NPG_OT,,,,,,,,,,,,,,,,
,,,,,GST compensation,REV_NTAX_II_D_FC_NPG_GST,,,,,,,,,,,,,,,,
,,,,,VAT compensation,REV_NTAX_II_D_FC_NPG_VAT,,,,,,,,,,,,,,,,
,,,,,Central sales tax compensation,REV_NTAX_II_D_FC_NPG_CST,,,,,,,,,,,,,,,,
,,,,,Compensation cess (0009),REV_NTAX_II_D_FC_NPG_CESS,,,,,,,,,,,,,,,,
,,,,,Post Devolution Revenue Deficit Grants,REV_NTAX_II_D_FC_PD,,,,,,,,,,,,,,,,
,,,,,Grants for Rural Local Bodies,REV_NTAX_II_D_FC_RL,,,,,,,,,,,,,,,,
,,,,,Grants for Urban Local Bodies,REV_NTAX_II_D_FC_UL,,,,,,,,,,,,,,,,
,,,,,Grant in aid for State Disaster Response Fund,REV_NTAX_II_D_FC_DR,,,,,,,,,,,,,,,,
,,,,,Others (including Health Sector Grants),REV_NTAX_II_D_FC_O,,,,,,,,,,,,,,,,
,,,,,Grants under proviso to Article 275(1) of the Constitution,REV_NTAX_II_D_275,,,,,,,,,,,,,,,,
,,,,,Other Grants,REV_NTAX_II_D_OG,,,,,,,,,,,,,,,,
,,,,,GST Compensation (1)#,REV_NTAX_II_D_OG_GC1,,,,,,,,,,,,,,,,
,,,,,GST Compensation (2)#,REV_NTAX_II_D_OG_GC2,,,,,,,,,,,,,,,,
,,,,,TOTAL EXPENDITURE (I+II+III),EXP_CUR_TOTAL,,,,,,,,,,,,,,,,
,,,,,DEVELOPMENTAL EXPENDITURE (A + B),EXP_CUR_I,,,,,,,,,,,,,,,,
,,,,,Social Services (1 to 12),EXP_CUR_I_A,,,,,,,,,,,,,,,,
,,,,,"Education, Sports, Art and Culture",EXP_CUR_I_A_ES,,,,,,,,,,,,,,,,
,,,,,Medical and Public Health,EXP_CUR_I_A_MH,,,,,,,,,,,,,,,,
,,,,,Family Welfare,EXP_CUR_I_A_FW,,,,,,,,,,,,,,,,
,,,,,Water Supply and Sanitation,EXP_CUR_I_A_WS,,,,,,,,,,,,,,,,
,,,,,Housing,EXP_CUR_I_A_H,,,,,,,,,,,,,,,,
,,,,,Urban Development,EXP_CUR_I_A_UD,,,,,,,,,,,,,,,,
,,,,,"Welfare of Scheduled Castes, Scheduled Tribes and OBC",EXP_CUR_I_A_WSC,,,,,,,,,,,,,,,,
,,,,,Labour and Labour Welfare,EXP_CUR_I_A_LW,,,,,,,,,,,,,,,,
,,,,,Social Security and Welfare,EXP_CUR_I_A_SW,,,,,,,,,,,,,,,,
,,,,,Nutrition,EXP_CUR_I_A_N,,,,,,,,,,,,,,,,
,,,,,Relief on account of Natural Calamities,EXP_CUR_I_A_RNC,,,,,,,,,,,,,,,,
,,,,,Others*,EXP_CUR_I_A_O,,,,,,,,,,,,,,,,
,,,,,Economic Services (1 to 9),EXP_CUR_I_B,,,,,,,,,,,,,,,,
,,,,,Agriculture and Allied Activities (i to xii),EXP_CUR_I_B_AA,,,,,,,,,,,,,,,,
,,,,,Crop Husbandry,EXP_CUR_I_B_AA_CH,,,,,,,,,,,,,,,,
,,,,,Soil and Water Conservation,EXP_CUR_I_B_AA_SC,,,,,,,,,,,,,,,,
,,,,,Animal Husbandry,EXP_CUR_I_B_AA_AH,,,,,,,,,,,,,,,,
,,,,,Dairy Development,EXP_CUR_I_B_AA_DD,,,,,,,,,,,,,,,,
,,,,,Fisheries,EXP_CUR_I_B_AA_FI,,,,,,,,,,,,,,,,
