group,poor_420,sectorname,sector,state,year,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear
state,1,,99,Odisha,2023,0.422,0.010,0.468,0.561,0.019,0.163,0.011,0.009,0.691,0.027,0.053,0.000,0.000,0.000,0.004,0.049,0.526,0.047,0.006,0.430,0.404
state_sector,0,rural,0,Puducherry,2023,0.000,0.000,0.000,0.302,0.002,0.830,0.038,0.002,0.036,0.005,0.044,0.005,0.000,0.000,0.027,0.028,0.293,0.023,0.000,0.083,0.000
state_sector,1,rural,0,Puducherry,2023,0.000,0.000,0.000,0.000,0.000,0.817,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
state_sector,0,urban,1,Puducherry,2023,0.000,0.000,0.000,0.116,0.000,0.737,0.022,0.014,0.049,0.002,0.007,0.000,0.000,0.000,0.004,0.003,0.116,0.020,0.003,0.028,0.000
state_sector,1,urban,1,Puducherry,2023,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.313,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000
state,0,,99,Puducherry,2023,0.000,0.000,0.000,0.178,0.001,0.768,0.027,0.010,0.045,0.003,0.020,0.002,0.000,0.000,0.012,0.012,0.175,0.021,0.002,0.046,0.000
state,1,,99,Puducherry,2023,0.000,0.000,0.000,0.844,0.000,0.127,0.000,0.264,0.844,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.844,0.844,0.844,0.000,0.000
state_sector,0,rural,0,Punjab,2023,0.290,0.000,0.332,0.260,0.002,0.547,0.880,0.109,0.241,0.011,0.013,0.000,0.000,0.000,0.000,0.012,0.251,0.010,0.076,0.073,0.063
state_sector,1,rural,0,Punjab,2023,0.479,0.000,0.257,0.564,0.041,0.347,0.963,0.152,0.305,0.000,0.036,0.000,0.000,0.000,0.000,0.036,0.564,0.149,0.281,0.209,0.165
state_sector,0,urban,1,Punjab,2023,0.150,0.000,0.141,0.115,0.002,0.457,0.784,0.060,0.115,0.013,0.006,0.000,0.000,0.000,0.000,0.006,0.105,0.004,0.022,0.029,0.028
state_sector,1,urban,1,Punjab,2023,0.341,0.000,0.184,0.386,0.000,0.126,0.591,0.082,0.267,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.386,0.000,0.081,0.000,0.000
state,0,,99,Punjab,2023,0.236,0.000,0.258,0.204,0.002,0.512,0.843,0.090,0.192,0.012,0.010,0.000,0.000,0.000,0.000,0.010,0.194,0.008,0.055,0.056,0.049
state,1,,99,Punjab,2023,0.438,0.000,0.235,0.510,0.029,0.281,0.851,0.131,0.293,0.000,0.025,0.000,0.000,0.000,0.000,0.025,0.510,0.104,0.221,0.146,0.115
state_sector,0,rural,0,Rajasthan,2023,0.019,0.000,0.704,0.399,0.001,0.149,0.831,0.216,0.661,0.079,0.086,0.000,0.000,0.078,0.010,0.004,0.393,0.007,0.005,0.183,0.005
state_sector,1,rural,0,Rajasthan,2023,0.020,0.000,0.811,0.570,0.005,0.141,0.856,0.187,0.770,0.098,0.085,0.000,0.001,0.078,0.006,0.008,0.563,0.008,0.004,0.311,0.010
state_sector,0,urban,1,Rajasthan,2023,0.020,0.000,0.308,0.111,0.001,0.109,0.656,0.074,0.512,0.071,0.048,0.000,0.000,0.046,0.003,0.001,0.108,0.002,0.001,0.041,0.001
state_sector,1,urban,1,Rajasthan,2023,0.031,0.000,0.699,0.338,0.001,0.220,0.718,0.162,0.714,0.130,0.105,0.000,0.000,0.101,0.001,0.003,0.334,0.008,0.005,0.109,0.001
state,0,,99,Rajasthan,2023,0.019,0.000,0.597,0.321,0.001,0.138,0.784,0.178,0.621,0.077,0.076,0.000,0.000,0.070,0.008,0.003,0.316,0.006,0.004,0.145,0.004
state,1,,99,Rajasthan,2023,0.022,0.000,0.794,0.535,0.004,0.153,0.835,0.184,0.762,0.103,0.088,0.000,0.001,0.081,0.005,0.007,0.529,0.008,0.004,0.281,0.008
state_sector,0,rural,0,Sikkim,2023,0.334,0.000,0.541,0.298,0.000,0.247,0.595,0.001,0.049,0.004,0.003,0.000,0.000,0.000,0.000,0.003,0.296,0.005,0.164,0.012,0.011
state_sector,1,rural,0,Sikkim,2023,0.661,0.000,0.273,0.482,0.000,0.343,0.833,0.000,0.119,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.482,0.000,0.149,0.000,0.000
state_sector,0,urban,1,Sikkim,2023,0.054,0.000,0.200,0.114,0.000,0.283,0.019,0.000,0.028,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.114,0.006,0.068,0.009,0.009
state_sector,1,urban,1,Sikkim,2023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
state,0,,99,Sikkim,2023,0.261,0.000,0.452,0.250,0.000,0.256,0.445,0.001,0.043,0.004,0.002,0.000,0.000,0.000,0.000,0.002,0.248,0.005,0.139,0.011,0.010
state,1,,99,Sikkim,2023,0.648,0.000,0.268,0.472,0.000,0.336,0.817,0.000,0.117,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.472,0.000,0.146,0.000,0.000
state_sector,0,rural,0,Tamil Nadu,2023,0.958,0.239,0.798,0.358,0.068,0.466,0.936,0.023,0.208,0.016,0.200,0.001,0.000,0.000,0.017,0.188,0.315,0.226,0.242,0.255,0.118
state_sector,1,rural,0,Tamil Nadu,2023,0.937,0.342,0.909,0.594,0.063,0.433,0.880,0.011,0.182,0.013,0.188,0.000,0.000,0.000,0.030,0.176,0.588,0.466,0.530,0.271,0.167
state_sector,0,urban,1,Tamil Nadu,2023,0.822,0.061,0.701,0.181,0.035,0.365,0.892,0.014,0.106,0.011,0.100,0.001,0.000,0.000,0.010,0.091,0.154,0.106,0.114,0.119,0.048
state_sector,1,urban,1,Tamil Nadu,2023,0.843,0.033,0.815,0.554,0.047,0.395,0.864,0.017,0.207,0.009,0.153,0.000,0.028,0.000,0.016,0.135,0.545,0.446,0.499,0.331,0.248
state,0,,99,Tamil Nadu,2023,0.894,0.156,0.752,0.275,0.052,0.418,0.916,0.018,0.160,0.013,0.153,0.001,0.000,0.000,0.014,0.142,0.239,0.170,0.182,0.191,0.085
state,1,,99,Tamil Nadu,2023,0.908,0.246,0.880,0.582,0.058,0.421,0.875,0.013,0.190,0.012,0.177,0.000,0.009,0.000,0.026,0.163,0.575,0.460,0.521,0.290,0.192
state_sector,0,rural,0,Telangana,2023,0.006,0.000,0.943,0.353,0.107,0.892,0.330,0.098,0.348,0.013,0.079,0.000,0.000,0.000,0.000,0.078,0.281,0.035,0.028,0.335,0.016
state_sector,1,rural,0,Telangana,2023,0.036,0.000,0.961,0.447,0.178,0.787,0.248,0.102,0.676,0.007,0.016,0.000,0.000,0.000,0.000,0.016,0.421,0.017,0.019,0.468,0.000
state_sector,0,urban,1,Telangana,2023,0.026,0.000,0.555,0.147,0.046,0.616,0.144,0.072,0.213,0.009,0.033,0.000,0.000,0.000,0.000,0.033,0.099,0.018,0.024,0.144,0.015
state_sector,1,urban,1,Telangana,2023,0.022,0.000,0.883,0.661,0.183,0.431,0.052,0.109,0.322,0.000,0.008,0.000,0.000,0.000,0.000,0.008,0.620,0.120,0.095,0.571,0.000
state,0,,99,Telangana,2023,0.015,0.000,0.771,0.261,0.080,0.769,0.248,0.087,0.288,0.011,0.058,0.000,0.000,0.000,0.000,0.058,0.200,0.027,0.026,0.250,0.015
state,1,,99,Telangana,2023,0.032,0.000,0.941,0.502,0.179,0.696,0.198,0.104,0.585,0.005,0.014,0.000,0.000,0.000,0.000,0.014,0.472,0.043,0.038,0.494,0.000
state_sector,0,rural,0,Tripura,2023,0.967,0.342,0.116,0.354,0.000,0.124,0.006,0.020,0.499,0.032,0.002,0.000,0.000,0.000,0.002,0.001,0.353,0.002,0.033,0.000,0.000
state_sector,1,rural,0,Tripura,2023,0.949,0.594,0.130,0.469,0.000,0.000,0.000,0.000,0.443,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.469,0.000,0.000,0.000,0.000
state_sector,0,urban,1,Tripura,2023,0.921,0.154,0.096,0.238,0.000,0.249,0.010,0.017,0.346,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.235,0.001,0.014,0.003,0.000
state_sector,1,urban,1,Tripura,2023,0.873,0.478,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
state,0,,99,Tripura,2023,0.958,0.307,0.113,0.333,0.000,0.147,0.007,0.019,0.471,0.030,0.002,0.000,0.000,0.000,0.001,0.001,0.331,0.002,0.029,0.001,0.000
state,1,,99,Tripura,2023,0.946,0.589,0.124,0.448,0.000,0.000,0.000,0.000,0.468,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.448,0.000,0.000,0.000,0.000
state_sector,0,rural,0,Uttar Pradesh,2023,0.022,0.000,0.832,0.180,0.001,0.340,0.017,0.083,0.143,0.005,0.010,0.000,0.001,0.003,0.000,0.005,0.174,0.021,0.111,0.015,0.012
state_sector,1,rural,0,Uttar Pradesh,2023,0.040,0.000,0.881,0.337,0.000,0.239,0.015,0.163,0.149,0.001,0.013,0.000,0.000,0.000,0.000,0.013,0.327,0.058,0.196,0.028,0.024
state_sector,0,urban,1,Uttar Pradesh,2023,0.023,0.000,0.547,0.035,0.001,0.327,0.014,0.034,0.074,0.006,0.003,0.000,0.001,0.001,0.000,0.001,0.030,0.006,0.016,0.003,0.001
state_sector,1,urban,1,Uttar Pradesh,2023,0.034,0.000,0.800,0.113,0.000,0.397,0.015,0.080,0.095,0.001,0.004,0.000,0.000,0.000,0.000,0.004,0.105,0.013,0.066,0.007,0.005
state,0,,99,Uttar Pradesh,2023,0.022,0.000,0.767,0.147,0.001,0.337,0.017,0.072,0.127,0.005,0.008,0.000,0.001,0.003,0.000,0.004,0.141,0.017,0.090,0.012,0.009
state,1,,99,Uttar Pradesh,2023,0.039,0.000,0.869,0.304,0.000,0.262,0.015,0.151,0.141,0.001,0.011,0.000,0.000,0.000,0.000,0.011,0.294,0.051,0.177,0.025,0.021
state_sector,0,rural,0,Uttarakhand,2023,0.225,0.000,0.571,0.260,0.001,0.485,0.014,0.013,0.820,0.051,0.082,0.000,0.011,0.000,0.001,0.074,0.241,0.005,0.060,0.118,0.075
state_sector,1,rural,0,Uttarakhand,2023,0.168,0.000,0.642,0.675,0.012,0.331,0.003,0.000,0.862,0.016,0.206,0.000,0.011,0.000,0.000,0.195,0.675,0.017,0.172,0.259,0.183
state_sector,0,urban,1,Uttarakhand,2023,0.098,0.000,0.283,0.102,0.000,0.604,0.026,0.005,0.582,0.025,0.017,0.000,0.007,0.000,0.003,0.011,0.099,0.001,0.015,0.026,0.014
state_sector,1,urban,1,Uttarakhand,2023,0.149,0.000,0.408,0.462,0.000,0.486,0.000,0.000,0.609,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.438,0.000,0.106,0.024,0.024
state,0,,99,Uttarakhand,2023,0.191,0.000,0.493,0.217,0.001,0.517,0.017,0.011,0.756,0.044,0.065,0.000,0.010,0.000,0.001,0.057,0.203,0.004,0.048,0.093,0.058
state,1,,99,Uttarakhand,2023,0.164,0.000,0.598,0.636,0.010,0.360,0.002,0.000,0.814,0.019,0.168,0.000,0.009,0.000,0.000,0.159,0.631,0.013,0.160,0.215,0.153
state_sector,0,rural,0,West Bengal,2023,0.022,0.046,0.974,0.485,0.002,0.406,0.065,0.189,0.830,0.021,0.072,0.000,0.001,0.012,0.038,0.027,0.479,0.309,0.121,0.168,0.075
state_sector,1,rural,0,West Bengal,2023,0.019,0.061,0.993,0.590,0.002,0.201,0.105,0.271,0.864,0.024,0.047,0.000,0.001,0.002,0.027,0.019,0.581,0.353,0.166,0.202,0.107
state_sector,0,urban,1,West Bengal,2023,0.002,0.007,0.632,0.262,0.000,0.651,0.020,0.075,0.620,0.019,0.030,0.000,0.001,0.005,0.009,0.017,0.255,0.167,0.056,0.073,0.025
state_sector,1,urban,1,West Bengal,2023,0.006,0.020,0.869,0.537,0.000,0.537,0.059,0.200,0.801,0.021,0.050,0.000,0.000,0.002,0.037,0.012,0.529,0.352,0.132,0.162,0.049
state,0,,99,West Bengal,2023,0.016,0.034,0.870,0.417,0.001,0.480,0.052,0.155,0.767,0.020,0.059,0.000,0.001,0.010,0.029,0.024,0.411,0.266,0.101,0.139,0.060
state,1,,99,West Bengal,2023,0.016,0.050,0.961,0.576,0.001,0.289,0.093,0.253,0.848,0.023,0.048,0.000,0.001,0.002,0.029,0.017,0.567,0.353,0.157,0.192,0.092
sector,0,rural,0,India,2022,0.446,0.065,0.547,0.283,0.004,0.243,0.176,0.089,0.282,0.022,0.034,0.001,0.002,0.001,0.006,0.025,0.270,0.045,0.072,0.081,0.038
sector,1,rural,0,India,2022,0.490,0.055,0.575,0.391,0.004,0.148,0.110,0.110,0.246,0.015,0.032,0.000,0.001,0.001,0.006,0.025,0.374,0.045,0.088,0.095,0.037
sector,0,urban,1,India,2022,0.310,0.028,0.304,0.126,0.003,0.252,0.178,0.049,0.174,0.015,0.020,0.001,0.001,0.001,0.003,0.015,0.117,0.026,0.033,0.031,0.013
sector,1,urban,1,India,2022,0.412,0.028,0.435,0.307,0.002,0.262,0.111,0.090,0.220,0.022,0.019,0.000,0.001,0.002,0.002,0.014,0.296,0.043,0.058,0.057,0.023
india_all,0,,99,India,2022,0.403,0.054,0.469,0.233,0.004,0.246,0.176,0.076,0.247,0.020,0.029,0.001,0.001,0.001,0.005,0.022,0.221,0.039,0.060,0.065,0.030
india_all,1,,99,India,2022,0.477,0.050,0.551,0.377,0.003,0.167,0.110,0.107,0.241,0.016,0.029,0.000,0.001,0.001,0.005,0.023,0.361,0.044,0.083,0.089,0.035
state_sector,0,rural,0,Andaman and Nicobar Islands,2022,0.806,0.000,0.004,0.357,0.000,0.108,0.000,0.086,0.004,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.357,0.004,0.000,0.000,0.000
state_sector,1,rural,0,Andaman and Nicobar Islands,2022,0.487,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
state_sector,0,urban,1,Andaman and Nicobar Islands,2022,0.529,0.000,0.000,0.099,0.000,0.156,0.010,0.024,0.005,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.099,0.005,0.000,0.000,0.000
state_sector,1,urban,1,Andaman and Nicobar Islands,2022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
state,0,,99,Andaman and Nicobar Islands,2022,0.697,0.000,0.002,0.255,0.000,0.127,0.004,0.062,0.004,0.002,0.002,0.000,0.000,0.000,0.000,0.002,0.255,0.004,0.000,0.000,0.000
state,1,,99,Andaman and Nicobar Islands,2022,0.274,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
state_sector,0,rural,0,Andhra Pradesh,2022,0.863,0.000,0.549,0.269,0.005,0.424,0.195,0.134,0.708,0.041,0.072,0.000,0.007,0.000,0.000,0.068,0.261,0.073,0.256,0.134,0.129
state_sector,1,rural,0,Andhra Pradesh,2022,0.933,0.000,0.569,0.419,0.007,0.414,0.354,0.152,0.531,0.031,0.098,0.000,0.010,0.000,0.000,0.092,0.402,0.061,0.406,0.225,0.222
state_sector,0,urban,1,Andhra Pradesh,2022,0.671,0.000,0.420,0.130,0.001,0.531,0.039,0.157,0.573,0.040,0.036,0.000,0.004,0.000,0.000,0.035,0.123,0.039,0.117,0.056,0.055
state_sector,1,urban,1,Andhra Pradesh,2022,0.855,0.000,0.694,0.340,0.014,0.718,0.047,0.230,0.516,0.054,0.077,0.000,0.018,0.000,0.000,0.073,0.327,0.021,0.327,0.220,0.186
state,0,,99,Andhra Pradesh,2022,0.802,0.000,0.508,0.225,0.004,0.458,0.145,0.141,0.665,0.041,0.061,0.000,0.006,0.000,0.000,0.058,0.217,0.062,0.212,0.110,0.106
state,1,,99,Andhra Pradesh,2022,0.913,0.000,0.601,0.399,0.009,0.492,0.275,0.172,0.527,0.037,0.093,0.000,0.012,0.000,0.000,0.087,0.383,0.050,0.385,0.223,0.212
state_sector,0,rural,0,Arunachal Pradesh,2022,0.655,0.017,0.124,0.355,0.000,0.169,0.021,0.070,0.080,0.020,0.004,0.000,0.000,0.000,0.000,0.004,0.353,0.001,0.003,0.002,0.000
state_sector,1,rural,0,Arunachal Pradesh,2022,0.392,0.000,0.362,0.496,0.000,0.014,0.029,0.102,0.037,0.002,0.003,0.000,0.000,0.000,0.000,0.003,0.496,0.011,0.015,0.000,0.000
state_sector,0,urban,1,Arunachal Pradesh,2022,0.369,0.003,0.082,0.249,0.000,0.031,0.004,0.015,0.011,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.245,0.002,0.000,0.005,0.000
state_sector,1,urban,1,Arunachal Pradesh,2022,0.414,0.000,0.258,0.441,0.000,0.008,0.000,0.050,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.441,0.000,0.000,0.000,0.000
state,0,,99,Arunachal Pradesh,2022,0.591,0.014,0.115,0.331,0.000,0.138,0.017,0.057,0.065,0.017,0.003,0.000,0.000,0.000,0.000,0.003,0.329,0.001,0.002,0.003,0.000
state,1,,99,Arunachal Pradesh,2022,0.394,0.000,0.354,0.492,0.000,0.013,0.027,0.098,0.036,0.002,0.003,0.000,0.000,0.000,0.000,0.003,0.492,0.011,0.014,0.000,0.000
state_sector,0,rural,0,Assam,2022,0.052,0.031,0.743,0.493,0.002,0.150,0.016,0.128,0.275,0.007,0.093,0.001,0.000,0.000,0.000,0.092,0.487,0.059,0.104,0.180,0.025
state_sector,1,rural,0,Assam,2022,0.083,0.064,0.814,0.621,0.006,0.068,0.011,0.119,0.219,0.007,0.102,0.000,0.001,0.000,0.002,0.099,0.618,0.101,0.202,0.208,0.078
state_sector,0,urban,1,Assam,2022,0.015,0.011,0.383,0.208,0.002,0.276,0.017,0.047,0.116,0.008,0.029,0.002,0.000,0.000,0.000,0.027,0.205,0.021,0.048,0.045,0.010
state_sector,1,urban,1,Assam,2022,0.054,0.014,0.601,0.476,0.001,0.257,0.011,0.126,0.129,0.009,0.062,0.000,0.000,0.000,0.000,0.062,0.465,0.029,0.064,0.135,0.037
state,0,,99,Assam,2022,0.047,0.028,0.693,0.453,0.002,0.168,0.016,0.116,0.252,0.007,0.084,0.001,0.000,0.000,0.000,0.083,0.447,0.054,0.096,0.161,0.023
state,1,,99,Assam,2022,0.081,0.061,0.804,0.614,0.006,0.077,0.011,0.119,0.215,0.007,0.100,0.000,0.001,0.000,0.002,0.097,0.610,0.098,0.195,0.205,0.076
state_sector,0,rural,0,Bihar,2022,0.408,0.145,0.595,0.082,0.002,0.307,0.042,0.047,0.026,0.003,0.005,0.000,0.000,0.000,0.003,0.002,0.069,0.004,0.002,0.017,0.000
state_sector,1,rural,0,Bihar,2022,0.503,0.089,0.565,0.124,0.003,0.186,0.051,0.038,0.023,0.003,0.003,0.000,0.000,0.000,0.002,0.002,0.106,0.008,0.003,0.031,0.003
state_sector,0,urban,1,Bihar,2022,0.269,0.067,0.318,0.053,0.000,0.486,0.034,0.022,0.042,0.004,0.004,0.000,0.000,0.000,0.004,0.000,0.041,0.003,0.001,0.015,0.000
state_sector,1,urban,1,Bihar,2022,0.390,0.058,0.400,0.130,0.000,0.290,0.126,0.072,0.037,0.005,0.001,0.000,0.000,0.000,0.001,0.000,0.108,0.000,0.000,0.016,0.000
state,0,,99,Bihar,2022,0.395,0.138,0.569,0.080,0.002,0.324,0.042,0.045,0.027,0.003,0.005,0.000,0.000,0.000,0.003,0.002,0.067,0.004,0.002,0.016,0.000
state,1,,99,Bihar,2022,0.497,0.087,0.556,0.125,0.003,0.191,0.055,0.040,0.023,0.003,0.003,0.000,0.000,0.000,0.002,0.002,0.106,0.007,0.003,0.030,0.002
state_sector,0,rural,0,Chandigarh,2022,0.004,0.000,0.000,0.063,0.000,0.097,0.000,0.042,0.049,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.054,0.006,0.000,0.009,0.000
state_sector,1,rural,0,Chandigarh,2022,,,,,,,,,,,,,,,,,,,,,
state_sector,0,urban,1,Chandigarh,2022,0.008,0.000,0.006,0.012,0.000,0.020,0.010,0.011,0.022,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000
state_sector,1,urban,1,Chandigarh,2022,,,,,,,,,,,,,,,,,,,,,
state,0,,99,Chandigarh,2022,0.008,0.000,0.006,0.014,0.000,0.022,0.010,0.012,0.023,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
state,1,,99,Chandigarh,2022,,,,,,,,,,,,,,,,,,,,,
state_sector,0,rural,0,Chhattisgarh,2022,0.925,0.097,0.788,0.297,0.004,0.373,0.045,0.153,0.690,0.081,0.039,0.000,0.000,0.000,0.004,0.035,0.289,0.007,0.010,0.084,0.009
state_sector,1,rural,0,Chhattisgarh,2022,0.922,0.071,0.822,0.419,0.008,0.108,0.077,0.168,0.547,0.033,0.073,0.000,0.000,0.001,0.010,0.066,0.409,0.004,0.004,0.165,0.004
state_sector,0,urban,1,Chhattisgarh,2022,0.692,0.025,0.451,0.134,0.003,0.523,0.037,0.058,0.462,0.028,0.015,0.001,0.001,0.002,0.001,0.011,0.130,0.003,0.003,0.038,0.004
state_sector,1,urban,1,Chhattisgarh,2022,0.874,0.015,0.737,0.403,0.006,0.305,0.031,0.049,0.439,0.007,0.074,0.000,0.000,0.000,0.004,0.070,0.387,0.001,0.004,0.106,0.015
state,0,,99,Chhattisgarh,2022,0.862,0.078,0.697,0.253,0.003,0.414,0.043,0.127,0.628,0.067,0.032,0.000,0.000,0.001,0.003,0.029,0.246,0.006,0.008,0.072,0.007
state,1,,99,Chhattisgarh,2022,0.917,0.065,0.813,0.417,0.008,0.128,0.072,0.155,0.535,0.030,0.073,0.000,0.000,0.001,0.009,0.067,0.407,0.004,0.004,0.158,0.005
state_sector,0,rural,0,Dadra and Nagar Haveli and Daman and Diu,2022,0.206,0.000,0.223,0.246,0.003,0.005,0.000,0.035,0.239,0.017,0.008,0.000,0.000,0.000,0.008,0.000,0.240,0.084,0.066,0.025,0.009
state_sector,1,rural,0,Dadra and Nagar Haveli and Daman and Diu,2022,0.578,0.000,0.372,0.479,0.023,0.011,0.015,0.177,0.199,0.013,0.043,0.000,0.000,0.000,0.043,0.000,0.479,0.160,0.185,0.042,0.000
state_sector,0,urban,1,Dadra and Nagar Haveli and Daman and Diu,2022,0.074,0.000,0.058,0.169,0.000,0.030,0.019,0.007,0.108,0.028,0.041,0.000,0.000,0.000,0.000,0.041,0.165,0.094,0.069,0.025,0.017
state_sector,1,urban,1,Dadra and Nagar Haveli and Daman and Diu,2022,0.000,0.000,0.000,0.468,0.000,0.066,0.000,0.034,0.153,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.468,0.000,0.118,0.000,0.000
state,0,,99,Dadra and Nagar Haveli and Daman and Diu,2022,0.117,0.000,0.113,0.194,0.001,0.022,0.013,0.016,0.151,0.024,0.030,0.000,0.000,0.000,0.003,0.028,0.190,0.091,0.068,0.025,0.014
state,1,,99,Dadra and Nagar Haveli and Daman and Diu,2022,0.441,0.000,0.283,0.477,0.018,0.024,0.011,0.143,0.188,0.010,0.033,0.000,0.000,0.000,0.033,0.000,0.477,0.122,0.169,0.032,0.000
state_sector,0,rural,0,Delhi,2022,0.044,0.000,0.125,0.316,0.000,0.000,0.488,0.025,0.005,0.002,0.094,0.000,0.000,0.000,0.000,0.094,0.250,0.149,0.000,0.002,0.000
state_sector,1,rural,0,Delhi,2022,0.282,0.000,0.030,0.397,0.000,0.000,0.416,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.367,0.149,0.000,0.000,0.000
state_sector,0,urban,1,Delhi,2022,0.052,0.000,0.150,0.172,0.009,0.001,0.409,0.095,0.006,0.002,0.055,0.000,0.001,0.001,0.005,0.048,0.135,0.037,0.008,0.022,0.006
state_sector,1,urban,1,Delhi,2022,0.213,0.000,0.151,0.400,0.000,0.000,0.431,0.157,0.000,0.000,0.018,0.000,0.000,0.018,0.000,0.000,0.400,0.102,0.000,0.024,0.000
state,0,,99,Delhi,2022,0.052,0.000,0.150,0.174,0.009,0.001,0.411,0.094,0.006,0.002,0.055,0.000,0.001,0.001,0.004,0.049,0.137,0.039,0.008,0.022,0.005
state,1,,99,Delhi,2022,0.214,0.000,0.149,0.400,0.000,0.000,0.431,0.155,0.000,0.000,0.018,0.000,0.000,0.018,0.000,0.000,0.400,0.102,0.000,0.024,0.000
state_sector,0,rural,0,Goa,2022,0.750,0.000,0.129,0.269,0.000,0.000,0.003,0.000,0.104,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.257,0.070,0.000,0.001,0.000
state_sector,1,rural,0,Goa,2022,0.264,0.000,0.144,0.505,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.505,0.235,0.000,0.034,0.000
state_sector,0,urban,1,Goa,2022,0.536,0.000,0.130,0.187,0.000,0.000,0.003,0.003,0.149,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.183,0.021,0.003,0.000,0.000
state_sector,1,urban,1,Goa,2022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
state,0,,99,Goa,2022,0.628,0.000,0.130,0.222,0.000,0.000,0.003,0.002,0.130,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.215,0.042,0.002,0.000,0.000
state,1,,99,Goa,2022,0.163,0.000,0.089,0.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.311,0.145,0.000,0.021,0.000
state_sector,0,rural,0,Gujarat,2022,0.636,0.002,0.146,0.405,0.002,0.041,0.006,0.123,0.248,0.015,0.014,0.000,0.003,0.000,0.010,0.002,0.403,0.029,0.014,0.019,0.001
state_sector,1,rural,0,Gujarat,2022,0.728,0.000,0.217,0.555,0.001,0.022,0.010,0.172,0.201,0.022,0.014,0.000,0.001,0.000,0.013,0.002,0.555,0.037,0.022,0.016,0.001
state_sector,0,urban,1,Gujarat,2022,0.184,0.000,0.056,0.120,0.001,0.021,0.010,0.057,0.140,0.019,0.005,0.000,0.001,0.000,0.001,0.002,0.117,0.011,0.012,0.012,0.003
state_sector,1,urban,1,Gujarat,2022,0.541,0.000,0.068,0.341,0.000,0.034,0.010,0.099,0.176,0.033,0.012,0.000,0.000,0.000,0.005,0.007,0.329,0.083,0.012,0.011,0.002
state,0,,99,Gujarat,2022,0.431,0.001,0.105,0.276,0.002,0.032,0.008,0.093,0.200,0.017,0.010,0.000,0.002,0.000,0.006,0.002,0.273,0.021,0.013,0.016,0.002
state,1,,99,Gujarat,2022,0.687,0.000,0.184,0.508,0.001,0.025,0.010,0.156,0.195,0.025,0.013,0.000,0.001,0.000,0.011,0.003,0.505,0.047,0.020,0.015,0.001
