group,year,sector,state,state_sec_quint,state_quint,sec_quint,nat_quint,Quintile_Overall,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear,type,level
state_sector_quint,2011,urban,Andhra Pradesh,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Andhra Pradesh,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Andhra Pradesh,3,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Andhra Pradesh,4,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Andhra Pradesh,5,,,,5,1,1,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Andhra Pradesh,,,,,99,0.61,0.44,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Andhra Pradesh,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Andhra Pradesh,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Andhra Pradesh,3,,,,3,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Andhra Pradesh,4,,,,4,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Andhra Pradesh,5,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Andhra Pradesh,,,,,99,0.83,0.74,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Andhra Pradesh,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Andhra Pradesh,,2,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Andhra Pradesh,,3,,,3,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Andhra Pradesh,,4,,,4,1,1,,,,,,,,,,,,,,,,,,,,,
