poor_420,sector,sectorname,state,year,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear
0,99,All,Tripura,2011,0.93997395,0.90891324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,99,All,Tripura,2011,0.96028668,0.961643543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Rural,Uttar Pradesh,2022,0.312,0,0.621,0.186,0.001,0.224,0.011,0.097,0.055,0.005,0.01,0,0.001,0.003,0,0.006,0.178,0.021,0.11,0.017,0.015
1,0,Rural,Uttar Pradesh,2022,0.311,0.001,0.741,0.297,0.001,0.159,0.015,0.138,0.059,0.002,0.012,0,0,0.003,0,0.009,0.28,0.028,0.162,0.025,0.019
0,1,Urban,Uttar Pradesh,2022,0.215,0,0.354,0.041,0,0.285,0.013,0.041,0.042,0.004,0.004,0,0.001,0.002,0,0.001,0.036,0.007,0.023,0.002,0
1,1,Urban,Uttar Pradesh,2022,0.307,0,0.578,0.123,0.001,0.242,0.01,0.052,0.057,0.004,0.007,0.001,0.001,0.002,0,0.003,0.114,0.01,0.063,0.004,0.003
0,99,All,Uttar Pradesh,2022,0.29,0,0.56,0.153,0.001,0.238,0.012,0.084,0.052,0.005,0.008,0,0.001,0.002,0,0.005,0.146,0.018,0.09,0.014,0.012
1,99,All,Uttar Pradesh,2022,0.31,0.001,0.717,0.271,0.001,0.171,0.015,0.126,0.058,0.002,0.012,0,0,0.003,0,0.009,0.256,0.025,0.147,0.022,0.017
0,1,Urban,Uttar Pradesh,2011,0.19918323,0.870754047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Urban,Uttar Pradesh,2011,0.30707097,0.87537823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,2,FALSE,Uttar Pradesh,2011,0.058354035,0.355096956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,FALSE,Uttar Pradesh,2011,0.30733484,0.679855369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,99,All,Uttar Pradesh,2011,0.15167777,0.69680909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,99,All,Uttar Pradesh,2011,0.30711606,0.841971042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Rural,Uttrakhand,2022,0.341,0,0.377,0.263,0.002,0.499,0.015,0.031,0.438,0.037,0.083,0.001,0.05,0,0.002,0.034,0.237,0.004,0.025,0.128,0.064
1,0,Rural,Uttrakhand,2022,0.409,0,0.434,0.39,0.013,0.41,0.006,0.034,0.402,0.013,0.091,0,0.045,0,0,0.046,0.377,0,0.069,0.159,0.084
0,1,Urban,Uttrakhand,2022,0.235,0,0.121,0.094,0,0.555,0.011,0.012,0.399,0.044,0.016,0.001,0.015,0,0.003,0.001,0.091,0.001,0.007,0.019,0.011
1,1,Urban,Uttrakhand,2022,0.615,0,0.105,0.25,0,0.318,0.03,0,0.249,0.115,0.024,0,0,0,0,0.024,0.23,0,0.008,0.032,0
0,99,All,Uttrakhand,2022,0.318,0,0.321,0.226,0.001,0.511,0.014,0.027,0.429,0.039,0.068,0.001,0.042,0,0.002,0.027,0.205,0.004,0.021,0.104,0.052
1,99,All,Uttrakhand,2022,0.438,0,0.387,0.37,0.011,0.397,0.009,0.03,0.38,0.027,0.082,0,0.038,0,0,0.043,0.357,0,0.06,0.141,0.072
0,1,Urban,Uttrakhand,2011,0.85740876,0.734504583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Urban,Uttrakhand,2011,0.95307726,0.845390962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,2,FALSE,Uttrakhand,2011,0.63210505,0.281385091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,FALSE,Uttrakhand,2011,0.74277586,0.538288368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,99,All,Uttrakhand,2011,0.79307175,0.605113206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,99,All,Uttrakhand,2011,0.90150201,0.770075719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Rural,West Bengal,2022,0.043,0.082,0.955,0.456,0.002,0.254,0.062,0.067,0.77,0.042,0.055,0,0,0.006,0.033,0.019,0.441,0.194,0.146,0.142,0.073
1,0,Rural,West Bengal,2022,0.03,0.085,0.987,0.492,0.004,0.156,0.075,0.116,0.818,0.038,0.052,0,0,0.003,0.028,0.024,0.472,0.184,0.139,0.145,0.084
0,1,Urban,West Bengal,2022,0.033,0.029,0.674,0.302,0.001,0.406,0.025,0.053,0.591,0.034,0.03,0,0.001,0.003,0.018,0.01,0.292,0.119,0.09,0.066,0.018
1,1,Urban,West Bengal,2022,0.043,0.063,0.895,0.496,0.002,0.372,0.044,0.105,0.709,0.066,0.032,0,0.001,0.005,0.01,0.017,0.483,0.166,0.154,0.11,0.043
0,99,All,West Bengal,2022,0.04,0.066,0.874,0.411,0.002,0.298,0.051,0.063,0.718,0.04,0.048,0,0,0.005,0.028,0.016,0.397,0.172,0.13,0.12,0.057
1,99,All,West Bengal,2022,0.033,0.08,0.965,0.493,0.004,0.207,0.068,0.114,0.793,0.045,0.047,0,0,0.003,0.024,0.022,0.474,0.18,0.142,0.136,0.074
0,1,Urban,West Bengal,2011,0.44317645,0.901493555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Urban,West Bengal,2011,0.56037211,0.918540487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,2,FALSE,West Bengal,2011,0.15837429,0.572958733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,FALSE,West Bengal,2011,0.45963421,0.834374521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,99,All,West Bengal,2011,0.32056114,0.760050109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,99,All,West Bengal,2011,0.54261792,0.903706947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
