poor_420,sector,sectorname,state,year,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear
0,1,Urban,Mizoram,2022,0.942,0.047,0.1,0.05,0,0.727,0.007,0.076,0.02,0.006,0.001,0,0,0,0,0.001,0.046,0.004,0.005,0.002,0.002
1,1,Urban,Mizoram,2022,0.958,0.068,0.06,0.125,0,0.872,0,0,0.038,0.038,0.02,0,0,0,0,0.02,0.125,0.011,0.022,0.012,0
0,99,All,Mizoram,2022,0.91,0.065,0.132,0.121,0,0.706,0.007,0.057,0.012,0.004,0.004,0,0,0,0,0.004,0.118,0.019,0.014,0.003,0.001
1,99,All,Mizoram,2022,0.947,0.114,0.103,0.227,0,0.638,0.007,0.004,0.031,0.023,0.004,0,0,0,0,0.004,0.216,0.052,0.059,0.002,0
0,1,Urban,Mizoram,2011,0.98746693,0.471809537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Urban,Mizoram,2011,0.98100072,0.482370756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,2,FALSE,Mizoram,2011,0.94483525,0.416789322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,FALSE,Mizoram,2011,0.96833313,0.37457001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,99,All,Mizoram,2011,0.96290076,0.440104554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,99,All,Mizoram,2011,0.97697836,0.448140763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Rural,Nagaland,2022,0.484,0,0.477,0.196,0,0.08,0.001,0.001,0.3,0.008,0,0,0,0,0,0,0.184,0.015,0.027,0.006,0
1,0,Rural,Nagaland,2022,0.478,0,0.341,0.47,0.001,0.05,0.001,0,0.334,0.013,0.046,0,0,0,0,0.046,0.45,0.042,0.082,0.045,0
0,1,Urban,Nagaland,2022,0.391,0.005,0.415,0.064,0,0.146,0.005,0.005,0.173,0.013,0.003,0,0,0,0,0.003,0.06,0,0.01,0.004,0.002
1,1,Urban,Nagaland,2022,0.356,0,0.242,0.246,0,0.174,0.007,0,0.12,0.017,0.005,0,0,0,0,0.005,0.234,0.005,0,0,0
0,99,All,Nagaland,2022,0.454,0.002,0.457,0.153,0,0.101,0.002,0.002,0.26,0.01,0.001,0,0,0,0,0.001,0.144,0.01,0.022,0.005,0.001
1,99,All,Nagaland,2022,0.469,0,0.333,0.453,0.001,0.059,0.002,0,0.318,0.013,0.043,0,0,0,0,0.043,0.434,0.039,0.076,0.042,0
0,1,Urban,Nagaland,2011,0.17923786,0.077162832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Urban,Nagaland,2011,0.15748121,0.072199664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,2,FALSE,Nagaland,2011,0.039725851,0.000618856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,FALSE,Nagaland,2011,0.19044155,0.065213267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,99,All,Nagaland,2011,0.12460599,0.047188779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,99,All,Nagaland,2011,0.16833816,0.069898383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Rural,Odisha,2022,0.529,0.083,0.415,0.385,0.005,0.259,0.025,0.054,0.591,0.024,0.062,0,0,0,0.025,0.039,0.366,0.007,0.007,0.244,0.234
1,0,Rural,Odisha,2022,0.743,0.076,0.361,0.522,0.008,0.077,0.025,0.044,0.629,0.016,0.042,0,0,0.001,0.012,0.029,0.498,0.007,0.018,0.2,0.183
