,real_wage_23,nat_quint,year,level,area,dem,quint_label,SourceSheet,Year,sector,sec_quint,statename,state_quint,state_sec_quint,Group,sex_cat,youth_cat,cws_type,emp_type
45,11636.84,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Gujarat,NA,NA,Total,NA,NA,NA,NA
46,13935.17,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Daman and Diu,NA,NA,Total,NA,NA,NA,NA
47,11377.45,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Maharashtra,NA,NA,Total,NA,NA,NA,NA
48,9947.56,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Andhra Pradesh,NA,NA,Total,NA,NA,NA,NA
49,11394.18,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Karnataka,NA,NA,Total,NA,NA,NA,NA
50,20711.84,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Goa,NA,NA,Total,NA,NA,NA,NA
51,16810.16,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Lakshadweep,NA,NA,Total,NA,NA,NA,NA
52,13491.28,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Kerala,NA,NA,Total,NA,NA,NA,NA
53,10965.71,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Tamil Nadu,NA,NA,Total,NA,NA,NA,NA
54,15782.82,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Puducherry,NA,NA,Total,NA,NA,NA,NA
55,16224.38,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Andaman and Nicobar Islands,NA,NA,Total,NA,NA,NA,NA
56,12163.86,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Telangana,NA,NA,Total,NA,NA,NA,NA
57,5452.03,NA,2017,State,All,All,1,state_quint,2017,99,NA,Jammu and Kashmir,1,NA,Total,NA,NA,NA,NA
58,10312.79,NA,2017,State,All,All,2,state_quint,2017,99,NA,Jammu and Kashmir,2,NA,Total,NA,NA,NA,NA
59,14696.27,NA,2017,State,All,All,3,state_quint,2017,99,NA,Jammu and Kashmir,3,NA,Total,NA,NA,NA,NA
60,19714.77,NA,2017,State,All,All,4,state_quint,2017,99,NA,Jammu and Kashmir,4,NA,Total,NA,NA,NA,NA
61,38490.11,NA,2017,State,All,All,5,state_quint,2017,99,NA,Jammu and Kashmir,5,NA,Total,NA,NA,NA,NA
62,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Jammu and Kashmir,NA,NA,Total,NA,NA,NA,NA
63,2213.39,NA,2017,State,All,All,1,state_quint,2017,99,NA,Himachal Pradesh,1,NA,Total,NA,NA,NA,NA
64,6037.28,NA,2017,State,All,All,2,state_quint,2017,99,NA,Himachal Pradesh,2,NA,Total,NA,NA,NA,NA
65,10060.85,NA,2017,State,All,All,3,state_quint,2017,99,NA,Himachal Pradesh,3,NA,Total,NA,NA,NA,NA
66,14682.76,NA,2017,State,All,All,4,state_quint,2017,99,NA,Himachal Pradesh,4,NA,Total,NA,NA,NA,NA
67,33728.2,NA,2017,State,All,All,5,state_quint,2017,99,NA,Himachal Pradesh,5,NA,Total,NA,NA,NA,NA
68,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Himachal Pradesh,NA,NA,Total,NA,NA,NA,NA
69,5594.13,NA,2017,State,All,All,1,state_quint,2017,99,NA,Punjab,1,NA,Total,NA,NA,NA,NA
70,10317.88,NA,2017,State,All,All,2,state_quint,2017,99,NA,Punjab,2,NA,Total,NA,NA,NA,NA
71,13757.17,NA,2017,State,All,All,3,state_quint,2017,99,NA,Punjab,3,NA,Total,NA,NA,NA,NA
72,19849.51,NA,2017,State,All,All,4,state_quint,2017,99,NA,Punjab,4,NA,Total,NA,NA,NA,NA
73,41544.42,NA,2017,State,All,All,5,state_quint,2017,99,NA,Punjab,5,NA,Total,NA,NA,NA,NA
74,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Punjab,NA,NA,Total,NA,NA,NA,NA
75,7094.55,NA,2017,State,All,All,1,state_quint,2017,99,NA,Chandigarh,1,NA,Total,NA,NA,NA,NA
76,12060.73,NA,2017,State,All,All,2,state_quint,2017,99,NA,Chandigarh,2,NA,Total,NA,NA,NA,NA
77,20711.84,NA,2017,State,All,All,3,state_quint,2017,99,NA,Chandigarh,3,NA,Total,NA,NA,NA,NA
78,31996.94,NA,2017,State,All,All,4,state_quint,2017,99,NA,Chandigarh,4,NA,Total,NA,NA,NA,NA
79,65560.32,NA,2017,State,All,All,5,state_quint,2017,99,NA,Chandigarh,5,NA,Total,NA,NA,NA,NA
80,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Chandigarh,NA,NA,Total,NA,NA,NA,NA
81,5706.99,NA,2017,State,All,All,1,state_quint,2017,99,NA,Uttarakhand,1,NA,Total,NA,NA,NA,NA
82,10086.49,NA,2017,State,All,All,2,state_quint,2017,99,NA,Uttarakhand,2,NA,Total,NA,NA,NA,NA
83,14267.46,NA,2017,State,All,All,3,state_quint,2017,99,NA,Uttarakhand,3,NA,Total,NA,NA,NA,NA
84,20396.54,NA,2017,State,All,All,4,state_quint,2017,99,NA,Uttarakhand,4,NA,Total,NA,NA,NA,NA
85,35858.68,NA,2017,State,All,All,5,state_quint,2017,99,NA,Uttarakhand,5,NA,Total,NA,NA,NA,NA
86,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Uttarakhand,NA,NA,Total,NA,NA,NA,NA
87,6622.78,NA,2017,State,All,All,1,state_quint,2017,99,NA,Haryana,1,NA,Total,NA,NA,NA,NA
88,11285.82,NA,2017,State,All,All,2,state_quint,2017,99,NA,Haryana,2,NA,Total,NA,NA,NA,NA
89,15121.85,NA,2017,State,All,All,3,state_quint,2017,99,NA,Haryana,3,NA,Total,NA,NA,NA,NA
90,20895.03,NA,2017,State,All,All,4,state_quint,2017,99,NA,Haryana,4,NA,Total,NA,NA,NA,NA
91,39759.68,NA,2017,State,All,All,5,state_quint,2017,99,NA,Haryana,5,NA,Total,NA,NA,NA,NA
92,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Haryana,NA,NA,Total,NA,NA,NA,NA
93,9378.57,NA,2017,State,All,All,1,state_quint,2017,99,NA,Delhi,1,NA,Total,NA,NA,NA,NA
94,13476.02,NA,2017,State,All,All,2,state_quint,2017,99,NA,Delhi,2,NA,Total,NA,NA,NA,NA
95,18977,NA,2017,State,All,All,3,state_quint,2017,99,NA,Delhi,3,NA,Total,NA,NA,NA,NA
96,24292.23,NA,2017,State,All,All,4,state_quint,2017,99,NA,Delhi,4,NA,Total,NA,NA,NA,NA
97,60378.25,NA,2017,State,All,All,5,state_quint,2017,99,NA,Delhi,5,NA,Total,NA,NA,NA,NA
98,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Delhi,NA,NA,Total,NA,NA,NA,NA
99,5404.25,NA,2017,State,All,All,1,state_quint,2017,99,NA,Rajasthan,1,NA,Total,NA,NA,NA,NA
100,8236.26,NA,2017,State,All,All,2,state_quint,2017,99,NA,Rajasthan,2,NA,Total,NA,NA,NA,NA
101,10988.91,NA,2017,State,All,All,3,state_quint,2017,99,NA,Rajasthan,3,NA,Total,NA,NA,NA,NA
102,13936.6,NA,2017,State,All,All,4,state_quint,2017,99,NA,Rajasthan,4,NA,Total,NA,NA,NA,NA
103,26952.04,NA,2017,State,All,All,5,state_quint,2017,99,NA,Rajasthan,5,NA,Total,NA,NA,NA,NA
104,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Rajasthan,NA,NA,Total,NA,NA,NA,NA
105,3600.63,NA,2017,State,All,All,1,state_quint,2017,99,NA,Uttar Pradesh,1,NA,Total,NA,NA,NA,NA
106,6852.81,NA,2017,State,All,All,2,state_quint,2017,99,NA,Uttar Pradesh,2,NA,Total,NA,NA,NA,NA
107,9323.26,NA,2017,State,All,All,3,state_quint,2017,99,NA,Uttar Pradesh,3,NA,Total,NA,NA,NA,NA
108,12335.05,NA,2017,State,All,All,4,state_quint,2017,99,NA,Uttar Pradesh,4,NA,Total,NA,NA,NA,NA
109,21515.21,NA,2017,State,All,All,5,state_quint,2017,99,NA,Uttar Pradesh,5,NA,Total,NA,NA,NA,NA
110,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Uttar Pradesh,NA,NA,Total,NA,NA,NA,NA
111,6471.18,NA,2017,State,All,All,1,state_quint,2017,99,NA,Bihar,1,NA,Total,NA,NA,NA,NA
112,8666.76,NA,2017,State,All,All,2,state_quint,2017,99,NA,Bihar,2,NA,Total,NA,NA,NA,NA
113,10793.03,NA,2017,State,All,All,3,state_quint,2017,99,NA,Bihar,3,NA,Total,NA,NA,NA,NA
114,13481.63,NA,2017,State,All,All,4,state_quint,2017,99,NA,Bihar,4,NA,Total,NA,NA,NA,NA
115,20486.22,NA,2017,State,All,All,5,state_quint,2017,99,NA,Bihar,5,NA,Total,NA,NA,NA,NA
116,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Bihar,NA,NA,Total,NA,NA,NA,NA
117,6441.33,NA,2017,State,All,All,1,state_quint,2017,99,NA,Sikkim,1,NA,Total,NA,NA,NA,NA
118,9661.99,NA,2017,State,All,All,2,state_quint,2017,99,NA,Sikkim,2,NA,Total,NA,NA,NA,NA
119,12582.54,NA,2017,State,All,All,3,state_quint,2017,99,NA,Sikkim,3,NA,Total,NA,NA,NA,NA
120,16713.18,NA,2017,State,All,All,4,state_quint,2017,99,NA,Sikkim,4,NA,Total,NA,NA,NA,NA
121,32899.32,NA,2017,State,All,All,5,state_quint,2017,99,NA,Sikkim,5,NA,Total,NA,NA,NA,NA
122,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Sikkim,NA,NA,Total,NA,NA,NA,NA
123,5809.11,NA,2017,State,All,All,1,state_quint,2017,99,NA,Arunachal Pradesh,1,NA,Total,NA,NA,NA,NA
124,10194.63,NA,2017,State,All,All,2,state_quint,2017,99,NA,Arunachal Pradesh,2,NA,Total,NA,NA,NA,NA
125,15929.11,NA,2017,State,All,All,3,state_quint,2017,99,NA,Arunachal Pradesh,3,NA,Total,NA,NA,NA,NA
126,26658.16,NA,2017,State,All,All,4,state_quint,2017,99,NA,Arunachal Pradesh,4,NA,Total,NA,NA,NA,NA
127,42082.67,NA,2017,State,All,All,5,state_quint,2017,99,NA,Arunachal Pradesh,5,NA,Total,NA,NA,NA,NA
128,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Arunachal Pradesh,NA,NA,Total,NA,NA,NA,NA
129,6328.85,NA,2017,State,All,All,1,state_quint,2017,99,NA,Nagaland,1,NA,Total,NA,NA,NA,NA
130,10018.51,NA,2017,State,All,All,2,state_quint,2017,99,NA,Nagaland,2,NA,Total,NA,NA,NA,NA
131,13300.86,NA,2017,State,All,All,3,state_quint,2017,99,NA,Nagaland,3,NA,Total,NA,NA,NA,NA
132,22066.42,NA,2017,State,All,All,4,state_quint,2017,99,NA,Nagaland,4,NA,Total,NA,NA,NA,NA
133,37370.76,NA,2017,State,All,All,5,state_quint,2017,99,NA,Nagaland,5,NA,Total,NA,NA,NA,NA
134,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Nagaland,NA,NA,Total,NA,NA,NA,NA
135,5628.16,NA,2017,State,All,All,1,state_quint,2017,99,NA,Manipur,1,NA,Total,NA,NA,NA,NA
136,9138.09,NA,2017,State,All,All,2,state_quint,2017,99,NA,Manipur,2,NA,Total,NA,NA,NA,NA
137,11993.75,NA,2017,State,All,All,3,state_quint,2017,99,NA,Manipur,3,NA,Total,NA,NA,NA,NA
138,17322.9,NA,2017,State,All,All,4,state_quint,2017,99,NA,Manipur,4,NA,Total,NA,NA,NA,NA
139,33363.03,NA,2017,State,All,All,5,state_quint,2017,99,NA,Manipur,5,NA,Total,NA,NA,NA,NA
140,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Manipur,NA,NA,Total,NA,NA,NA,NA
141,7319.06,NA,2017,State,All,All,1,state_quint,2017,99,NA,Mizoram,1,NA,Total,NA,NA,NA,NA
142,11185.35,NA,2017,State,All,All,2,state_quint,2017,99,NA,Mizoram,2,NA,Total,NA,NA,NA,NA
143,14546.05,NA,2017,State,All,All,3,state_quint,2017,99,NA,Mizoram,3,NA,Total,NA,NA,NA,NA
144,21991.97,NA,2017,State,All,All,4,state_quint,2017,99,NA,Mizoram,4,NA,Total,NA,NA,NA,NA
145,43914.35,NA,2017,State,All,All,5,state_quint,2017,99,NA,Mizoram,5,NA,Total,NA,NA,NA,NA
146,NA,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Mizoram,NA,NA,Total,NA,NA,NA,NA
147,4986.06,NA,2017,State,All,All,1,state_quint,2017,99,NA,Tripura,1,NA,Total,NA,NA,NA,NA
148,7788.15,NA,2017,State,All,All,2,state_quint,2017,99,NA,Tripura,2,NA,Total,NA,NA,NA,NA
149,10463.47,NA,2017,State,All,All,3,state_quint,2017,99,NA,Tripura,3,NA,Total,NA,NA,NA,NA
150,13407.67,NA,2017,State,All,All,4,state_quint,2017,99,NA,Tripura,4,NA,Total,NA,NA,NA,NA
151,26489.02,NA,2017,State,All,All,5,state_quint,2017,99,NA,Tripura,5,NA,Total,NA,NA,NA,NA
