,urban,sector,sector_type,year,state,dem,working_age,age_cohort,edu_cat_1,edu_cat_2,edu_cat_3,edu_cat_4,edu_cat_female_1,edu_cat_female_2,edu_cat_female_3,edu_cat_female_4,edu_cat_male_1,edu_cat_male_2,edu_cat_male_3,edu_cat_male_4,vocat1,vocat1_female,vocat1_male
3745,1,1,Urban,2019,Sikkim,Age,NA,30 to 44,0.198665082,0.314623445,0.218133718,0.268577754,0.08017233,0.152301505,0.094461866,0.126403779,0.118492745,0.16232194,0.12367186,0.142173976,0.040205203,0.016722666,0.023482537
3746,1,1,Urban,2019,Sikkim,Age,NA,45 to 64,0.257735193,0.274931222,0.302055627,0.165277973,0.183314875,0.119081505,0.083106317,0.066765949,0.074420303,0.15584971,0.218949318,0.098512024,0.017523021,0,0.017523021
3747,1,1,Urban,2019,Sikkim,Age,NA,65 and above,0.463407725,0.205122307,0.249425575,0.082044385,0.247068629,0.036456194,0.126675934,0.045481421,0.216339111,0.168666124,0.122749642,0.036562964,0,0,0
3748,1,1,Urban,2019,Sikkim,Age,NA,NA,0.700178206,0.299821824,0,0,0.266465545,0.139359698,0,0,0.433712631,0.160462126,0,0,0,0,0
4218,.,99,All,2019,Sikkim,All,NA,NA,0.391510814,0.308163375,0.199640885,0.100684918,0.180095986,0.133227199,0.093952149,0.049680907,0.211414829,0.174936175,0.105688736,0.051004015,0.014001806,0.002865557,0.01113625
4263,0,0,Rural,2019,Sikkim,All,NA,NA,0.437254339,0.309355468,0.183119029,0.070271172,0.202677473,0.133935064,0.085063428,0.034921691,0.234576851,0.175420403,0.098055601,0.035349477,0.011764338,0.002131552,0.009632786
4264,1,1,Urban,2019,Sikkim,All,NA,NA,0.2560561,0.304633379,0.248565063,0.190745473,0.113228172,0.131131098,0.120273232,0.093385577,0.142827928,0.173502266,0.12829183,0.097359896,0.020627351,0.005039078,0.015588273
4378,.,99,All,2018,Sikkim,Age,NA,15 to 29,0.032711316,0.494041443,0.400024951,0.073222272,0.014472963,0.22327514,0.183256313,0.032716203,0.018046485,0.267834753,0.214377135,0.040074285,0.019299192,0.004425833,0.014873359
4379,.,99,All,2018,Sikkim,Age,NA,30 to 44,0.162578255,0.497363657,0.189339027,0.150719047,0.106931821,0.230456218,0.073067494,0.069121249,0.054819316,0.265124857,0.115706347,0.081063144,0.040246677,0.015669035,0.02457764
4380,.,99,All,2018,Sikkim,Age,NA,45 to 64,0.500450194,0.323020965,0.126830891,0.049697965,0.295006067,0.120926335,0.03861155,0.009770178,0.204132289,0.201247916,0.087886877,0.039797515,0.022008669,0.003990184,0.018018484
4381,.,99,All,2018,Sikkim,Age,NA,65 and above,0.788160801,0.16607891,0.026191644,0.019568652,0.335638195,0.011106047,0.01296005,0.008399272,0.452522576,0.154972866,0.013231594,0.011169381,0,0,0
4382,.,99,All,2018,Sikkim,Age,NA,NA,0.64096427,0.358742863,0.000292856,0,0.349030197,0.183113798,0,0,0.289887756,0.17452544,0.000292465,0,0,0,0
4603,0,0,Rural,2018,Sikkim,Age,NA,15 to 29,0.040663019,0.538775265,0.381491035,0.039070658,0.018843278,0.258420736,0.16725035,0.014514606,0.021729114,0.279173374,0.213369101,0.024460938,0.015043055,0.003770925,0.01127213
4604,0,0,Rural,2018,Sikkim,Age,NA,30 to 44,0.186997697,0.503658116,0.183507621,0.125836566,0.125353485,0.232664898,0.064584307,0.067259952,0.060952451,0.269709259,0.1185669,0.058205441,0.029370364,0.015538661,0.013831704
4605,0,0,Rural,2018,Sikkim,Age,NA,45 to 64,0.579812765,0.315495819,0.097600944,0.007090433,0.345414639,0.113125138,0.023694288,0,0.232350439,0.201256454,0.073561966,0.007065392,0.002041115,0,0.002041115
4606,0,0,Rural,2018,Sikkim,Age,NA,65 and above,0.818270624,0.177661493,0.004067872,0,0.325318605,0.011906403,0,0,0.492952019,0.165755093,0.004067872,0,0,0,0
4607,0,0,Rural,2018,Sikkim,Age,NA,NA,0.625366628,0.374243408,0.000389972,0,0.346152991,0.197494447,0,0,0.276530683,0.1751872,0.000389278,0,0,0,0
4608,1,1,Urban,2018,Sikkim,Age,NA,15 to 29,0.01253961,0.38056165,0.447041422,0.159857318,0.003723705,0.136830807,0.222624734,0.077484995,0.008684889,0.23901087,0.216939673,0.07976491,0.029789923,0.00604008,0.023749843
4609,1,1,Urban,2018,Sikkim,Age,NA,30 to 44,0.093343742,0.479517519,0.205872357,0.221266389,0.055140186,0.224246651,0.09691757,0.074354209,0.037430521,0.252127051,0.107596055,0.145869792,0.070824899,0.016035577,0.05478932
4610,1,1,Urban,2018,Sikkim,Age,NA,45 to 64,0.272761077,0.344610423,0.210690737,0.171937764,0.14987281,0.143387079,0.081560433,0.037899889,0.122888274,0.201223329,0.129130304,0.134037882,0.079701081,0.015519055,0.064182021
4611,1,1,Urban,2018,Sikkim,Age,NA,65 and above,0.666384757,0.119234376,0.115668878,0.098711975,0.377374679,0.007869088,0.065375589,0.042369228,0.289010108,0.111365288,0.050293289,0.056342747,0,0,0
4612,1,1,Urban,2018,Sikkim,Age,NA,NA,0.687999964,0.312000036,0,0,0.357761502,0.139473781,0,0,0.330238432,0.172526255,0,0,0,0,0
5082,.,99,All,2018,Sikkim,All,NA,NA,0.306498289,0.422707349,0.196028933,0.074765436,0.170404002,0.189258337,0.082558542,0.031712968,0.134779811,0.231864601,0.112761632,0.042781029,0.021222066,0.006531196,0.014690871
5127,0,0,Rural,2018,Sikkim,All,NA,NA,0.334141523,0.437611252,0.179551452,0.048695758,0.188128829,0.200116962,0.070472024,0.023551384,0.145028308,0.236289725,0.108606495,0.025007987,0.013117272,0.00555256,0.007564713
5128,1,1,Urban,2018,Sikkim,All,NA,NA,0.228454471,0.380629867,0.242548972,0.14836669,0.120883495,0.158920959,0.116326481,0.054515224,0.105801024,0.219352037,0.12451078,0.093036339,0.043900616,0.009269581,0.034631036
5242,.,99,All,2017,Sikkim,Age,NA,15 to 29,0.011060808,0.442275196,0.379938096,0.166725889,0.001427299,0.192284316,0.195342019,0.074364088,0.009633509,0.249990895,0.184596077,0.092361808,0.027902624,0.00839367,0.019508954
5243,.,99,All,2017,Sikkim,Age,NA,30 to 44,0.143164411,0.495595485,0.236021325,0.125218779,0.095591277,0.230362728,0.102149501,0.054322865,0.047573131,0.265232742,0.133871824,0.070895925,0.041094165,0.026955564,0.014138602
5244,.,99,All,2017,Sikkim,Age,NA,45 to 64,0.4356049,0.39194563,0.140134349,0.032315109,0.270982742,0.152229458,0.04699238,0.00565491,0.164622173,0.239716172,0.093141966,0.0266602,0.05131999,0.013354349,0.037965644
5245,.,99,All,2017,Sikkim,Age,NA,65 and above,0.705036879,0.230424076,0.054770961,0.00976811,0.354387492,0.069838084,0.00887421,0.00143564,0.350649357,0.160585985,0.04589675,0.00833247,0,0,0
5246,.,99,All,2017,Sikkim,Age,NA,NA,0.647323132,0.348833829,0.003843034,0,0.332290083,0.203248054,0.003843034,0,0.315033048,0.14558576,0,0,0,0,0
5467,0,0,Rural,2017,Sikkim,Age,NA,15 to 29,0.000820576,0.521574855,0.355799794,0.121804781,0.000820576,0.233021408,0.185300782,0.049302034,0,0.288553417,0.170499027,0.072502747,0.028150566,0.009173414,0.018977152
5468,0,0,Rural,2017,Sikkim,Age,NA,30 to 44,0.146165937,0.528412402,0.235847816,0.08957386,0.098644979,0.256711155,0.092871226,0.040230397,0.047520947,0.271701247,0.142976597,0.049343459,0.042028964,0.033471547,0.008557417
5469,0,0,Rural,2017,Sikkim,Age,NA,45 to 64,0.49157989,0.363826692,0.126537561,0.018055845,0.298160344,0.150107414,0.035359107,0.003726232,0.193419561,0.213719279,0.091178462,0.014329613,0.038108751,0.015124897,0.022983856
5470,0,0,Rural,2017,Sikkim,Age,NA,65 and above,0.738495708,0.204351127,0.057153173,0,0.365744144,0.057610765,0.010513869,0,0.372751564,0.146740362,0.046639305,0,0,0,0
5471,0,0,Rural,2017,Sikkim,Age,NA,NA,0.648226976,0.346824288,0.004948725,0,0.337675124,0.210508436,0.004948725,0,0.310551852,0.136315838,0,0,0,0,0
5472,1,1,Urban,2017,Sikkim,Age,NA,15 to 29,0.030602045,0.290949225,0.426000744,0.252447993,0.002585097,0.114546493,0.214503527,0.122189522,0.028016949,0.176402733,0.211497217,0.130258471,0.027429482,0.006905698,0.020523783
5473,1,1,Urban,2017,Sikkim,Age,NA,30 to 44,0.135057598,0.406960338,0.236489967,0.221492112,0.087343529,0.159198299,0.127209187,0.09238518,0.047714066,0.247762024,0.10928078,0.129106924,0.038569368,0.009356555,0.029212814
5474,1,1,Urban,2017,Sikkim,Age,NA,45 to 64,0.254102588,0.483123034,0.184222743,0.078551657,0.182857692,0.159110337,0.084713981,0.011908766,0.071244888,0.324012697,0.099508755,0.066642888,0.094158247,0.007613241,0.086545013
5475,1,1,Urban,2017,Sikkim,Age,NA,65 and above,0.523949981,0.371536791,0.041877873,0.062635347,0.292922735,0.136015132,0,0.009205651,0.23102726,0.235521659,0.041877873,0.053429693,0,0,0
5476,1,1,Urban,2017,Sikkim,Age,NA,NA,0.644181669,0.355818331,0,0,0.31357336,0.17801325,0,0,0.330608308,0.177805081,0,0,0,0,0
