,X,real_wage_23,nat_quint,year,level,area,dem,quint_label,SourceSheet,Year,urban,sec_quint,statename,state_quint,state_sec_quint,Group,sex_cat,youth_cat,cws_type,emp_type
41,41,8003.10791,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Jharkhand,NA,NA,Total,NA,NA,NA,NA
42,42,7346.581055,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Odisha,NA,NA,Total,NA,NA,NA,NA
43,43,6716.79248,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Chhattisgarh,NA,NA,Total,NA,NA,NA,NA
44,44,8395.243164,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Madhya Pradesh,NA,NA,Total,NA,NA,NA,NA
45,45,11636.84277,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Gujarat,NA,NA,Total,NA,NA,NA,NA
46,46,13935.17188,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Daman & Diu,NA,NA,Total,NA,NA,NA,NA
47,47,11377.4502,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Maharashtra,NA,NA,Total,NA,NA,NA,NA
48,48,9947.564453,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Andhra Pradesh,NA,NA,Total,NA,NA,NA,NA
49,49,11394.18359,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Karnataka,NA,NA,Total,NA,NA,NA,NA
50,50,20711.84375,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Goa,NA,NA,Total,NA,NA,NA,NA
51,51,16810.15625,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Lakshadweep,NA,NA,Total,NA,NA,NA,NA
52,52,13491.28125,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Kerala,NA,NA,Total,NA,NA,NA,NA
53,53,10965.71289,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Tamil Nadu,NA,NA,Total,NA,NA,NA,NA
54,54,15782.82129,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Puducherry,NA,NA,Total,NA,NA,NA,NA
55,55,16224.37891,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,A & N Island,NA,NA,Total,NA,NA,NA,NA
56,56,12163.85938,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Telangana,NA,NA,Total,NA,NA,NA,NA
57,57,5452.031738,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Jammu & Kashmir,1,NA,Total,NA,NA,NA,NA
58,58,10312.79004,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Jammu & Kashmir,2,NA,Total,NA,NA,NA,NA
59,59,14696.26855,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Jammu & Kashmir,3,NA,Total,NA,NA,NA,NA
60,60,19714.77148,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Jammu & Kashmir,4,NA,Total,NA,NA,NA,NA
61,61,38490.10547,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Jammu & Kashmir,5,NA,Total,NA,NA,NA,NA
62,62,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Jammu & Kashmir,NA,NA,Total,NA,NA,NA,NA
63,63,2213.38623,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Himachal Pradesh,1,NA,Total,NA,NA,NA,NA
64,64,6037.282715,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Himachal Pradesh,2,NA,Total,NA,NA,NA,NA
65,65,10060.84668,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Himachal Pradesh,3,NA,Total,NA,NA,NA,NA
66,66,14682.75684,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Himachal Pradesh,4,NA,Total,NA,NA,NA,NA
67,67,33728.20313,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Himachal Pradesh,5,NA,Total,NA,NA,NA,NA
68,68,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Himachal Pradesh,NA,NA,Total,NA,NA,NA,NA
69,69,5594.128418,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Punjab,1,NA,Total,NA,NA,NA,NA
70,70,10317.87598,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Punjab,2,NA,Total,NA,NA,NA,NA
71,71,13757.16797,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Punjab,3,NA,Total,NA,NA,NA,NA
72,72,19849.51172,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Punjab,4,NA,Total,NA,NA,NA,NA
73,73,41544.42188,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Punjab,5,NA,Total,NA,NA,NA,NA
74,74,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Punjab,NA,NA,Total,NA,NA,NA,NA
75,75,7094.547852,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Chandigarh,1,NA,Total,NA,NA,NA,NA
76,76,12060.73145,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Chandigarh,2,NA,Total,NA,NA,NA,NA
77,77,20711.84375,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Chandigarh,3,NA,Total,NA,NA,NA,NA
78,78,31996.94141,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Chandigarh,4,NA,Total,NA,NA,NA,NA
79,79,65560.32031,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Chandigarh,5,NA,Total,NA,NA,NA,NA
80,80,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Chandigarh,NA,NA,Total,NA,NA,NA,NA
81,81,5706.985352,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Uttrakhand,1,NA,Total,NA,NA,NA,NA
82,82,10086.48535,NA,2017,State,All,All Households,2,state_quint,2017,99,NA,Uttrakhand,2,NA,Total,NA,NA,NA,NA
83,83,14267.46387,NA,2017,State,All,All Households,3,state_quint,2017,99,NA,Uttrakhand,3,NA,Total,NA,NA,NA,NA
84,84,20396.54492,NA,2017,State,All,All Households,4,state_quint,2017,99,NA,Uttrakhand,4,NA,Total,NA,NA,NA,NA
85,85,35858.67969,NA,2017,State,All,All Households,5,state_quint,2017,99,NA,Uttrakhand,5,NA,Total,NA,NA,NA,NA
86,86,NA,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Uttrakhand,NA,NA,Total,NA,NA,NA,NA
87,87,6622.777344,NA,2017,State,All,All Households,1,state_quint,2017,99,NA,Haryana,1,NA,Total,NA,NA,NA,NA
