"","poor_420","inc_selfemp","inc_salaried","inc_casual","year","level","area","dem","SourceSheet","sector2","state","age_cat1","age_cat2","age_cat3","age_cat4","edu_cat1","edu_cat2","edu_cat3","edu_cat4","edu_cat5","edu_cat6","gender_cat1","gender_cat2","hhsize_cat1","hhsize_cat2","hhsize_cat3","hhsize_cat4","owns_dwelling","owns_land","inc_selfemp_agri","inc_selfemp_nonagri","inc_casual_agri","inc_casual_nonagri","inc_selfemp_urban","inc_casual_urban","inc_others"
"23",1,0.473056763410568,0.0938111618161201,0.371785879135132,2022,"State","All","All Households","state",NA,"Uttar Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",0,0.419753283262253,0.216280460357666,0.329322457313538,2022,"State","All","All Households","state",NA,"Bihar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1,0.37173718214035,0.222938612103462,0.381674617528915,2022,"State","All","All Households","state",NA,"Bihar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",0,0.482270568609238,0.410378396511078,0.0842371359467506,2022,"State","All","All Households","state",NA,"Sikkim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1,0.71300208568573,0.216967836022377,0.070030078291893,2022,"State","All","All Households","state",NA,"Sikkim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",0,0.599472284317017,0.342502981424332,0.0310572814196348,2022,"State","All","All Households","state",NA,"Arunachal Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1,0.794737458229065,0.128712922334671,0.0740767940878868,2022,"State","All","All Households","state",NA,"Arunachal Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",0,0.6081503033638,0.296644866466522,0.0428915098309517,2022,"State","All","All Households","state",NA,"Nagaland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1,0.843117892742157,0.107950754463673,0.0433128103613853,2022,"State","All","All Households","state",NA,"Nagaland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",0,0.535359382629395,0.291609734296799,0.144803568720818,2022,"State","All","All Households","state",NA,"Manipur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1,0.634570062160492,0.163723856210709,0.176091775298119,2022,"State","All","All Households","state",NA,"Manipur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",0,0.477808445692062,0.355873674154282,0.112759113311768,2022,"State","All","All Households","state",NA,"Mizoram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1,0.671205580234528,0.160567805171013,0.0983626842498779,2022,"State","All","All Households","state",NA,"Mizoram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",0,0.495480060577393,0.17442724108696,0.279958963394165,2022,"State","All","All Households","state",NA,"Tripura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1,0.628954648971558,0.0130761712789536,0.339221507310867,2022,"State","All","All Households","state",NA,"Tripura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",0,0.539532363414764,0.267567783594131,0.183030217885971,2022,"State","All","All Households","state",NA,"Meghalaya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1,0.594851434230804,0.0909225791692734,0.304459184408188,2022,"State","All","All Households","state",NA,"Meghalaya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",0,0.452961772680283,0.201290413737297,0.300018280744553,2022,"State","All","All Households","state",NA,"Assam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1,0.422898650169373,0.134608581662178,0.424954444169998,2022,"State","All","All Households","state",NA,"Assam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",0,0.41829788684845,0.224428161978722,0.302606552839279,2022,"State","All","All Households","state",NA,"West Bengal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1,0.349686205387115,0.14164100587368,0.478887498378754,2022,"State","All","All Households","state",NA,"West Bengal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",0,0.437020510435104,0.245369389653206,0.248816698789597,2022,"State","All","All Households","state",NA,"Jharkhand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1,0.469780921936035,0.108381547033787,0.36602121591568,2022,"State","All","All Households","state",NA,"Jharkhand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",0,0.463484823703766,0.196031793951988,0.271886080503464,2022,"State","All","All Households","state",NA,"Odisha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1,0.491309702396393,0.0630571842193604,0.394041746854782,2022,"State","All","All Households","state",NA,"Odisha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",0,0.506963968276978,0.290933072566986,0.165034040808678,2022,"State","All","All Households","state",NA,"Chhattisgarh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
