,m_poor_1_33,g01_edu_1,g01_atten_1,g01_cm_1,g01_nutri_1,g01_elec_1,g01_toilet_1,g01_water_1,g01_house_1,g01_fuel_1,g01_asset_1,round,level,area,dem,SourceSheet,sector,state,StateName,head_age_cat,edu_group,head_gender,hhsize_cat,owns_land
1,0,0.08,0.01,0.01,0.18,0.01,0.23,0.06,0.32,0.33,0.07,5,National,All,All Households,allindia,99,india,India,NA,NA,NA,NA,NA
2,1,0.59,0.17,0.07,0.59,0.14,0.71,0.16,0.84,0.85,0.44,5,National,All,All Households,allindia,99,india,India,NA,NA,NA,NA,NA
3,NA,0.1,0.05,0.01,0.17,0.03,0.25,0.06,0.31,0.3,0.1,5,National,All,All Households,allindia,99,india,India,NA,NA,NA,NA,NA
4,0,0.09,0.01,0.01,0.2,0.02,0.27,0.07,0.42,0.47,0.09,5,National,urban/rural,All Households,indiasector,0,india,India,NA,NA,NA,NA,NA
5,1,0.58,0.16,0.07,0.59,0.14,0.72,0.17,0.86,0.88,0.45,5,National,urban/rural,All Households,indiasector,0,india,India,NA,NA,NA,NA,NA
6,NA,0.16,0.06,0.01,0.2,0.04,0.35,0.09,0.52,0.55,0.15,5,National,urban/rural,All Households,indiasector,0,india,India,NA,NA,NA,NA,NA
7,0,0.06,0.01,0.01,0.16,0,0.17,0.02,0.13,0.08,0.05,5,National,urban/rural,All Households,indiasector,1,india,India,NA,NA,NA,NA,NA
8,1,0.64,0.26,0.11,0.62,0.12,0.61,0.09,0.58,0.54,0.39,5,National,urban/rural,All Households,indiasector,1,india,India,NA,NA,NA,NA,NA
9,NA,0.05,0.03,0.01,0.09,0.01,0.15,0.02,0.1,0.05,0.04,5,National,urban/rural,All Households,indiasector,1,india,India,NA,NA,NA,NA,NA
10,0,0.1,0.01,0,0.19,0.01,0.28,0.04,0.36,0.36,0.07,5,State,All,All Households,state,99,india,India,NA,NA,NA,NA,NA
11,1,0.68,0.17,0.06,0.67,0.12,0.73,0.08,0.86,0.78,0.38,5,State,All,All Households,state,99,india,India,NA,NA,NA,NA,NA
12,NA,0.23,0.06,0.05,0,0.01,0.27,0.1,0.21,0.27,0.2,5,State,All,All Households,state,99,india,India,NA,NA,NA,NA,NA
13,0,0.08,0,0.01,0.11,0.01,0.1,0.04,0.28,0.13,0.07,5,State,All,All Households,state,99,andaman & nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
14,1,0.6,0.05,0.03,0.39,0.35,0.64,0.32,0.85,0.78,0.73,5,State,All,All Households,state,99,andaman & nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
15,NA,0.05,0.02,0,0.07,0,0.07,0.06,0.26,0.13,0.06,5,State,All,All Households,state,99,andaman & nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
16,0,0.19,0.01,0.01,0.14,0,0.19,0.07,0.12,0.12,0.09,5,State,All,All Households,state,99,andhra pradesh,Andhra Pradesh,NA,NA,NA,NA,NA
17,1,0.78,0.06,0.06,0.52,0.07,0.68,0.25,0.52,0.6,0.54,5,State,All,All Households,state,99,andhra pradesh,Andhra Pradesh,NA,NA,NA,NA,NA
18,NA,0.15,0.01,0,0.15,0.01,0.2,0.09,0.12,0.13,0.07,5,State,All,All Households,state,99,andhra pradesh,Andhra Pradesh,NA,NA,NA,NA,NA
19,0,0.1,0.02,0,0.1,0.04,0.14,0.04,0.7,0.4,0.1,5,State,All,All Households,state,99,arunachal pradesh,Arunachal Pradesh,NA,NA,NA,NA,NA
20,1,0.75,0.17,0.04,0.37,0.16,0.4,0.17,0.96,0.86,0.6,5,State,All,All Households,state,99,arunachal pradesh,Arunachal Pradesh,NA,NA,NA,NA,NA
21,NA,0.14,0.01,0,0.07,0.03,0.18,0.06,0.63,0.41,0.12,5,State,All,All Households,state,99,arunachal pradesh,Arunachal Pradesh,NA,NA,NA,NA,NA
22,0,0.05,0.01,0.01,0.17,0.03,0.25,0.11,0.61,0.48,0.09,5,State,All,All Households,state,99,assam,Assam,NA,NA,NA,NA,NA
23,1,0.54,0.13,0.06,0.63,0.22,0.63,0.27,0.96,0.88,0.47,5,State,All,All Households,state,99,assam,Assam,NA,NA,NA,NA,NA
24,NA,0.14,0.04,0.01,0.13,0.07,0.28,0.12,0.58,0.49,0.15,5,State,All,All Households,state,99,assam,Assam,NA,NA,NA,NA,NA
25,0,0.07,0.02,0.01,0.2,0.02,0.37,0.01,0.53,0.48,0.12,5,State,All,All Households,state,99,bihar,Bihar,NA,NA,NA,NA,NA
26,1,0.65,0.2,0.08,0.62,0.09,0.82,0.03,0.91,0.88,0.47,5,State,All,All Households,state,99,bihar,Bihar,NA,NA,NA,NA,NA
27,NA,0.26,0.1,0.02,0.21,0.06,0.49,0.01,0.65,0.59,0.25,5,State,All,All Households,state,99,bihar,Bihar,NA,NA,NA,NA,NA
28,0,0.04,0.01,0,0.15,0,0.17,0.02,0.03,0.03,0.01,5,State,All,All Households,state,99,chandigarh,Chandigarh,NA,NA,NA,NA,NA
29,1,0.57,0.44,0.25,0.64,0,0.69,0.26,0.51,0.41,0.05,5,State,All,All Households,state,99,chandigarh,Chandigarh,NA,NA,NA,NA,NA
30,NA,0.01,0.02,0,0,0.01,0.07,0,0.02,0.02,0.01,5,State,All,All Households,state,99,chandigarh,Chandigarh,NA,NA,NA,NA,NA
31,0,0.08,0.01,0.01,0.22,0,0.17,0.05,0.48,0.59,0.07,5,State,All,All Households,state,99,chhattisgarh,Chhattisgarh,NA,NA,NA,NA,NA
32,1,0.56,0.15,0.07,0.54,0.05,0.6,0.21,0.91,0.95,0.5,5,State,All,All Households,state,99,chhattisgarh,Chhattisgarh,NA,NA,NA,NA,NA
33,NA,0.13,0.06,0.01,0.31,0.02,0.25,0.11,0.6,0.64,0.17,5,State,All,All Households,state,99,chhattisgarh,Chhattisgarh,NA,NA,NA,NA,NA
34,0,0.06,0.01,0.01,0.23,0,0.35,0.04,0.19,0.11,0.17,5,State,All,All Households,state,99,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,NA,NA,NA,NA
35,1,0.5,0.15,0.06,0.73,0.02,0.64,0.15,0.76,0.67,0.49,5,State,All,All Households,state,99,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,NA,NA,NA,NA
36,NA,0.03,0.01,0.01,0,0,0.23,0.13,0.27,0.18,0.1,5,State,All,All Households,state,99,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,NA,NA,NA,NA
37,0,0.03,0,0,0.16,0,0.12,0.02,0.09,0.02,0.02,5,State,All,All Households,state,99,goa,Goa,NA,NA,NA,NA,NA
38,1,0.55,0.08,0.07,0.76,0,0.65,0.08,0.45,0.63,0.35,5,State,All,All Households,state,99,goa,Goa,NA,NA,NA,NA,NA
39,NA,0.02,0,0,NA,0,0.07,0.03,0.09,0,0.01,5,State,All,All Households,state,99,goa,Goa,NA,NA,NA,NA,NA
40,0,0.07,0.01,0.01,0.25,0.01,0.18,0.03,0.15,0.24,0.09,5,State,All,All Households,state,99,gujarat,Gujarat,NA,NA,NA,NA,NA
41,1,0.49,0.18,0.07,0.64,0.15,0.74,0.15,0.71,0.86,0.53,5,State,All,All Households,state,99,gujarat,Gujarat,NA,NA,NA,NA,NA
42,NA,0.09,0.03,0.01,0.37,0.03,0.22,0.05,0.18,0.25,0.15,5,State,All,All Households,state,99,gujarat,Gujarat,NA,NA,NA,NA,NA
43,0,0.05,0.02,0.01,0.18,0,0.14,0.05,0.21,0.37,0.05,5,State,All,All Households,state,99,haryana,Haryana,NA,NA,NA,NA,NA
44,1,0.55,0.26,0.13,0.65,0.03,0.56,0.18,0.66,0.78,0.35,5,State,All,All Households,state,99,haryana,Haryana,NA,NA,NA,NA,NA
45,NA,0.06,0.04,0.01,0.04,0,0.14,0.07,0.19,0.39,0.07,5,State,All,All Households,state,99,haryana,Haryana,NA,NA,NA,NA,NA
46,0,0.06,0,0,0.15,0,0.16,0.04,0.2,0.45,0.07,5,State,All,All Households,state,99,himachal pradesh,Himachal Pradesh,NA,NA,NA,NA,NA
47,1,0.58,0.07,0.08,0.51,0.06,0.67,0.18,0.78,0.88,0.54,5,State,All,All Households,state,99,himachal pradesh,Himachal Pradesh,NA,NA,NA,NA,NA
48,NA,0.05,0,0.01,0,0,0.19,0.02,0.15,0.5,0.03,5,State,All,All Households,state,99,himachal pradesh,Himachal Pradesh,NA,NA,NA,NA,NA
49,0,0.03,0.01,0,0.11,0.01,0.21,0.08,0.21,0.27,0.06,5,State,All,All Households,state,99,jammu & kashmir,Jammu & Kashmir,NA,NA,NA,NA,NA
50,1,0.5,0.22,0.04,0.55,0.04,0.77,0.37,0.83,0.82,0.39,5,State,All,All Households,state,99,jammu & kashmir,Jammu & Kashmir,NA,NA,NA,NA,NA
51,NA,0.06,0.03,0,0.01,0,0.24,0.07,0.18,0.3,0.08,5,State,All,All Households,state,99,jammu & kashmir,Jammu & Kashmir,NA,NA,NA,NA,NA
52,0,0.06,0.01,0.01,0.21,0.03,0.33,0.13,0.44,0.56,0.09,5,State,All,All Households,state,99,jharkhand,Jharkhand,NA,NA,NA,NA,NA
53,1,0.54,0.18,0.06,0.64,0.14,0.72,0.31,0.88,0.94,0.41,5,State,All,All Households,state,99,jharkhand,Jharkhand,NA,NA,NA,NA,NA
54,NA,0.21,0.12,0.02,0.19,0.06,0.45,0.15,0.53,0.69,0.22,5,State,All,All Households,state,99,jharkhand,Jharkhand,NA,NA,NA,NA,NA
55,0,0.08,0.01,0,0.19,0.01,0.21,0.06,0.33,0.15,0.07,5,State,All,All Households,state,99,karnataka,Karnataka,NA,NA,NA,NA,NA
56,1,0.6,0.11,0.07,0.58,0.08,0.76,0.14,0.75,0.7,0.49,5,State,All,All Households,state,99,karnataka,Karnataka,NA,NA,NA,NA,NA
57,NA,0.06,0.02,0,0.22,0.01,0.17,0.05,0.27,0.16,0.06,5,State,All,All Households,state,99,karnataka,Karnataka,NA,NA,NA,NA,NA
58,0,0.05,0,0,0.12,0,0.01,0.05,0.16,0.27,0.04,5,State,All,All Households,state,99,kerala,Kerala,NA,NA,NA,NA,NA
59,1,0.65,0.03,0.03,0.41,0.18,0.24,0.37,0.64,0.86,0.76,5,State,All,All Households,state,99,kerala,Kerala,NA,NA,NA,NA,NA
60,NA,0.02,0,0.01,0.1,0,0.01,0.03,0.16,0.19,0.03,5,State,All,All Households,state,99,kerala,Kerala,NA,NA,NA,NA,NA
61,0,0.02,0.01,0.01,0.11,0,0.55,0.13,0.55,0.21,0.03,5,State,All,All Households,state,99,ladakh,Ladakh,NA,NA,NA,NA,NA
62,1,0.44,0.22,0.06,0.58,0.02,0.9,0.41,0.87,0.52,0.14,5,State,All,All Households,state,99,ladakh,Ladakh,NA,NA,NA,NA,NA
63,NA,0.05,0,0,0,0.03,0.64,0.15,0.62,0.08,0.03,5,State,All,All Households,state,99,ladakh,Ladakh,NA,NA,NA,NA,NA
64,0,0.04,0,0,0.17,0,0,0.07,0.11,0.32,0.02,5,State,All,All Households,state,99,lakshadweep,Lakshadweep,NA,NA,NA,NA,NA
65,1,0.31,0.45,0,0.85,0,0,0.24,0.54,0.69,0.24,5,State,All,All Households,state,99,lakshadweep,Lakshadweep,NA,NA,NA,NA,NA
66,NA,0,0,0,0,0,0,0,0.09,0.62,0,5,State,All,All Households,state,99,lakshadweep,Lakshadweep,NA,NA,NA,NA,NA
67,0,0.06,0.01,0.01,0.19,0.01,0.27,0.15,0.45,0.49,0.11,5,State,All,All Households,state,99,madhya pradesh,Madhya Pradesh,NA,NA,NA,NA,NA
68,1,0.53,0.16,0.06,0.54,0.05,0.69,0.42,0.88,0.92,0.5,5,State,All,All Households,state,99,madhya pradesh,Madhya Pradesh,NA,NA,NA,NA,NA
69,NA,0.11,0.05,0.01,0.27,0.02,0.31,0.19,0.47,0.52,0.15,5,State,All,All Households,state,99,madhya pradesh,Madhya Pradesh,NA,NA,NA,NA,NA
70,0,0.06,0.01,0,0.22,0.01,0.25,0.07,0.19,0.14,0.09,5,State,All,All Households,state,99,maharashtra,Maharashtra,NA,NA,NA,NA,NA
71,1,0.56,0.1,0.06,0.56,0.16,0.71,0.3,0.74,0.72,0.59,5,State,All,All Households,state,99,maharashtra,Maharashtra,NA,NA,NA,NA,NA
72,NA,0.03,0.02,0.01,0.1,0.01,0.24,0.04,0.11,0.07,0.07,5,State,All,All Households,state,99,maharashtra,Maharashtra,NA,NA,NA,NA,NA
73,0,0.03,0.01,0.01,0.1,0.01,0.36,0.23,0.73,0.24,0.1,5,State,All,All Households,state,99,manipur,Manipur,NA,NA,NA,NA,NA
74,1,0.48,0.09,0.08,0.53,0.09,0.54,0.62,0.96,0.79,0.55,5,State,All,All Households,state,99,manipur,Manipur,NA,NA,NA,NA,NA
75,NA,0.04,0.03,0,0,0.02,0.32,0.3,0.68,0.33,0.16,5,State,All,All Households,state,99,manipur,Manipur,NA,NA,NA,NA,NA
76,0,0.04,0.01,0.01,0.17,0.03,0.14,0.18,0.44,0.54,0.22,5,State,All,All Households,state,99,meghalaya,Meghalaya,NA,NA,NA,NA,NA
77,1,0.58,0.19,0.09,0.67,0.24,0.32,0.37,0.78,0.95,0.8,5,State,All,All Households,state,99,meghalaya,Meghalaya,NA,NA,NA,NA,NA
78,NA,0.11,0.04,0,0.38,0.03,0.21,0.12,0.3,0.3,0.17,5,State,All,All Households,state,99,meghalaya,Meghalaya,NA,NA,NA,NA,NA
79,0,0.06,0.01,0.01,0.1,0.01,0.04,0.03,0.29,0.13,0.1,5,State,All,All Households,state,99,mizoram,Mizoram,NA,NA,NA,NA,NA
80,1,0.71,0.19,0.07,0.44,0.2,0.28,0.3,0.85,0.81,0.83,5,State,All,All Households,state,99,mizoram,Mizoram,NA,NA,NA,NA,NA
81,NA,0.03,0.01,0,0.08,0.01,0.07,0,0.29,0.04,0.06,5,State,All,All Households,state,99,mizoram,Mizoram,NA,NA,NA,NA,NA
82,0,0.05,0.01,0.01,0.1,0.01,0.11,0.09,0.58,0.48,0.22,5,State,All,All Households,state,99,nagaland,Nagaland,NA,NA,NA,NA,NA
83,1,0.63,0.11,0.04,0.41,0.05,0.23,0.2,0.97,0.95,0.81,5,State,All,All Households,state,99,nagaland,Nagaland,NA,NA,NA,NA,NA
84,NA,0.21,0.03,0.09,0,0,0.37,0.19,0.76,0.67,0.26,5,State,All,All Households,state,99,nagaland,Nagaland,NA,NA,NA,NA,NA
85,0,0.04,0.01,0.01,0.15,0,0.19,0.02,0.06,0.01,0.05,5,State,All,All Households,state,99,nct of delhi,Nct Of Delhi,NA,NA,NA,NA,NA
86,1,0.63,0.36,0.18,0.72,0.02,0.66,0.09,0.3,0.11,0.33,5,State,All,All Households,state,99,nct of delhi,Nct Of Delhi,NA,NA,NA,NA,NA
87,NA,0.05,0.03,0,0,0,0.17,0.01,0.06,0,0.05,5,State,All,All Households,state,99,nct of delhi,Nct Of Delhi,NA,NA,NA,NA,NA
88,0,0.07,0.01,0.01,0.16,0.01,0.32,0.1,0.3,0.57,0.07,5,State,All,All Households,state,99,odisha,Odisha,NA,NA,NA,NA,NA
89,1,0.6,0.1,0.04,0.59,0.12,0.74,0.25,0.8,0.96,0.48,5,State,All,All Households,state,99,odisha,Odisha,NA,NA,NA,NA,NA
90,NA,0.12,0.03,0.01,0.04,0.02,0.32,0.09,0.32,0.49,0.12,5,State,All,All Households,state,99,odisha,Odisha,NA,NA,NA,NA,NA
91,0,0.06,0.01,0,0.11,0,0.14,0.02,0.1,0.05,0.03,5,State,All,All Households,state,99,puducherry,Puducherry,NA,NA,NA,NA,NA
92,1,0.75,0.15,0.03,0.29,0.08,0.88,0.12,0.76,0.6,0.64,5,State,All,All Households,state,99,puducherry,Puducherry,NA,NA,NA,NA,NA
93,NA,0.02,0,0,0,0,0.1,0,0.07,0.02,0.05,5,State,All,All Households,state,99,puducherry,Puducherry,NA,NA,NA,NA,NA
94,0,0.06,0.01,0.01,0.15,0,0.13,0.01,0.2,0.21,0.02,5,State,All,All Households,state,99,punjab,Punjab,NA,NA,NA,NA,NA
95,1,0.71,0.2,0.12,0.59,0.03,0.6,0.09,0.66,0.6,0.24,5,State,All,All Households,state,99,punjab,Punjab,NA,NA,NA,NA,NA
96,NA,0.07,0.03,0.01,0.07,0,0.11,0.01,0.17,0.16,0.02,5,State,All,All Households,state,99,punjab,Punjab,NA,NA,NA,NA,NA
97,0,0.06,0.01,0.01,0.22,0.01,0.22,0.07,0.39,0.52,0.08,5,State,All,All Households,state,99,rajasthan,Rajasthan,NA,NA,NA,NA,NA
98,1,0.54,0.14,0.07,0.62,0.09,0.72,0.25,0.8,0.92,0.42,5,State,All,All Households,state,99,rajasthan,Rajasthan,NA,NA,NA,NA,NA
99,NA,0.11,0.04,0,0.07,0.02,0.29,0.11,0.46,0.54,0.12,5,State,All,All Households,state,99,rajasthan,Rajasthan,NA,NA,NA,NA,NA
100,0,0.1,0.01,0,0.07,0.01,0.14,0.06,0.21,0.2,0.15,5,State,All,All Households,state,99,sikkim,Sikkim,NA,NA,NA,NA,NA
101,1,0.74,0.06,0.05,0.41,0.07,0.28,0.21,0.78,0.83,0.77,5,State,All,All Households,state,99,sikkim,Sikkim,NA,NA,NA,NA,NA
102,NA,0.07,0.03,0,0.08,0,0.17,0.02,0.26,0.06,0.14,5,State,All,All Households,state,99,sikkim,Sikkim,NA,NA,NA,NA,NA
103,0,0.13,0.01,0,0.14,0,0.26,0.05,0.1,0.12,0.05,5,State,All,All Households,state,99,tamil nadu,Tamil Nadu,NA,NA,NA,NA,NA
104,1,0.77,0.06,0.04,0.33,0.11,0.83,0.17,0.58,0.72,0.58,5,State,All,All Households,state,99,tamil nadu,Tamil Nadu,NA,NA,NA,NA,NA
105,NA,0.06,0.01,0,0.2,0.01,0.15,0.05,0.06,0.09,0.03,5,State,All,All Households,state,99,tamil nadu,Tamil Nadu,NA,NA,NA,NA,NA
106,0,0.18,0,0,0.19,0,0.22,0.03,0.18,0.05,0.09,5,State,All,All Households,state,99,telangana,Telangana,NA,NA,NA,NA,NA
107,1,0.82,0.07,0.07,0.52,0.06,0.69,0.08,0.65,0.41,0.56,5,State,All,All Households,state,99,telangana,Telangana,NA,NA,NA,NA,NA
108,NA,0.09,0.01,0.01,0.14,0,0.18,0.02,0.12,0.04,0.06,5,State,All,All Households,state,99,telangana,Telangana,NA,NA,NA,NA,NA
109,0,0.06,0.01,0,0.15,0.01,0.24,0.09,0.61,0.45,0.1,5,State,All,All Households,state,99,tripura,Tripura,NA,NA,NA,NA,NA
110,1,0.59,0.07,0.06,0.51,0.09,0.53,0.36,0.95,0.94,0.59,5,State,All,All Households,state,99,tripura,Tripura,NA,NA,NA,NA,NA
111,NA,0.12,0.02,0,0.25,0.05,0.23,0.13,0.71,0.55,0.18,5,State,All,All Households,state,99,tripura,Tripura,NA,NA,NA,NA,NA
112,0,0.06,0.03,0.01,0.2,0.05,0.25,0.01,0.52,0.42,0.05,5,State,All,All Households,state,99,uttar pradesh,Uttar Pradesh,NA,NA,NA,NA,NA
113,1,0.54,0.28,0.1,0.63,0.29,0.63,0.04,0.88,0.82,0.28,5,State,All,All Households,state,99,uttar pradesh,Uttar Pradesh,NA,NA,NA,NA,NA
114,NA,0.13,0.1,0.02,0.21,0.06,0.27,0.01,0.44,0.37,0.08,5,State,All,All Households,state,99,uttar pradesh,Uttar Pradesh,NA,NA,NA,NA,NA
115,0,0.06,0.01,0.01,0.15,0,0.18,0.06,0.21,0.38,0.08,5,State,All,All Households,state,99,uttarakhand,Uttarakhand,NA,NA,NA,NA,NA
116,1,0.59,0.19,0.1,0.57,0.04,0.6,0.17,0.65,0.81,0.46,5,State,All,All Households,state,99,uttarakhand,Uttarakhand,NA,NA,NA,NA,NA
117,NA,0.09,0.04,0.03,0.48,0.01,0.17,0.03,0.13,0.25,0.06,5,State,All,All Households,state,99,uttarakhand,Uttarakhand,NA,NA,NA,NA,NA
118,0,0.08,0.01,0,0.16,0.01,0.26,0.04,0.4,0.52,0.05,5,State,All,All Households,state,99,west bengal,West Bengal,NA,NA,NA,NA,NA
119,1,0.65,0.07,0.03,0.56,0.12,0.74,0.09,0.87,0.94,0.41,5,State,All,All Households,state,99,west bengal,West Bengal,NA,NA,NA,NA,NA
120,NA,0.14,0.02,0,0,0.03,0.35,0.08,0.42,0.51,0.07,5,State,All,All Households,state,99,west bengal,West Bengal,NA,NA,NA,NA,NA
121,0,0.1,0.01,0,0.2,0.02,0.32,0.05,0.43,0.46,0.08,5,State,urban/rural,All Households,statesector,0,india,India,NA,NA,NA,NA,NA
122,1,0.69,0.15,0.06,0.66,0.12,0.75,0.09,0.88,0.81,0.38,5,State,urban/rural,All Households,statesector,0,india,India,NA,NA,NA,NA,NA
123,NA,0.3,0.09,0.07,0,0.01,0.34,0.14,0.31,0.4,0.22,5,State,urban/rural,All Households,statesector,0,india,India,NA,NA,NA,NA,NA
124,0,0.08,0,0.01,0.16,0,0.19,0.02,0.19,0.1,0.04,5,State,urban/rural,All Households,statesector,1,india,India,NA,NA,NA,NA,NA
125,1,0.63,0.36,0.08,0.78,0.21,0.44,0,0.61,0.49,0.41,5,State,urban/rural,All Households,statesector,1,india,India,NA,NA,NA,NA,NA
126,NA,0.1,0,0,0,0,0.11,0,0,0,0.15,5,State,urban/rural,All Households,statesector,1,india,India,NA,NA,NA,NA,NA
127,0,0.1,0,0,0.09,0.02,0.09,0.05,0.38,0.2,0.08,5,State,urban/rural,All Households,statesector,0,andaman & nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
128,1,0.61,0.05,0.04,0.32,0.35,0.67,0.34,0.91,0.83,0.75,5,State,urban/rural,All Households,statesector,0,andaman & nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
129,NA,0.08,0.04,0,0.15,0,0.12,0.12,0.44,0.24,0.11,5,State,urban/rural,All Households,statesector,0,andaman & nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
130,0,0.05,0,0.01,0.13,0,0.12,0.02,0.1,0.01,0.04,5,State,urban/rural,All Households,statesector,1,andaman & nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
131,1,0.5,0,0,1,0.34,0.36,0.16,0.34,0.32,0.5,5,State,urban/rural,All Households,statesector,1,andaman & nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
132,NA,0,0,0,0,0,0,0,0.06,0,0,5,State,urban/rural,All Households,statesector,1,andaman & nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
133,0,0.23,0.01,0,0.15,0,0.24,0.1,0.15,0.16,0.1,5,State,urban/rural,All Households,statesector,0,andhra pradesh,Andhra Pradesh,NA,NA,NA,NA,NA
134,1,0.78,0.06,0.06,0.5,0.07,0.7,0.26,0.55,0.64,0.56,5,State,urban/rural,All Households,statesector,0,andhra pradesh,Andhra Pradesh,NA,NA,NA,NA,NA
135,NA,0.21,0.01,0,0.18,0.01,0.24,0.11,0.2,0.19,0.11,5,State,urban/rural,All Households,statesector,0,andhra pradesh,Andhra Pradesh,NA,NA,NA,NA,NA
136,0,0.12,0,0.01,0.13,0,0.1,0.03,0.06,0.02,0.05,5,State,urban/rural,All Households,statesector,1,andhra pradesh,Andhra Pradesh,NA,NA,NA,NA,NA
137,1,0.81,0.09,0.09,0.68,0.11,0.42,0.09,0.29,0.22,0.44,5,State,urban/rural,All Households,statesector,1,andhra pradesh,Andhra Pradesh,NA,NA,NA,NA,NA
138,NA,0.07,0,0,0,0,0.13,0.06,0.01,0.03,0.01,5,State,urban/rural,All Households,statesector,1,andhra pradesh,Andhra Pradesh,NA,NA,NA,NA,NA
139,0,0.11,0.02,0,0.09,0.04,0.13,0.05,0.74,0.47,0.11,5,State,urban/rural,All Households,statesector,0,arunachal pradesh,Arunachal Pradesh,NA,NA,NA,NA,NA
140,1,0.76,0.16,0.04,0.35,0.17,0.39,0.18,0.97,0.88,0.61,5,State,urban/rural,All Households,statesector,0,arunachal pradesh,Arunachal Pradesh,NA,NA,NA,NA,NA
141,NA,0.18,0.01,0,0.08,0.04,0.15,0.07,0.7,0.51,0.14,5,State,urban/rural,All Households,statesector,0,arunachal pradesh,Arunachal Pradesh,NA,NA,NA,NA,NA
142,0,0.05,0.02,0.01,0.1,0,0.19,0.02,0.51,0.08,0.05,5,State,urban/rural,All Households,statesector,1,arunachal pradesh,Arunachal Pradesh,NA,NA,NA,NA,NA
143,1,0.63,0.24,0.08,0.63,0.04,0.65,0.08,0.91,0.53,0.34,5,State,urban/rural,All Households,statesector,1,arunachal pradesh,Arunachal Pradesh,NA,NA,NA,NA,NA
144,NA,0.04,0.02,0,0,0,0.24,0.03,0.41,0.1,0.07,5,State,urban/rural,All Households,statesector,1,arunachal pradesh,Arunachal Pradesh,NA,NA,NA,NA,NA
145,0,0.05,0.01,0.01,0.18,0.04,0.24,0.12,0.68,0.57,0.1,5,State,urban/rural,All Households,statesector,0,assam,Assam,NA,NA,NA,NA,NA
146,1,0.53,0.13,0.05,0.64,0.23,0.62,0.28,0.96,0.91,0.46,5,State,urban/rural,All Households,statesector,0,assam,Assam,NA,NA,NA,NA,NA
147,NA,0.16,0.04,0.01,0.12,0.09,0.29,0.14,0.68,0.61,0.16,5,State,urban/rural,All Households,statesector,0,assam,Assam,NA,NA,NA,NA,NA
148,0,0.04,0.01,0,0.15,0.01,0.29,0.08,0.3,0.08,0.07,5,State,urban/rural,All Households,statesector,1,assam,Assam,NA,NA,NA,NA,NA
149,1,0.65,0.12,0.06,0.51,0.07,0.73,0.16,0.88,0.5,0.63,5,State,urban/rural,All Households,statesector,1,assam,Assam,NA,NA,NA,NA,NA
150,NA,0.09,0.02,0,0.15,0.02,0.25,0.04,0.26,0.12,0.11,5,State,urban/rural,All Households,statesector,1,assam,Assam,NA,NA,NA,NA,NA
151,0,0.08,0.02,0.01,0.21,0.02,0.4,0.01,0.61,0.57,0.13,5,State,urban/rural,All Households,statesector,0,bihar,Bihar,NA,NA,NA,NA,NA
152,1,0.65,0.2,0.08,0.62,0.09,0.83,0.03,0.93,0.89,0.47,5,State,urban/rural,All Households,statesector,0,bihar,Bihar,NA,NA,NA,NA,NA
153,NA,0.29,0.11,0.02,0.23,0.06,0.54,0.01,0.71,0.67,0.27,5,State,urban/rural,All Households,statesector,0,bihar,Bihar,NA,NA,NA,NA,NA
154,0,0.05,0.02,0.01,0.19,0.02,0.26,0.01,0.2,0.14,0.09,5,State,urban/rural,All Households,statesector,1,bihar,Bihar,NA,NA,NA,NA,NA
155,1,0.68,0.25,0.12,0.62,0.17,0.68,0.03,0.71,0.64,0.44,5,State,urban/rural,All Households,statesector,1,bihar,Bihar,NA,NA,NA,NA,NA
156,NA,0.12,0.05,0,0.05,0.07,0.25,0.02,0.33,0.18,0.14,5,State,urban/rural,All Households,statesector,1,bihar,Bihar,NA,NA,NA,NA,NA
157,0,0,0.1,0,0.15,0,0.5,0,0,0.05,0.05,5,State,urban/rural,All Households,statesector,0,chandigarh,Chandigarh,NA,NA,NA,NA,NA
158,1,0,0,1,1,0,1,0,0,0,0,5,State,urban/rural,All Households,statesector,0,chandigarh,Chandigarh,NA,NA,NA,NA,NA
159,0,0.04,0.01,0,0.15,0,0.16,0.02,0.03,0.03,0.01,5,State,urban/rural,All Households,statesector,1,chandigarh,Chandigarh,NA,NA,NA,NA,NA
160,1,0.58,0.45,0.24,0.63,0,0.68,0.26,0.52,0.42,0.05,5,State,urban/rural,All Households,statesector,1,chandigarh,Chandigarh,NA,NA,NA,NA,NA
161,NA,0.01,0.02,0,0,0.01,0.07,0,0.02,0.02,0.01,5,State,urban/rural,All Households,statesector,1,chandigarh,Chandigarh,NA,NA,NA,NA,NA
