,m_poor_1_33,m_poor_1_50,wi_cat1,wi_cat2,wi_cat3,wi_cat4,wi_cat5,round,level,area,dem,SourceSheet,sector,state,StateName,head_age_cat,edu_group,head_gender,hhsize_cat,owns_land
767,0.16,0.03,0.09,0.27,0.23,0.21,0.2,5,State,All,Education,state,99,uttarakhand,Uttarakhand,NA,Primary,NA,NA,NA
768,0.04,0,0.04,0.17,0.22,0.23,0.34,5,State,All,Education,state,99,uttarakhand,Uttarakhand,NA,Secondary,NA,NA,NA
769,0.01,0,0,0.04,0.09,0.16,0.7,5,State,All,Education,state,99,uttarakhand,Uttarakhand,NA,Higher,NA,NA,NA
770,0.1,0,0,0.06,0.27,0.31,0.36,5,State,All,Education,state,99,uttarakhand,Uttarakhand,NA,NA,NA,NA,NA
771,0.33,0.06,0.55,0.27,0.13,0.04,0.01,5,State,All,Education,state,99,west bengal,West Bengal,NA,No education / Preschool,NA,NA,NA
772,0.21,0.03,0.41,0.31,0.18,0.09,0.01,5,State,All,Education,state,99,west bengal,West Bengal,NA,Primary,NA,NA,NA
773,0.06,0,0.22,0.25,0.23,0.21,0.09,5,State,All,Education,state,99,west bengal,West Bengal,NA,Secondary,NA,NA,NA
774,0.01,0,0.04,0.08,0.13,0.31,0.43,5,State,All,Education,state,99,west bengal,West Bengal,NA,Higher,NA,NA,NA
775,0.26,0.19,0.59,0.25,0.11,0.05,0,5,State,All,Education,state,99,west bengal,West Bengal,NA,NA,NA,NA,NA
776,0.26,0.09,NA,NA,NA,NA,NA,5,State,urban/rural,Education,statesector,0,india,India,NA,NA,NA,NA,NA
777,0.08,0.03,NA,NA,NA,NA,NA,5,State,urban/rural,Education,statesector,1,india,India,NA,NA,NA,NA,NA
778,0.12,0.02,0.22,0.26,0.31,0.19,0.02,5,State,urban/rural,Education,statesector,0,andaman & nicobar islands,Andaman & Nicobar Islands,NA,No education / Preschool,NA,NA,NA
779,0.09,0.01,0.16,0.29,0.31,0.21,0.03,5,State,urban/rural,Education,statesector,0,andaman & nicobar islands,Andaman & Nicobar Islands,NA,Primary,NA,NA,NA
780,0.02,0,0.08,0.18,0.3,0.33,0.11,5,State,urban/rural,Education,statesector,0,andaman & nicobar islands,Andaman & Nicobar Islands,NA,Secondary,NA,NA,NA
781,0,0,0.01,0.02,0.25,0.38,0.35,5,State,urban/rural,Education,statesector,0,andaman & nicobar islands,Andaman & Nicobar Islands,NA,Higher,NA,NA,NA
782,0,0,0.04,0.39,0.05,0.53,0,5,State,urban/rural,Education,statesector,0,andaman & nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
783,0.01,0,0,0.15,0.27,0.41,0.16,5,State,urban/rural,Education,statesector,1,andaman & nicobar islands,Andaman & Nicobar Islands,NA,No education / Preschool,NA,NA,NA
784,0.03,0,0,0.12,0.25,0.44,0.18,5,State,urban/rural,Education,statesector,1,andaman & nicobar islands,Andaman & Nicobar Islands,NA,Primary,NA,NA,NA
785,0.01,0,0.02,0.03,0.23,0.44,0.28,5,State,urban/rural,Education,statesector,1,andaman & nicobar islands,Andaman & Nicobar Islands,NA,Secondary,NA,NA,NA
786,0,0,0,0.02,0.02,0.28,0.68,5,State,urban/rural,Education,statesector,1,andaman & nicobar islands,Andaman & Nicobar Islands,NA,Higher,NA,NA,NA
787,0,0,0,0.3,0.57,0,0.13,5,State,urban/rural,Education,statesector,1,andaman & nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
788,0.17,0.02,0.15,0.36,0.33,0.14,0.02,5,State,urban/rural,Education,statesector,0,andhra pradesh,Andhra Pradesh,NA,No education / Preschool,NA,NA,NA
789,0.09,0.01,0.06,0.25,0.41,0.24,0.04,5,State,urban/rural,Education,statesector,0,andhra pradesh,Andhra Pradesh,NA,Primary,NA,NA,NA
790,0.03,0,0.03,0.16,0.38,0.34,0.09,5,State,urban/rural,Education,statesector,0,andhra pradesh,Andhra Pradesh,NA,Secondary,NA,NA,NA
791,0.02,0,0.01,0.07,0.25,0.38,0.28,5,State,urban/rural,Education,statesector,0,andhra pradesh,Andhra Pradesh,NA,Higher,NA,NA,NA
792,0,0,0,0.19,0.47,0.34,0,5,State,urban/rural,Education,statesector,0,andhra pradesh,Andhra Pradesh,NA,NA,NA,NA,NA
793,0.07,0.01,0.03,0.16,0.34,0.34,0.13,5,State,urban/rural,Education,statesector,1,andhra pradesh,Andhra Pradesh,NA,No education / Preschool,NA,NA,NA
794,0.04,0,0.02,0.08,0.26,0.43,0.21,5,State,urban/rural,Education,statesector,1,andhra pradesh,Andhra Pradesh,NA,Primary,NA,NA,NA
795,0.01,0,0,0.04,0.16,0.42,0.38,5,State,urban/rural,Education,statesector,1,andhra pradesh,Andhra Pradesh,NA,Secondary,NA,NA,NA
796,0,0,0,0,0.04,0.23,0.72,5,State,urban/rural,Education,statesector,1,andhra pradesh,Andhra Pradesh,NA,Higher,NA,NA,NA
797,0,0,0,0,0,0.37,0.63,5,State,urban/rural,Education,statesector,1,andhra pradesh,Andhra Pradesh,NA,NA,NA,NA,NA
798,0.3,0.05,0.42,0.34,0.18,0.05,0.01,5,State,urban/rural,Education,statesector,0,arunachal pradesh,Arunachal Pradesh,NA,No education / Preschool,NA,NA,NA
799,0.22,0.04,0.35,0.39,0.2,0.06,0.01,5,State,urban/rural,Education,statesector,0,arunachal pradesh,Arunachal Pradesh,NA,Primary,NA,NA,NA
800,0.05,0,0.18,0.38,0.27,0.14,0.03,5,State,urban/rural,Education,statesector,0,arunachal pradesh,Arunachal Pradesh,NA,Secondary,NA,NA,NA
801,0.02,0,0.04,0.16,0.32,0.31,0.17,5,State,urban/rural,Education,statesector,0,arunachal pradesh,Arunachal Pradesh,NA,Higher,NA,NA,NA
802,0.2,0,0.21,0.2,0.47,0,0.12,5,State,urban/rural,Education,statesector,0,arunachal pradesh,Arunachal Pradesh,NA,NA,NA,NA,NA
803,0.11,0.03,0.09,0.23,0.42,0.22,0.04,5,State,urban/rural,Education,statesector,1,arunachal pradesh,Arunachal Pradesh,NA,No education / Preschool,NA,NA,NA
804,0.12,0.02,0.06,0.23,0.37,0.3,0.04,5,State,urban/rural,Education,statesector,1,arunachal pradesh,Arunachal Pradesh,NA,Primary,NA,NA,NA
805,0.01,0,0.02,0.11,0.38,0.41,0.08,5,State,urban/rural,Education,statesector,1,arunachal pradesh,Arunachal Pradesh,NA,Secondary,NA,NA,NA
806,0.01,0,0,0.02,0.21,0.46,0.3,5,State,urban/rural,Education,statesector,1,arunachal pradesh,Arunachal Pradesh,NA,Higher,NA,NA,NA
807,0,0,0.22,0,0.12,0.66,0,5,State,urban/rural,Education,statesector,1,arunachal pradesh,Arunachal Pradesh,NA,NA,NA,NA,NA
808,0.4,0.12,0.65,0.29,0.06,0.01,0,5,State,urban/rural,Education,statesector,0,assam,Assam,NA,No education / Preschool,NA,NA,NA
809,0.31,0.08,0.52,0.34,0.11,0.03,0.01,5,State,urban/rural,Education,statesector,0,assam,Assam,NA,Primary,NA,NA,NA
810,0.11,0.01,0.3,0.39,0.2,0.09,0.02,5,State,urban/rural,Education,statesector,0,assam,Assam,NA,Secondary,NA,NA,NA
811,0.03,0,0.07,0.22,0.29,0.29,0.12,5,State,urban/rural,Education,statesector,0,assam,Assam,NA,Higher,NA,NA,NA
812,0,0,0,0.52,0.48,0,0,5,State,urban/rural,Education,statesector,0,assam,Assam,NA,NA,NA,NA,NA
813,0.28,0.04,0.23,0.33,0.32,0.09,0.02,5,State,urban/rural,Education,statesector,1,assam,Assam,NA,No education / Preschool,NA,NA,NA
814,0.18,0.02,0.11,0.32,0.34,0.19,0.04,5,State,urban/rural,Education,statesector,1,assam,Assam,NA,Primary,NA,NA,NA
815,0.02,0,0.02,0.13,0.31,0.38,0.16,5,State,urban/rural,Education,statesector,1,assam,Assam,NA,Secondary,NA,NA,NA
816,0,0,0,0.03,0.08,0.31,0.58,5,State,urban/rural,Education,statesector,1,assam,Assam,NA,Higher,NA,NA,NA
817,0,0,0,0.51,0,0.49,0,5,State,urban/rural,Education,statesector,1,assam,Assam,NA,NA,NA,NA,NA
818,0.56,0.21,0.68,0.23,0.07,0.02,0,5,State,urban/rural,Education,statesector,0,bihar,Bihar,NA,No education / Preschool,NA,NA,NA
819,0.46,0.18,0.54,0.3,0.11,0.03,0.01,5,State,urban/rural,Education,statesector,0,bihar,Bihar,NA,Primary,NA,NA,NA
820,0.17,0.02,0.31,0.34,0.21,0.11,0.03,5,State,urban/rural,Education,statesector,0,bihar,Bihar,NA,Secondary,NA,NA,NA
821,0.07,0,0.11,0.21,0.31,0.25,0.12,5,State,urban/rural,Education,statesector,0,bihar,Bihar,NA,Higher,NA,NA,NA
822,0.15,0.06,0.47,0.43,0.11,0,0,5,State,urban/rural,Education,statesector,0,bihar,Bihar,NA,NA,NA,NA,NA
823,0.38,0.13,0.32,0.26,0.2,0.17,0.04,5,State,urban/rural,Education,statesector,1,bihar,Bihar,NA,No education / Preschool,NA,NA,NA
824,0.29,0.08,0.19,0.2,0.31,0.24,0.06,5,State,urban/rural,Education,statesector,1,bihar,Bihar,NA,Primary,NA,NA,NA
825,0.05,0,0.06,0.11,0.22,0.38,0.23,5,State,urban/rural,Education,statesector,1,bihar,Bihar,NA,Secondary,NA,NA,NA
826,0.01,0,0.01,0.02,0.13,0.29,0.56,5,State,urban/rural,Education,statesector,1,bihar,Bihar,NA,Higher,NA,NA,NA
827,0,0,0,0.09,0,0.42,0.48,5,State,urban/rural,Education,statesector,1,bihar,Bihar,NA,NA,NA,NA,NA
828,0,0,0,0.17,0.33,0.17,0.33,5,State,urban/rural,Education,statesector,0,chandigarh,Chandigarh,NA,No education / Preschool,NA,NA,NA
829,0,0,0,0,0,0.33,0.67,5,State,urban/rural,Education,statesector,0,chandigarh,Chandigarh,NA,Primary,NA,NA,NA
830,0.08,0,0,0,0.42,0.08,0.5,5,State,urban/rural,Education,statesector,0,chandigarh,Chandigarh,NA,Secondary,NA,NA,NA
831,0.09,0.03,0.02,0.07,0.15,0.18,0.58,5,State,urban/rural,Education,statesector,1,chandigarh,Chandigarh,NA,No education / Preschool,NA,NA,NA
832,0.11,0.02,0.03,0.07,0.09,0.25,0.55,5,State,urban/rural,Education,statesector,1,chandigarh,Chandigarh,NA,Primary,NA,NA,NA
833,0.01,0,0.01,0.01,0.03,0.16,0.79,5,State,urban/rural,Education,statesector,1,chandigarh,Chandigarh,NA,Secondary,NA,NA,NA
834,0,0,0,0,0,0.01,0.99,5,State,urban/rural,Education,statesector,1,chandigarh,Chandigarh,NA,Higher,NA,NA,NA
835,0.38,0.08,0.59,0.25,0.11,0.04,0.01,5,State,urban/rural,Education,statesector,0,chhattisgarh,Chhattisgarh,NA,No education / Preschool,NA,NA,NA
836,0.27,0.05,0.42,0.3,0.17,0.08,0.02,5,State,urban/rural,Education,statesector,0,chhattisgarh,Chhattisgarh,NA,Primary,NA,NA,NA
837,0.12,0.01,0.28,0.29,0.23,0.15,0.05,5,State,urban/rural,Education,statesector,0,chhattisgarh,Chhattisgarh,NA,Secondary,NA,NA,NA
838,0.05,0,0.08,0.19,0.25,0.28,0.2,5,State,urban/rural,Education,statesector,0,chhattisgarh,Chhattisgarh,NA,Higher,NA,NA,NA
839,0.23,0,0.62,0.23,0.15,0,0,5,State,urban/rural,Education,statesector,0,chhattisgarh,Chhattisgarh,NA,NA,NA,NA,NA
840,0.16,0.02,0.17,0.19,0.24,0.28,0.13,5,State,urban/rural,Education,statesector,1,chhattisgarh,Chhattisgarh,NA,No education / Preschool,NA,NA,NA
841,0.09,0.01,0.1,0.16,0.22,0.34,0.17,5,State,urban/rural,Education,statesector,1,chhattisgarh,Chhattisgarh,NA,Primary,NA,NA,NA
842,0.02,0,0.03,0.08,0.17,0.32,0.39,5,State,urban/rural,Education,statesector,1,chhattisgarh,Chhattisgarh,NA,Secondary,NA,NA,NA
843,0.01,0,0,0.02,0.05,0.23,0.7,5,State,urban/rural,Education,statesector,1,chhattisgarh,Chhattisgarh,NA,Higher,NA,NA,NA
844,0,0,0.02,0,0.2,0.48,0.3,5,State,urban/rural,Education,statesector,1,chhattisgarh,Chhattisgarh,NA,NA,NA,NA,NA
845,0.39,0.05,0.36,0.38,0.18,0.07,0.01,5,State,urban/rural,Education,statesector,0,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,No education / Preschool,NA,NA,NA
846,0.23,0.05,0.2,0.43,0.23,0.12,0.03,5,State,urban/rural,Education,statesector,0,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,Primary,NA,NA,NA
847,0.06,0,0.11,0.32,0.31,0.22,0.05,5,State,urban/rural,Education,statesector,0,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,Secondary,NA,NA,NA
848,0.02,0,0,0.13,0.31,0.37,0.18,5,State,urban/rural,Education,statesector,0,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,Higher,NA,NA,NA
849,0,0,0,0,0.6,0.4,0,5,State,urban/rural,Education,statesector,0,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,NA,NA,NA,NA
850,0.17,0.02,0.05,0.22,0.27,0.33,0.14,5,State,urban/rural,Education,statesector,1,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,No education / Preschool,NA,NA,NA
851,0.12,0.02,0.02,0.13,0.29,0.29,0.27,5,State,urban/rural,Education,statesector,1,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,Primary,NA,NA,NA
852,0.02,0.01,0.01,0.14,0.26,0.32,0.27,5,State,urban/rural,Education,statesector,1,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,Secondary,NA,NA,NA
853,0,0,0.01,0.07,0.17,0.29,0.46,5,State,urban/rural,Education,statesector,1,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,Higher,NA,NA,NA
854,0,0,0.14,0.15,0.44,0.28,0,5,State,urban/rural,Education,statesector,1,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,NA,NA,NA,NA
855,0.05,0,0.04,0.11,0.18,0.46,0.22,5,State,urban/rural,Education,statesector,0,goa,Goa,NA,No education / Preschool,NA,NA,NA
856,0.1,0.01,0.02,0.05,0.22,0.34,0.36,5,State,urban/rural,Education,statesector,0,goa,Goa,NA,Primary,NA,NA,NA
857,0.01,0,0,0.04,0.12,0.34,0.5,5,State,urban/rural,Education,statesector,0,goa,Goa,NA,Secondary,NA,NA,NA
858,0.01,0,0,0,0.01,0.11,0.88,5,State,urban/rural,Education,statesector,0,goa,Goa,NA,Higher,NA,NA,NA
859,0,0,0,0,1,0,0,5,State,urban/rural,Education,statesector,0,goa,Goa,NA,NA,NA,NA,NA
860,0.01,0,0,0.03,0.13,0.33,0.51,5,State,urban/rural,Education,statesector,1,goa,Goa,NA,No education / Preschool,NA,NA,NA
861,0.01,0,0.02,0.05,0.1,0.33,0.5,5,State,urban/rural,Education,statesector,1,goa,Goa,NA,Primary,NA,NA,NA
862,0,0,0,0.02,0.08,0.18,0.73,5,State,urban/rural,Education,statesector,1,goa,Goa,NA,Secondary,NA,NA,NA
863,0,0,0,0,0.03,0.06,0.9,5,State,urban/rural,Education,statesector,1,goa,Goa,NA,Higher,NA,NA,NA
864,NA,NA,0,0,0,0,1,5,State,urban/rural,Education,statesector,1,goa,Goa,NA,NA,NA,NA,NA
865,0.38,0.08,0.37,0.31,0.21,0.1,0.02,5,State,urban/rural,Education,statesector,0,gujarat,Gujarat,NA,No education / Preschool,NA,NA,NA
866,0.24,0.05,0.21,0.29,0.28,0.19,0.04,5,State,urban/rural,Education,statesector,0,gujarat,Gujarat,NA,Primary,NA,NA,NA
867,0.1,0.01,0.13,0.22,0.29,0.29,0.08,5,State,urban/rural,Education,statesector,0,gujarat,Gujarat,NA,Secondary,NA,NA,NA
868,0.04,0,0.04,0.09,0.22,0.4,0.26,5,State,urban/rural,Education,statesector,0,gujarat,Gujarat,NA,Higher,NA,NA,NA
869,0.09,0,0.09,0.49,0.15,0.27,0,5,State,urban/rural,Education,statesector,0,gujarat,Gujarat,NA,NA,NA,NA,NA
870,0.13,0.03,0.06,0.1,0.22,0.36,0.25,5,State,urban/rural,Education,statesector,1,gujarat,Gujarat,NA,No education / Preschool,NA,NA,NA
871,0.07,0.01,0.03,0.06,0.14,0.38,0.39,5,State,urban/rural,Education,statesector,1,gujarat,Gujarat,NA,Primary,NA,NA,NA
872,0.01,0,0.01,0.02,0.09,0.3,0.58,5,State,urban/rural,Education,statesector,1,gujarat,Gujarat,NA,Secondary,NA,NA,NA
873,0.01,0,0,0,0.02,0.12,0.86,5,State,urban/rural,Education,statesector,1,gujarat,Gujarat,NA,Higher,NA,NA,NA
874,0.1,0,0,0.29,0.22,0.08,0.4,5,State,urban/rural,Education,statesector,1,gujarat,Gujarat,NA,NA,NA,NA,NA
875,0.16,0.03,0.07,0.19,0.25,0.27,0.22,5,State,urban/rural,Education,statesector,0,haryana,Haryana,NA,No education / Preschool,NA,NA,NA
876,0.14,0.04,0.04,0.17,0.26,0.3,0.23,5,State,urban/rural,Education,statesector,0,haryana,Haryana,NA,Primary,NA,NA,NA
877,0.03,0,0.01,0.08,0.18,0.3,0.42,5,State,urban/rural,Education,statesector,0,haryana,Haryana,NA,Secondary,NA,NA,NA
878,0.02,0,0,0.04,0.07,0.23,0.66,5,State,urban/rural,Education,statesector,0,haryana,Haryana,NA,Higher,NA,NA,NA
879,0,0,0,0.17,0.19,0.38,0.27,5,State,urban/rural,Education,statesector,0,haryana,Haryana,NA,NA,NA,NA,NA
880,0.12,0.02,0.03,0.09,0.18,0.29,0.4,5,State,urban/rural,Education,statesector,1,haryana,Haryana,NA,No education / Preschool,NA,NA,NA
881,0.09,0.02,0.01,0.07,0.14,0.33,0.45,5,State,urban/rural,Education,statesector,1,haryana,Haryana,NA,Primary,NA,NA,NA
882,0.01,0,0,0.03,0.1,0.18,0.69,5,State,urban/rural,Education,statesector,1,haryana,Haryana,NA,Secondary,NA,NA,NA
883,0,0,0,0.01,0.02,0.06,0.92,5,State,urban/rural,Education,statesector,1,haryana,Haryana,NA,Higher,NA,NA,NA
884,0,0,0,0,0,0,1,5,State,urban/rural,Education,statesector,1,haryana,Haryana,NA,NA,NA,NA,NA
885,0.14,0.01,0.13,0.24,0.3,0.23,0.1,5,State,urban/rural,Education,statesector,0,himachal pradesh,Himachal Pradesh,NA,No education / Preschool,NA,NA,NA
886,0.09,0.01,0.07,0.22,0.3,0.28,0.13,5,State,urban/rural,Education,statesector,0,himachal pradesh,Himachal Pradesh,NA,Primary,NA,NA,NA
887,0.03,0,0.02,0.13,0.28,0.32,0.25,5,State,urban/rural,Education,statesector,0,himachal pradesh,Himachal Pradesh,NA,Secondary,NA,NA,NA
888,0,0,0,0.02,0.16,0.29,0.52,5,State,urban/rural,Education,statesector,0,himachal pradesh,Himachal Pradesh,NA,Higher,NA,NA,NA
889,0,0,0,0.18,0.06,0.58,0.18,5,State,urban/rural,Education,statesector,0,himachal pradesh,Himachal Pradesh,NA,NA,NA,NA,NA
890,0.21,0.11,0.19,0.06,0.21,0.25,0.3,5,State,urban/rural,Education,statesector,1,himachal pradesh,Himachal Pradesh,NA,No education / Preschool,NA,NA,NA
891,0.05,0.01,0.01,0.06,0.21,0.25,0.46,5,State,urban/rural,Education,statesector,1,himachal pradesh,Himachal Pradesh,NA,Primary,NA,NA,NA
892,0,0,0,0.03,0.09,0.34,0.53,5,State,urban/rural,Education,statesector,1,himachal pradesh,Himachal Pradesh,NA,Secondary,NA,NA,NA
893,0,0,0,0,0.07,0.19,0.74,5,State,urban/rural,Education,statesector,1,himachal pradesh,Himachal Pradesh,NA,Higher,NA,NA,NA
894,0.15,0.03,0.23,0.27,0.24,0.18,0.08,5,State,urban/rural,Education,statesector,0,jammu & kashmir,Jammu & Kashmir,NA,No education / Preschool,NA,NA,NA
895,0.15,0.04,0.2,0.25,0.21,0.26,0.08,5,State,urban/rural,Education,statesector,0,jammu & kashmir,Jammu & Kashmir,NA,Primary,NA,NA,NA
896,0.04,0,0.09,0.18,0.24,0.29,0.2,5,State,urban/rural,Education,statesector,0,jammu & kashmir,Jammu & Kashmir,NA,Secondary,NA,NA,NA
897,0.01,0,0.02,0.07,0.18,0.34,0.39,5,State,urban/rural,Education,statesector,0,jammu & kashmir,Jammu & Kashmir,NA,Higher,NA,NA,NA
898,0.04,0,0.03,0.1,0.27,0.39,0.21,5,State,urban/rural,Education,statesector,1,jammu & kashmir,Jammu & Kashmir,NA,No education / Preschool,NA,NA,NA
899,0.07,0.01,0.04,0.1,0.19,0.34,0.34,5,State,urban/rural,Education,statesector,1,jammu & kashmir,Jammu & Kashmir,NA,Primary,NA,NA,NA
900,0.01,0,0.01,0.04,0.13,0.35,0.48,5,State,urban/rural,Education,statesector,1,jammu & kashmir,Jammu & Kashmir,NA,Secondary,NA,NA,NA
901,0,0,0,0.01,0.04,0.2,0.74,5,State,urban/rural,Education,statesector,1,jammu & kashmir,Jammu & Kashmir,NA,Higher,NA,NA,NA
902,0.52,0.17,0.74,0.19,0.06,0.01,0,5,State,urban/rural,Education,statesector,0,jharkhand,Jharkhand,NA,No education / Preschool,NA,NA,NA
903,0.44,0.15,0.63,0.23,0.11,0.03,0,5,State,urban/rural,Education,statesector,0,jharkhand,Jharkhand,NA,Primary,NA,NA,NA
904,0.22,0.03,0.48,0.27,0.16,0.07,0.02,5,State,urban/rural,Education,statesector,0,jharkhand,Jharkhand,NA,Secondary,NA,NA,NA
905,0.1,0.01,0.18,0.22,0.26,0.22,0.12,5,State,urban/rural,Education,statesector,0,jharkhand,Jharkhand,NA,Higher,NA,NA,NA
906,0.35,0.23,0.43,0.39,0.06,0.12,0,5,State,urban/rural,Education,statesector,0,jharkhand,Jharkhand,NA,NA,NA,NA,NA
907,0.25,0.06,0.25,0.3,0.25,0.16,0.04,5,State,urban/rural,Education,statesector,1,jharkhand,Jharkhand,NA,No education / Preschool,NA,NA,NA
908,0.16,0.04,0.12,0.23,0.31,0.25,0.09,5,State,urban/rural,Education,statesector,1,jharkhand,Jharkhand,NA,Primary,NA,NA,NA
909,0.04,0,0.06,0.14,0.23,0.34,0.23,5,State,urban/rural,Education,statesector,1,jharkhand,Jharkhand,NA,Secondary,NA,NA,NA
910,0.01,0,0.01,0.02,0.07,0.27,0.64,5,State,urban/rural,Education,statesector,1,jharkhand,Jharkhand,NA,Higher,NA,NA,NA
911,0.04,0,0,0.05,0.61,0.27,0.07,5,State,urban/rural,Education,statesector,1,jharkhand,Jharkhand,NA,NA,NA,NA,NA
912,0.2,0.03,0.2,0.33,0.33,0.12,0.02,5,State,urban/rural,Education,statesector,0,karnataka,Karnataka,NA,No education / Preschool,NA,NA,NA
913,0.12,0.02,0.11,0.27,0.39,0.2,0.04,5,State,urban/rural,Education,statesector,0,karnataka,Karnataka,NA,Primary,NA,NA,NA
914,0.04,0,0.06,0.21,0.38,0.27,0.08,5,State,urban/rural,Education,statesector,0,karnataka,Karnataka,NA,Secondary,NA,NA,NA
915,0.02,0,0.02,0.09,0.28,0.38,0.23,5,State,urban/rural,Education,statesector,0,karnataka,Karnataka,NA,Higher,NA,NA,NA
916,0.09,0,0.27,0.1,0.39,0.12,0.11,5,State,urban/rural,Education,statesector,0,karnataka,Karnataka,NA,NA,NA,NA,NA
917,0.09,0.01,0.09,0.13,0.29,0.35,0.15,5,State,urban/rural,Education,statesector,1,karnataka,Karnataka,NA,No education / Preschool,NA,NA,NA
918,0.05,0.01,0.04,0.08,0.25,0.39,0.24,5,State,urban/rural,Education,statesector,1,karnataka,Karnataka,NA,Primary,NA,NA,NA
919,0.01,0,0.01,0.04,0.14,0.38,0.43,5,State,urban/rural,Education,statesector,1,karnataka,Karnataka,NA,Secondary,NA,NA,NA
920,0.01,0,0,0.01,0.06,0.24,0.69,5,State,urban/rural,Education,statesector,1,karnataka,Karnataka,NA,Higher,NA,NA,NA
921,0,0,0,1,0,0,0,5,State,urban/rural,Education,statesector,1,karnataka,Karnataka,NA,NA,NA,NA,NA
922,0.1,0,0.1,0.26,0.36,0.25,0.03,5,State,urban/rural,Education,statesector,0,kerala,Kerala,NA,No education / Preschool,NA,NA,NA
923,0.02,0,0.02,0.13,0.34,0.38,0.12,5,State,urban/rural,Education,statesector,0,kerala,Kerala,NA,Primary,NA,NA,NA
924,0.01,0,0.01,0.05,0.24,0.4,0.3,5,State,urban/rural,Education,statesector,0,kerala,Kerala,NA,Secondary,NA,NA,NA
925,0,0,0,0.01,0.05,0.23,0.71,5,State,urban/rural,Education,statesector,0,kerala,Kerala,NA,Higher,NA,NA,NA
926,0,0,0,0.1,0.2,0.32,0.38,5,State,urban/rural,Education,statesector,0,kerala,Kerala,NA,NA,NA,NA,NA
927,0.03,0,0.03,0.11,0.25,0.43,0.18,5,State,urban/rural,Education,statesector,1,kerala,Kerala,NA,No education / Preschool,NA,NA,NA
928,0.02,0,0.01,0.05,0.19,0.44,0.31,5,State,urban/rural,Education,statesector,1,kerala,Kerala,NA,Primary,NA,NA,NA
929,0,0,0,0.02,0.11,0.34,0.52,5,State,urban/rural,Education,statesector,1,kerala,Kerala,NA,Secondary,NA,NA,NA
930,0,0,0,0,0.02,0.12,0.86,5,State,urban/rural,Education,statesector,1,kerala,Kerala,NA,Higher,NA,NA,NA
931,0,0,0,0,0,0,1,5,State,urban/rural,Education,statesector,1,kerala,Kerala,NA,NA,NA,NA,NA
932,0.12,0.01,0.21,0.39,0.23,0.15,0.02,5,State,urban/rural,Education,statesector,0,ladakh,Ladakh,NA,No education / Preschool,NA,NA,NA
933,0.16,0.04,0.18,0.3,0.37,0.12,0.02,5,State,urban/rural,Education,statesector,0,ladakh,Ladakh,NA,Primary,NA,NA,NA
934,0.05,0,0.13,0.33,0.29,0.21,0.04,5,State,urban/rural,Education,statesector,0,ladakh,Ladakh,NA,Secondary,NA,NA,NA
935,0.04,0.01,0.07,0.25,0.31,0.24,0.12,5,State,urban/rural,Education,statesector,0,ladakh,Ladakh,NA,Higher,NA,NA,NA
936,0.04,0,0.03,0.2,0.31,0.37,0.09,5,State,urban/rural,Education,statesector,1,ladakh,Ladakh,NA,No education / Preschool,NA,NA,NA
937,0.04,0.04,0.04,0.22,0.36,0.31,0.07,5,State,urban/rural,Education,statesector,1,ladakh,Ladakh,NA,Primary,NA,NA,NA
938,0,0,0.03,0.05,0.32,0.43,0.17,5,State,urban/rural,Education,statesector,1,ladakh,Ladakh,NA,Secondary,NA,NA,NA
939,0,0,0,0.05,0.13,0.49,0.33,5,State,urban/rural,Education,statesector,1,ladakh,Ladakh,NA,Higher,NA,NA,NA
940,0,0,0,0.1,0.5,0.4,0,5,State,urban/rural,Education,statesector,0,lakshadweep,Lakshadweep,NA,No education / Preschool,NA,NA,NA
941,0,0,0,0.14,0.37,0.41,0.08,5,State,urban/rural,Education,statesector,0,lakshadweep,Lakshadweep,NA,Primary,NA,NA,NA
942,0.02,0,0,0.06,0.3,0.53,0.11,5,State,urban/rural,Education,statesector,0,lakshadweep,Lakshadweep,NA,Secondary,NA,NA,NA
943,0,0,0,0,0,0.41,0.59,5,State,urban/rural,Education,statesector,0,lakshadweep,Lakshadweep,NA,Higher,NA,NA,NA
944,0.01,0,0,0.02,0.13,0.62,0.23,5,State,urban/rural,Education,statesector,1,lakshadweep,Lakshadweep,NA,No education / Preschool,NA,NA,NA
945,0.01,0,0,0.02,0.15,0.52,0.31,5,State,urban/rural,Education,statesector,1,lakshadweep,Lakshadweep,NA,Primary,NA,NA,NA
