,m_poor_1_20,m_poor_1_33,m_poor_1_50,Year,level,area,dem,SourceSheet,sector,StateName,multidimensionally_poor_1_33,multidimensionally_poor_1_50,head_age_cat,edu_group,head_gender,hhsize_cat
1672,0.161673889,0.042327173,0.004413358,2019,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,2 to 3
1673,0.15698418,0.052385528,0.0097285,2019,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,4 to 6
1674,0.234669074,0.042797782,0,2019,State,urban/rural,HH Size,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,7+
1675,0.09403912,0,0,2019,State,urban/rural,HH Size,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,1
1676,0.055859983,0.013709126,0,2019,State,urban/rural,HH Size,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,2 to 3
1677,0.093080863,0.014950829,0,2019,State,urban/rural,HH Size,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,4 to 6
1678,0.130948246,0,0,2019,State,urban/rural,HH Size,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,7+
1960,0.184399083,0.069000579,0.009865059,2015,State,All,All Households,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
1995,0.272296935,0.112717837,0.017132124,2015,State,urban/rural,All Households,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
1996,0.065077513,0.009654292,0,2015,State,urban/rural,All Households,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
2080,0.270492345,0.154421225,0.04109627,2015,State,All,Age,state,99,Andaman and Nicobar Islands,NA,NA,15 to 29,NA,NA,NA
2081,0.185896456,0.064151123,0.010741014,2015,State,All,Age,state,99,Andaman and Nicobar Islands,NA,NA,30 to 45,NA,NA,NA
2082,0.17420949,0.066096157,0.007724941,2015,State,All,Age,state,99,Andaman and Nicobar Islands,NA,NA,45 to 64,NA,NA,NA
2083,0.183784187,0.064154766,0.003698623,2015,State,All,Age,state,99,Andaman and Nicobar Islands,NA,NA,65+,NA,NA,NA
2235,0.406094283,0.248504132,0.066134647,2015,State,urban/rural,Age,statesector,0,Andaman and Nicobar Islands,NA,NA,15 to 29,NA,NA,NA
2236,0.252844155,0.100749172,0.020116244,2015,State,urban/rural,Age,statesector,0,Andaman and Nicobar Islands,NA,NA,30 to 45,NA,NA,NA
2237,0.27057749,0.110062554,0.012863481,2015,State,urban/rural,Age,statesector,0,Andaman and Nicobar Islands,NA,NA,45 to 64,NA,NA,NA
2238,0.282725602,0.105920486,0.006106482,2015,State,urban/rural,Age,statesector,0,Andaman and Nicobar Islands,NA,NA,65+,NA,NA,NA
2239,0.047924642,0,0,2015,State,urban/rural,Age,statesector,1,Andaman and Nicobar Islands,NA,NA,15 to 29,NA,NA,NA
2240,0.109195806,0.022221467,0,2015,State,urban/rural,Age,statesector,1,Andaman and Nicobar Islands,NA,NA,30 to 45,NA,NA,NA
2241,0.029336242,0,0,2015,State,urban/rural,Age,statesector,1,Andaman and Nicobar Islands,NA,NA,45 to 64,NA,NA,NA
2242,0.031803943,0,0,2015,State,urban/rural,Age,statesector,1,Andaman and Nicobar Islands,NA,NA,65+,NA,NA,NA
2548,0.310175329,0.132417575,0.024480669,2015,State,All,Education,state,99,Andaman and Nicobar Islands,NA,NA,NA,No education / Preschool,NA,NA
2549,0.258026242,0.111563668,0.018067321,2015,State,All,Education,state,99,Andaman and Nicobar Islands,NA,NA,NA,Primary,NA,NA
2550,0.140455976,0.04150999,0.003273664,2015,State,All,Education,state,99,Andaman and Nicobar Islands,NA,NA,NA,Secondary,NA,NA
2551,0.034542054,0.006320393,0,2015,State,All,Education,state,99,Andaman and Nicobar Islands,NA,NA,NA,Higher,NA,NA
2552,0.059950594,0.059950594,0,2015,State,All,Education,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
2722,0.41021198,0.190022141,0.039059021,2015,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,No education / Preschool,NA,NA
2723,0.338786185,0.162063688,0.028011193,2015,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,Primary,NA,NA
2724,0.214595288,0.072049379,0.005746632,2015,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,Secondary,NA,NA
2725,0.075683728,0.016633509,0,2015,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,Higher,NA,NA
2726,0.10978356,0.10978356,0,2015,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
2727,0.142189011,0.035685211,0,2015,State,urban/rural,Education,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,No education / Preschool,NA,NA
2728,0.111291133,0.019808672,0,2015,State,urban/rural,Education,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,Primary,NA,NA
2729,0.042311929,0.001082601,0,2015,State,urban/rural,Education,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,Secondary,NA,NA
2730,0.009328381,0,0,2015,State,urban/rural,Education,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,Higher,NA,NA
2731,0,0,0,2015,State,urban/rural,Education,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
