"","poor_215","poor_365","poor_685","poor_300","poor_420","poor_830","year","level","area","dem","SourceSheet","sector2","state","age_cat1","age_cat2","age_cat3","age_cat4","edu_cat1","edu_cat2","edu_cat3","edu_cat4","edu_cat5","edu_cat6","gender_cat1","gender_cat2","hhsize_cat1","hhsize_cat2","hhsize_cat3","hhsize_cat4","owns_dwelling","owns_land"
"20",0.0813737803772171,0.640843635286604,0.966725879313583,0.179895558451956,0.604490578492294,0.967387308010449,2011,"State","All","All Households","state",NA,"Meghalaya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",0.223850604357555,0.755079530740881,0.971687280191704,0.371644152470227,0.718536675911257,0.972298867780264,2011,"State","All","All Households","state",NA,"Assam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",0.178784332243969,0.664850075569197,0.923353846547069,0.300874025448086,0.624878905325544,0.923435698383165,2011,"State","All","All Households","state",NA,"West Bengal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",0.278583139035924,0.800915244347784,0.972612780923867,0.457242918429479,0.772662431070395,0.972724276812039,2011,"State","All","All Households","state",NA,"Jharkhand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",0.267758996567698,0.791378602607639,0.971808675195162,0.438324135963274,0.756774585707717,0.971821755850413,2011,"State","All","All Households","state",NA,"Odisha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",0.246221796038296,0.7754406549619,0.960599786062634,0.375117811462495,0.7417299950646,0.961960665026662,2011,"State","All","All Households","state",NA,"Chhattisgarh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",0.292311914569834,0.750886684380864,0.952436826069347,0.432513140387602,0.717815348092297,0.952707236557567,2011,"State","All","All Households","state",NA,"Madhya Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",0.164327962285874,0.60836531198692,0.950871555632305,0.279320202136975,0.576804122336681,0.950872867648942,2011,"State","All","All Households","state",NA,"Gujarat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",0.22709428155305,0.623642810434842,0.907538340117092,0.278806320570003,0.554600407917638,0.907538340117092,2011,"State","All","All Households","state",NA,"Daman & Diu & D & N Haveli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",0.0934732682727762,0.54833941237911,0.900638577758763,0.175192739290689,0.500447073889171,0.900974784660019,2011,"State","All","All Households","state",NA,"Maharashtra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
