,welfareagg_21_cat1,welfareagg_21_cat2,welfareagg_21_cat3,welfareagg_21_cat4,welfareagg_21_cat5,welfare_agg21_sp,year,level,area,SourceSheet,sector2,state,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,age_cat1,age_cat2,age_cat3,age_cat4,edu_cat1,edu_cat2,edu_cat3,edu_cat4,edu_cat5,edu_cat6,gender_cat1,gender_cat2,owns_land
29,0,0,1,0,0,3722.58,2022,state,All,w21_state,99,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0,1,0,0,0,2999.55,2022,state,All,w21_state,99,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1,0,0,0,0,2297.6,2022,state,All,w21_state,99,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0,0,0,0,1,9518.03,2022,state,All,w21_state,99,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0,0,0,1,0,4972.02,2022,state,All,w21_state,99,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0,0,1,0,0,3785.4,2022,state,All,w21_state,99,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,0,1,0,0,0,3082.27,2022,state,All,w21_state,99,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,0,0,0,0,2492.7,2022,state,All,w21_state,99,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0,0,0,0,1,6672.48,2022,state,All,w21_state,99,Uttrakhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0,0,0,1,0,4710.85,2022,state,All,w21_state,99,Uttrakhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0,0,1,0,0,3683.46,2022,state,All,w21_state,99,Uttrakhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0,1,0,0,0,2944.73,2022,state,All,w21_state,99,Uttrakhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1,0,0,0,0,2221.68,2022,state,All,w21_state,99,Uttrakhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,0,0,0,0,1,7025.73,2022,state,All,w21_state,99,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0,0,0,1,0,4713.99,2022,state,All,w21_state,99,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0,0,1,0,0,3697.41,2022,state,All,w21_state,99,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,0,1,0,0,0,2975.57,2022,state,All,w21_state,99,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,1,0,0,0,0,2146.75,2022,state,All,w21_state,99,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,0,0,0,0,1,7924.06,2022,state,All,w21_state,99,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
