,welfare_agg21_sp,year,level,area,dem,SourceSheet,sector2,quintile_overall,state,age_cat,edu_cat,gen_cat,hhsize_cat,owns_land,nat_quint,sec_quint,state_sec_quint,state_quint,nat_age_quint,sec_age_quint,state_age_quint,state_sec_age_quint,nat_edu_quint,sec_edu_quint,state_edu_quint,state_sec_edu_quint,nat_gen_quint,sec_gen_quint,state_gen_quint,state_sec_gen_quint,nat_hhsize_quint,sec_hhsize_quint,state_hhsize_quint,state_sec_hhsize_quint,nat_land_quint,sec_land_quint,state_land_quint,state_sec_land_quint
4704,5002.05,2022,State,urban/rural,Education,state_sec_quint,1,5,Bihar,NA,Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4705,2287.02,2022,State,urban/rural,Education,state_sec_quint,1,1,Bihar,NA,Higher Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4706,3062.26,2022,State,urban/rural,Education,state_sec_quint,1,2,Bihar,NA,Higher Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4707,3629.66,2022,State,urban/rural,Education,state_sec_quint,1,3,Bihar,NA,Higher Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4708,4484.31,2022,State,urban/rural,Education,state_sec_quint,1,4,Bihar,NA,Higher Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4709,6270.93,2022,State,urban/rural,Education,state_sec_quint,1,5,Bihar,NA,Higher Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4710,2598.27,2022,State,urban/rural,Education,state_sec_quint,1,1,Bihar,NA,Diploma/Graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4711,3428.96,2022,State,urban/rural,Education,state_sec_quint,1,2,Bihar,NA,Diploma/Graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4712,4424.88,2022,State,urban/rural,Education,state_sec_quint,1,3,Bihar,NA,Diploma/Graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4713,5591.81,2022,State,urban/rural,Education,state_sec_quint,1,4,Bihar,NA,Diploma/Graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4714,7842.16,2022,State,urban/rural,Education,state_sec_quint,1,5,Bihar,NA,Diploma/Graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4715,2862.16,2022,State,urban/rural,Education,state_sec_quint,1,1,Bihar,NA,Post-graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4716,4286.78,2022,State,urban/rural,Education,state_sec_quint,1,2,Bihar,NA,Post-graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4717,5262.71,2022,State,urban/rural,Education,state_sec_quint,1,3,Bihar,NA,Post-graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4718,6423.35,2022,State,urban/rural,Education,state_sec_quint,1,4,Bihar,NA,Post-graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4719,9018.86,2022,State,urban/rural,Education,state_sec_quint,1,5,Bihar,NA,Post-graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4720,2904.85,2022,State,urban/rural,Education,state_sec_quint,0,1,Sikkim,NA,No education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4721,3851.87,2022,State,urban/rural,Education,state_sec_quint,0,2,Sikkim,NA,No education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4722,4500.34,2022,State,urban/rural,Education,state_sec_quint,0,3,Sikkim,NA,No education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4723,5415.46,2022,State,urban/rural,Education,state_sec_quint,0,4,Sikkim,NA,No education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4724,6936.38,2022,State,urban/rural,Education,state_sec_quint,0,5,Sikkim,NA,No education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4725,3310.95,2022,State,urban/rural,Education,state_sec_quint,0,1,Sikkim,NA,Primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4726,4369.62,2022,State,urban/rural,Education,state_sec_quint,0,2,Sikkim,NA,Primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4727,5117.96,2022,State,urban/rural,Education,state_sec_quint,0,3,Sikkim,NA,Primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4728,5970.85,2022,State,urban/rural,Education,state_sec_quint,0,4,Sikkim,NA,Primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4729,7511.05,2022,State,urban/rural,Education,state_sec_quint,0,5,Sikkim,NA,Primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4730,3254.32,2022,State,urban/rural,Education,state_sec_quint,0,1,Sikkim,NA,Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4731,4218.91,2022,State,urban/rural,Education,state_sec_quint,0,2,Sikkim,NA,Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4732,4939.91,2022,State,urban/rural,Education,state_sec_quint,0,3,Sikkim,NA,Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4733,5694.3,2022,State,urban/rural,Education,state_sec_quint,0,4,Sikkim,NA,Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4734,7782.09,2022,State,urban/rural,Education,state_sec_quint,0,5,Sikkim,NA,Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4735,3842.13,2022,State,urban/rural,Education,state_sec_quint,0,1,Sikkim,NA,Higher Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4736,4741.42,2022,State,urban/rural,Education,state_sec_quint,0,2,Sikkim,NA,Higher Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4737,5514.57,2022,State,urban/rural,Education,state_sec_quint,0,3,Sikkim,NA,Higher Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4738,6536.5,2022,State,urban/rural,Education,state_sec_quint,0,4,Sikkim,NA,Higher Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4739,8467.24,2022,State,urban/rural,Education,state_sec_quint,0,5,Sikkim,NA,Higher Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4740,3704.52,2022,State,urban/rural,Education,state_sec_quint,0,1,Sikkim,NA,Diploma/Graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4741,5128.65,2022,State,urban/rural,Education,state_sec_quint,0,2,Sikkim,NA,Diploma/Graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4742,5909.69,2022,State,urban/rural,Education,state_sec_quint,0,3,Sikkim,NA,Diploma/Graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4743,6729.49,2022,State,urban/rural,Education,state_sec_quint,0,4,Sikkim,NA,Diploma/Graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4744,8955.61,2022,State,urban/rural,Education,state_sec_quint,0,5,Sikkim,NA,Diploma/Graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4745,5016.13,2022,State,urban/rural,Education,state_sec_quint,0,1,Sikkim,NA,Post-graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4746,5365.97,2022,State,urban/rural,Education,state_sec_quint,0,2,Sikkim,NA,Post-graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4747,5882.21,2022,State,urban/rural,Education,state_sec_quint,0,3,Sikkim,NA,Post-graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4748,8457.33,2022,State,urban/rural,Education,state_sec_quint,0,4,Sikkim,NA,Post-graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4749,9432.85,2022,State,urban/rural,Education,state_sec_quint,0,5,Sikkim,NA,Post-graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4750,3005.96,2022,State,urban/rural,Education,state_sec_quint,1,1,Sikkim,NA,No education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4751,3803.93,2022,State,urban/rural,Education,state_sec_quint,1,2,Sikkim,NA,No education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4752,4443.29,2022,State,urban/rural,Education,state_sec_quint,1,3,Sikkim,NA,No education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4753,5432.74,2022,State,urban/rural,Education,state_sec_quint,1,4,Sikkim,NA,No education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4754,7651.69,2022,State,urban/rural,Education,state_sec_quint,1,5,Sikkim,NA,No education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4755,3457.57,2022,State,urban/rural,Education,state_sec_quint,1,1,Sikkim,NA,Primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4756,4375.45,2022,State,urban/rural,Education,state_sec_quint,1,2,Sikkim,NA,Primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4757,5285.47,2022,State,urban/rural,Education,state_sec_quint,1,3,Sikkim,NA,Primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4758,6345.42,2022,State,urban/rural,Education,state_sec_quint,1,4,Sikkim,NA,Primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4759,8898.61,2022,State,urban/rural,Education,state_sec_quint,1,5,Sikkim,NA,Primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4760,3792.13,2022,State,urban/rural,Education,state_sec_quint,1,1,Sikkim,NA,Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4761,5028.22,2022,State,urban/rural,Education,state_sec_quint,1,2,Sikkim,NA,Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4762,5722.69,2022,State,urban/rural,Education,state_sec_quint,1,3,Sikkim,NA,Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4763,7145.04,2022,State,urban/rural,Education,state_sec_quint,1,4,Sikkim,NA,Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4764,9714.88,2022,State,urban/rural,Education,state_sec_quint,1,5,Sikkim,NA,Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4765,3559.71,2022,State,urban/rural,Education,state_sec_quint,1,1,Sikkim,NA,Higher Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4766,4925.71,2022,State,urban/rural,Education,state_sec_quint,1,2,Sikkim,NA,Higher Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4767,5971.42,2022,State,urban/rural,Education,state_sec_quint,1,3,Sikkim,NA,Higher Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4768,7373.79,2022,State,urban/rural,Education,state_sec_quint,1,4,Sikkim,NA,Higher Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4769,12760.23,2022,State,urban/rural,Education,state_sec_quint,1,5,Sikkim,NA,Higher Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4770,4137.74,2022,State,urban/rural,Education,state_sec_quint,1,1,Sikkim,NA,Diploma/Graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4771,5604.58,2022,State,urban/rural,Education,state_sec_quint,1,2,Sikkim,NA,Diploma/Graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4772,7208.57,2022,State,urban/rural,Education,state_sec_quint,1,3,Sikkim,NA,Diploma/Graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4773,8829.73,2022,State,urban/rural,Education,state_sec_quint,1,4,Sikkim,NA,Diploma/Graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4774,13745.39,2022,State,urban/rural,Education,state_sec_quint,1,5,Sikkim,NA,Diploma/Graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4775,4617.12,2022,State,urban/rural,Education,state_sec_quint,1,1,Sikkim,NA,Post-graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4776,6159.39,2022,State,urban/rural,Education,state_sec_quint,1,2,Sikkim,NA,Post-graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4777,6776.35,2022,State,urban/rural,Education,state_sec_quint,1,3,Sikkim,NA,Post-graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4778,9444.78,2022,State,urban/rural,Education,state_sec_quint,1,4,Sikkim,NA,Post-graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4779,12023.76,2022,State,urban/rural,Education,state_sec_quint,1,5,Sikkim,NA,Post-graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4780,1545.95,2022,State,urban/rural,Education,state_sec_quint,0,1,Arunachal Pradesh,NA,No education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4781,2221.9,2022,State,urban/rural,Education,state_sec_quint,0,2,Arunachal Pradesh,NA,No education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4782,2932.05,2022,State,urban/rural,Education,state_sec_quint,0,3,Arunachal Pradesh,NA,No education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4783,3785.56,2022,State,urban/rural,Education,state_sec_quint,0,4,Arunachal Pradesh,NA,No education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4784,5590.22,2022,State,urban/rural,Education,state_sec_quint,0,5,Arunachal Pradesh,NA,No education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4785,1647.05,2022,State,urban/rural,Education,state_sec_quint,0,1,Arunachal Pradesh,NA,Primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4786,2121.65,2022,State,urban/rural,Education,state_sec_quint,0,2,Arunachal Pradesh,NA,Primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4787,2931.68,2022,State,urban/rural,Education,state_sec_quint,0,3,Arunachal Pradesh,NA,Primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4788,3765.65,2022,State,urban/rural,Education,state_sec_quint,0,4,Arunachal Pradesh,NA,Primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4789,5356.49,2022,State,urban/rural,Education,state_sec_quint,0,5,Arunachal Pradesh,NA,Primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4790,1873.57,2022,State,urban/rural,Education,state_sec_quint,0,1,Arunachal Pradesh,NA,Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4791,2754.34,2022,State,urban/rural,Education,state_sec_quint,0,2,Arunachal Pradesh,NA,Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4792,3411.48,2022,State,urban/rural,Education,state_sec_quint,0,3,Arunachal Pradesh,NA,Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4793,4090.08,2022,State,urban/rural,Education,state_sec_quint,0,4,Arunachal Pradesh,NA,Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4794,5921,2022,State,urban/rural,Education,state_sec_quint,0,5,Arunachal Pradesh,NA,Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4795,2253.95,2022,State,urban/rural,Education,state_sec_quint,0,1,Arunachal Pradesh,NA,Higher Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4796,3043.81,2022,State,urban/rural,Education,state_sec_quint,0,2,Arunachal Pradesh,NA,Higher Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4797,3628.74,2022,State,urban/rural,Education,state_sec_quint,0,3,Arunachal Pradesh,NA,Higher Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4798,4708.07,2022,State,urban/rural,Education,state_sec_quint,0,4,Arunachal Pradesh,NA,Higher Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4799,6329.96,2022,State,urban/rural,Education,state_sec_quint,0,5,Arunachal Pradesh,NA,Higher Secondary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4800,2363.29,2022,State,urban/rural,Education,state_sec_quint,0,1,Arunachal Pradesh,NA,Diploma/Graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4801,3286.04,2022,State,urban/rural,Education,state_sec_quint,0,2,Arunachal Pradesh,NA,Diploma/Graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4802,3983.58,2022,State,urban/rural,Education,state_sec_quint,0,3,Arunachal Pradesh,NA,Diploma/Graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4803,4857.61,2022,State,urban/rural,Education,state_sec_quint,0,4,Arunachal Pradesh,NA,Diploma/Graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4804,7342.66,2022,State,urban/rural,Education,state_sec_quint,0,5,Arunachal Pradesh,NA,Diploma/Graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4805,2956.1,2022,State,urban/rural,Education,state_sec_quint,0,1,Arunachal Pradesh,NA,Post-graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4806,4014.6,2022,State,urban/rural,Education,state_sec_quint,0,2,Arunachal Pradesh,NA,Post-graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4807,4184.19,2022,State,urban/rural,Education,state_sec_quint,0,3,Arunachal Pradesh,NA,Post-graduate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
